#Wyoming Montmorillonite - subtractive K-K analysis of imaginary
#index data from Roush 2005, Icarus 179, 259-264 (0.66-25 microns)
#and Egan & Hilgeman 1979, Optical Properties of Inhomogeneous
#Materials: Applications to Geology, Astronomy, Chemistry, and
#Engineering, Academic Press, San Diego, CA, 235 pp.
#(0.18-0.56 microns), to determine the real index.  The
#subtractive K-K analysis assumed n=1.405 at 0.589 microns.
#      wavelength       frequency          real       imaginary
#       (microns)        (cm-1)           index        index
       3.0084000       3324.0259       1.3906100     0.016112000
       3.0464001       3282.5630       1.3917600     0.012202000
       3.0843000       3242.2271       1.3917300     0.011518000
       3.1224000       3202.6650       1.3923301     0.010737000
       3.1605999       3163.9561       1.3925700    0.0080971997
       3.1989000       3126.0750       1.3918500    0.0060991002
       3.2372000       3089.0891       1.3908200    0.0047193002
       3.2757001       3052.7830       1.3896300    0.0035892001
       3.3143001       3017.2280       1.3884100    0.0028723001
       3.3529999       2982.4041       1.3872800    0.0022890000
       3.3919001       2948.2000       1.3860600    0.0015613000
       3.4310000       2914.6021       1.3847100    0.0011564000
       3.4702001       2881.6780       1.3834701    0.0010873000
       3.5095999       2849.3279       1.3823299   0.00094087003
       3.5492001       2817.5359       1.3812400   0.00090141001
       3.5890000       2786.2910       1.3801700   0.00075851998
       3.6291001       2755.5039       1.3791000   0.00073402998
       3.6693001       2725.3149       1.3780500   0.00064526999
       3.7097001       2695.6360       1.3769900   0.00062389002
       3.7505000       2666.3110       1.3759300   0.00058966002
       3.7915001       2637.4790       1.3748500   0.00054947002
       3.8327000       2609.1270       1.3737700   0.00057318999
       3.8743000       2581.1111       1.3726799   0.00060765998
       3.9159999       2553.6260       1.3716100   0.00063428999
       3.9582000       2526.4009       1.3705100   0.00067719998
       4.0005999       2499.6250       1.3694100   0.00068296999
       4.0433002       2473.2271       1.3682801   0.00070939003
       4.0865002       2447.0820       1.3670900   0.00068057998
       4.1297998       2421.4250       1.3658800   0.00079482002
       4.1736002       2396.0129       1.3646300   0.00081949000
       4.2178001       2370.9041       1.3632300   0.00089594000
       4.2624002       2346.0959       1.3625400    0.0010915000
       4.4089999       2268.0879       1.3567600    0.0015226000
       4.4705000       2236.8860       1.3578000    0.0016222000
       5.0000000       2000.0000       1.3369100    0.0020000001
       5.0100002       1996.0081       1.3557500    0.0020000001
       5.0200000       1992.0320       1.3464100    0.0020000001
       5.0300002       1988.0720       1.3431500    0.0020000001
       5.0400000       1984.1270       1.3413700    0.0020000001
       5.0500002       1980.1980       1.3402500    0.0020000001
       5.0609999       1975.8940       1.3391300    0.0020000001
       5.0710001       1971.9980       1.3384700    0.0020000001
       5.0809999       1968.1169       1.3379000    0.0020000001
       5.0920000       1963.8650       1.3371201    0.0020000001
       5.1020002       1960.0160       1.3367300    0.0020000001
       5.1129999       1955.7990       1.3360200    0.0020000001
       5.1230001       1951.9810       1.3356900    0.0020000001
       5.1339998       1947.7990       1.3350199    0.0020000001
       5.1440001       1944.0120       1.3347100    0.0020000001
       5.1550002       1939.8640       1.3340600    0.0020000001
       5.1650000       1936.1080       1.3337500    0.0020000001
       5.1760001       1931.9940       1.3331900    0.0020000001
       5.1869998       1927.8970       1.3327200    0.0020000001
       5.1980000       1923.8170       1.3321600    0.0020000001
       5.2080002       1920.1230       1.3318599    0.0020000001
       5.2189999       1916.0760       1.3313000    0.0020000001
       5.2300000       1912.0460       1.3308300    0.0020000001
       5.2410002       1908.0330       1.3303400    0.0020000001
       5.2519999       1904.0370       1.3298600    0.0020000001
       5.2630000       1900.0570       1.3293700    0.0020000001
       5.2740002       1896.0940       1.3288800    0.0020000001
       5.2849998       1892.1479       1.3284600    0.0020000001
       5.2969999       1887.8610       1.3278000    0.0020000001
       5.3080001       1883.9490       1.3273700    0.0020000001
       5.3189998       1880.0530       1.3269300    0.0020000001
       5.3309999       1875.8210       1.3262600    0.0020000001
       5.3420000       1871.9580       1.3258200    0.0020000001
       5.3530002       1868.1110       1.3253700    0.0020000001
       5.3649998       1863.9330       1.3246800    0.0020000001
       5.3759999       1860.1190       1.3242900    0.0020000001
       5.3880000       1855.9760       1.3236600    0.0020000001
       5.4000001       1851.8521       1.3230200    0.0020000001
       5.4109998       1848.0870       1.3226200    0.0020000001
       5.4229999       1843.9980       1.3219600    0.0020000001
       5.4349999       1839.9260       1.3213700    0.0020000001
       5.4470000       1835.8730       1.3206900    0.0020000001
       5.4580002       1832.1730       1.3202500    0.0020000001
       5.4699998       1828.1541       1.3196100    0.0020000001
       5.4829998       1823.8190       1.3187900    0.0020000001
       5.4949999       1819.8361       1.3181700    0.0020000001
       5.5070000       1815.8710       1.3174300    0.0020000001
       5.5190001       1811.9220       1.3165200    0.0020000001
       5.5310001       1807.9910       1.3159200    0.0030000000
       5.5430002       1804.0770       1.3157300    0.0030000000
       5.5560002       1799.8560       1.3150700    0.0030000000
       5.5679998       1795.9771       1.3146501    0.0030000000
       5.5799999       1792.1150       1.3142000    0.0030000000
       5.5929999       1787.9490       1.3134201    0.0030000000
       5.6050000       1784.1210       1.3130300    0.0030000000
       5.6180000       1779.9930       1.3123000    0.0030000000
       5.6310000       1775.8840       1.3115600    0.0030000000
       5.6430001       1772.1071       1.3111200    0.0030000000
       5.6560001       1768.0341       1.3103499    0.0030000000
       5.6690001       1763.9800       1.3096700    0.0030000000
       5.6820002       1759.9440       1.3089700    0.0030000000
       5.6950002       1755.9260       1.3082600    0.0030000000
       5.7080002       1751.9270       1.3075300    0.0030000000
       5.7210002       1747.9460       1.3067900    0.0030000000
       5.7340002       1743.9830       1.3060400    0.0030000000
       5.7470002       1740.0380       1.3052700    0.0030000000
       5.7600002       1736.1110       1.3045700    0.0030000000
       5.7740002       1731.9020       1.3035400    0.0030000000
       5.7870002       1728.0110       1.3028001    0.0030000000
       5.8000002       1724.1379       1.3020200    0.0030000000
       5.8140001       1719.9860       1.3008900    0.0030000000
       5.8270001       1716.1490       1.3001000    0.0030000000
       5.8410001       1712.0360       1.2988000    0.0030000000
       5.8550000       1707.9420       1.2979000    0.0040000002
       5.8690000       1703.8680       1.2971600    0.0040000002
       5.8820000       1700.1021       1.2966300    0.0040000002
       5.8959999       1696.0649       1.2956100    0.0040000002
       5.9099998       1692.0470       1.2946500    0.0040000002
       5.9239998       1688.0490       1.2936200    0.0040000002
       5.9380002       1684.0690       1.2925000    0.0040000002
       5.9520001       1680.1080       1.2913700    0.0040000002
       5.9670000       1675.8840       1.2895900    0.0040000002
       5.9809999       1671.9611       1.2884099    0.0049999999
       5.9949999       1668.0570       1.2874100    0.0049999999
       6.0100002       1663.8940       1.2853800    0.0049999999
       6.0240002       1660.0270       1.2839299    0.0060000001
       6.0390000       1655.9030       1.2818300    0.0070000002
       6.0530000       1652.0730       1.2803900    0.0080000004
       6.0679998       1647.9890       1.2780600    0.0099999998
       6.0830002       1643.9260       1.2759900     0.013000000
       6.0980000       1639.8820       1.2750700     0.018999999
       6.1129999       1635.8580       1.2783099     0.028000001
       6.1279998       1631.8540       1.2858000     0.033000000
       6.1420002       1628.1340       1.2945400     0.025000000
       6.1580000       1623.9041       1.2943701     0.017000001
       6.1729999       1619.9580       1.2934999     0.012000000
       6.1880002       1616.0310       1.2910000    0.0089999996
       6.2030001       1612.1230       1.2888100    0.0080000004
       6.2189999       1607.9760       1.2863600    0.0070000002
       6.2340002       1604.1071       1.2846200    0.0060000001
       6.2500000       1600.0000       1.2823499    0.0060000001
       6.2659998       1595.9139       1.2804500    0.0060000001
       6.2810001       1592.1030       1.2792400    0.0060000001
       6.2969999       1588.0580       1.2775800    0.0060000001
       6.3130002       1584.0330       1.2761500    0.0060000001
       6.3290000       1580.0280       1.2747400    0.0060000001
       6.3449998       1576.0439       1.2733600    0.0060000001
       6.3610001       1572.0800       1.2721400    0.0060000001
       6.3779998       1567.8900       1.2704300    0.0060000001
       6.3940001       1563.9659       1.2692100    0.0060000001
       6.4099998       1560.0620       1.2679900    0.0060000001
       6.4270000       1555.9360       1.2662600    0.0060000001
       6.4429998       1552.0720       1.2651700    0.0060000001
       6.4600000       1547.9880       1.2635500    0.0060000001
       6.4770002       1543.9250       1.2620800    0.0060000001
       6.4940000       1539.8831       1.2604200    0.0060000001
       6.5100002       1536.0980       1.2592400    0.0060000001
       6.5270000       1532.0970       1.2575001    0.0060000001
       6.5440001       1528.1169       1.2559900    0.0060000001
       6.5619998       1523.9260       1.2538000    0.0060000001
       6.5790000       1519.9880       1.2523900    0.0070000002
       6.5960002       1516.0699       1.2512900    0.0070000002
       6.6139998       1511.9440       1.2494600    0.0070000002
       6.6310000       1508.0680       1.2482500    0.0070000002
       6.6490002       1503.9860       1.2464100    0.0070000002
       6.6669998       1499.9250       1.2446899    0.0070000002
       6.6849999       1495.8860       1.2426900    0.0070000002
       6.7020001       1492.0920       1.2410400    0.0070000002
       6.7199998       1488.0950       1.2393000    0.0080000004
       6.7389998       1483.9000       1.2374300    0.0080000004
       6.7570000       1479.9470       1.2359200    0.0080000004
       6.7750001       1476.0150       1.2341100    0.0080000004
       6.7930002       1472.1040       1.2323999    0.0080000004
       6.8119998       1467.9980       1.2301700    0.0080000004
       6.8309999       1463.9150       1.2277000    0.0080000004
       6.8490000       1460.0670       1.2261200    0.0089999996
       6.8680000       1456.0280       1.2241600    0.0089999996
       6.8870001       1452.0110       1.2221600    0.0089999996
       6.9060001       1448.0160       1.2200000    0.0089999996
       6.9250002       1444.0430       1.2175800    0.0089999996
       6.9439998       1440.0920       1.2156301    0.0099999998
       6.9640002       1435.9561       1.2132200    0.0099999998
       6.9829998       1432.0490       1.2114500    0.0099999998
       7.0029998       1427.9590       1.2088100    0.0099999998
       7.0229998       1423.8929       1.2059000    0.0099999998
       7.0419998       1420.0510       1.2039400     0.011000000
       7.0619998       1416.0291       1.2014600     0.011000000
       7.0819998       1412.0300       1.1989200     0.011000000
       7.1020002       1408.0540       1.1960500     0.011000000
       7.1220002       1404.1000       1.1936200     0.012000000
       7.1430001       1399.9720       1.1905500     0.012000000
       7.1630001       1396.0630       1.1880900     0.012000000
       7.1840000       1391.9821       1.1849800     0.013000000
       7.2049999       1387.9250       1.1819800     0.013000000
       7.2249999       1384.0830       1.1794000     0.013000000
       7.2459998       1380.0720       1.1760700     0.014000000
       7.2670002       1376.0840       1.1734200     0.014000000
       7.2890000       1371.9301       1.1694000     0.014000000
       7.3099999       1367.9890       1.1663700     0.015000000
       7.3309999       1364.0699       1.1634500     0.015000000
       7.3530002       1359.9890       1.1594100     0.015000000
       7.3750000       1355.9320       1.1553800     0.016000001
       7.3959999       1352.0820       1.1523100     0.016000001
       7.4180002       1348.0720       1.1481500     0.017000001
       7.4400001       1344.0861       1.1445400     0.017000001
       7.4629998       1339.9440       1.1397300     0.018000001
       7.4850001       1336.0050       1.1361800     0.018000001
       7.5079999       1331.9130       1.1309000     0.018999999
       7.5300002       1328.0210       1.1274199     0.020000000
       7.5530000       1323.9771       1.1224500     0.020000000
       7.5760002       1319.9580       1.1175100     0.021000000
       7.5990000       1315.9630       1.1126699     0.022000000
       7.6220002       1311.9919       1.1079201     0.023000000
       7.6450000       1308.0439       1.1032000     0.023000000
       7.6690001       1303.9510       1.0966500     0.024000000
       7.6919999       1300.0520       1.0919100     0.025000000
       7.7160001       1296.0081       1.0856000     0.026000001
       7.7399998       1291.9900       1.0795400     0.027000001
       7.7639999       1287.9960       1.0731800     0.028000001
       7.7880001       1284.0270       1.0669399     0.028999999
       7.8130002       1279.9180       1.0590100     0.030999999
       7.8369999       1275.9980       1.0531501     0.032000002
       7.8620000       1271.9410       1.0447000     0.034000002
       7.8860002       1268.0699       1.0383600     0.035000000
       7.9109998       1264.0630       1.0302500     0.037000000
       7.9369998       1259.9220       1.0206200     0.039000001
       7.9619999       1255.9659       1.0126400     0.041000001
       7.9870000       1252.0350       1.0043401     0.043000001
       8.0129995       1247.9720      0.99390000     0.045000002
       8.0389996       1243.9360      0.98298001     0.048000000
       8.0640001       1240.0790      0.97491002     0.050000001
       8.0909996       1235.9410      0.96066999     0.052999999
       8.1169996       1231.9821      0.94948000     0.057000000
       8.1429996       1228.0490      0.93813002     0.061000001
       8.1700001       1223.9900      0.92391998     0.064999998
       8.1969995       1219.9590      0.90986001     0.070000000
       8.2240000       1215.9530      0.89490998     0.075000003
       8.2510004       1211.9740      0.87884003     0.081000000
       8.2779999       1208.0210      0.86330998     0.088000000
       8.3059998       1203.9490      0.84232002     0.096000001
       8.3330002       1200.0480      0.82615000      0.10500000
       8.3610001       1196.0291      0.80388999      0.11600000
       8.3889999       1192.0370      0.78201997      0.12899999
       8.4169998       1188.0720      0.76098001      0.14399999
       8.4460001       1183.9919      0.73460001      0.16300000
       8.4750004       1179.9410      0.70643002      0.18500000
       8.5030003       1176.0560      0.68664002      0.21200000
       8.5319996       1172.0580      0.66292000      0.24400000
       8.5620003       1167.9510      0.63287997      0.28200001
       8.5909996       1164.0090      0.62172002      0.32600001
       8.6210003       1159.9580      0.60361999      0.37500000
       8.6510000       1155.9360      0.59583998      0.42600000
       8.6809998       1151.9410      0.59342998      0.47799999
       8.7110004       1147.9740      0.59596997      0.52999997
       8.7410002       1144.0341      0.61158001      0.58200002
       8.7720003       1139.9910      0.61975002      0.63599998
       8.8030005       1135.9760      0.64393997      0.69099998
       8.8339996       1131.9900      0.67842001      0.74199998
       8.8649998       1128.0320      0.73377001      0.77999997
       8.8970003       1123.9740      0.77652001      0.79299998
       8.9289999       1119.9460      0.81792998      0.77399999
       8.9610004       1115.9470      0.83291000      0.73699999
       8.9930000       1111.9760      0.81826001      0.70599997
       9.0249996       1108.0330      0.79067999      0.69700003
       9.0579996       1103.9960      0.73638999      0.71799999
       9.0909996       1099.9890      0.69163001      0.76800001
