Calcite "pellet" optical constants calculated from Long et al. Infrared
Phys., 34, 191-301, 1993.
    wave.    Freq.      real       imag.
  (microns)  (cm-1)    index       index
    3.8640  2588.00  1.4133E+00  1.6126E-03
    3.8700  2584.00  1.4130E+00  1.6247E-03
    3.8760  2580.00  1.4128E+00  1.6369E-03
    3.8820  2576.00  1.4125E+00  1.6493E-03
    3.8880  2572.00  1.4122E+00  1.6618E-03
    3.8941  2568.00  1.4120E+00  1.6745E-03
    3.9002  2564.00  1.4117E+00  1.6873E-03
    3.9062  2560.00  1.4114E+00  1.7002E-03
    3.9124  2556.00  1.4112E+00  1.7133E-03
    3.9185  2552.00  1.4109E+00  1.7266E-03
    3.9246  2548.00  1.4106E+00  1.7400E-03
    3.9308  2544.00  1.4103E+00  1.7535E-03
    3.9370  2540.00  1.4100E+00  1.7672E-03
    3.9432  2536.00  1.4098E+00  1.7810E-03
    3.9494  2532.00  1.4095E+00  1.7950E-03
    3.9557  2528.00  1.4092E+00  1.8092E-03
    3.9620  2524.00  1.4089E+00  1.8235E-03
    3.9683  2520.00  1.4086E+00  1.8380E-03
    3.9746  2516.00  1.4083E+00  1.8526E-03
    3.9809  2512.00  1.4080E+00  1.8675E-03
    3.9872  2508.00  1.4077E+00  1.8825E-03
    3.9936  2504.00  1.4074E+00  1.8977E-03
    4.0000  2500.00  1.4071E+00  1.9130E-03
    4.0064  2496.00  1.4068E+00  1.9285E-03
    4.0128  2492.00  1.4065E+00  1.9443E-03
    4.0193  2488.00  1.4062E+00  1.9602E-03
    4.0258  2484.00  1.4059E+00  1.9763E-03
    4.0323  2480.00  1.4056E+00  1.9925E-03
    4.0388  2476.00  1.4052E+00  2.0090E-03
    4.0453  2472.00  1.4049E+00  2.0257E-03
    4.0519  2468.00  1.4046E+00  2.0426E-03
    4.0584  2464.00  1.4043E+00  2.0597E-03
    4.0650  2460.00  1.4039E+00  2.0770E-03
    4.0717  2456.00  1.4036E+00  2.0945E-03
    4.0783  2452.00  1.4033E+00  2.1122E-03
    4.0850  2448.00  1.4029E+00  2.1302E-03
    4.0917  2444.00  1.4026E+00  2.1484E-03
    4.0984  2440.00  1.4023E+00  2.1668E-03
    4.1051  2436.00  1.4019E+00  2.1854E-03
    4.1118  2432.00  1.4016E+00  2.2042E-03
    4.1186  2428.00  1.4012E+00  2.2233E-03
    4.1254  2424.00  1.4009E+00  2.2427E-03
    4.1322  2420.00  1.4005E+00  2.2623E-03
    4.1391  2416.00  1.4001E+00  2.2821E-03
    4.1459  2412.00  1.3998E+00  2.3022E-03
    4.1528  2408.00  1.3994E+00  2.3226E-03
    4.1597  2404.00  1.3990E+00  2.3432E-03
    4.1667  2400.00  1.3987E+00  2.3641E-03
    4.1736  2396.00  1.3983E+00  2.3852E-03
    4.1806  2392.00  1.3979E+00  2.4067E-03
    4.1876  2388.00  1.3975E+00  2.4284E-03
    4.1946  2384.00  1.3971E+00  2.4504E-03
    4.2017  2380.00  1.3968E+00  2.4727E-03
    4.2088  2376.00  1.3964E+00  2.4953E-03
    4.2159  2372.00  1.3960E+00  2.5182E-03
    4.2230  2368.00  1.3956E+00  2.5414E-03
    4.2301  2364.00  1.3952E+00  2.5649E-03
    4.2373  2360.00  1.3948E+00  2.5888E-03
    4.2445  2356.00  1.3943E+00  2.6129E-03
    4.2517  2352.00  1.3939E+00  2.6374E-03
    4.2589  2348.00  1.3935E+00  2.6623E-03
    4.2662  2344.00  1.3931E+00  2.6875E-03
    4.2735  2340.00  1.3927E+00  2.7130E-03
    4.2808  2336.00  1.3922E+00  2.7389E-03
    4.2882  2332.00  1.3918E+00  2.7651E-03
    4.2955  2328.00  1.3914E+00  2.7917E-03
    4.3029  2324.00  1.3909E+00  2.8187E-03
    4.3103  2320.00  1.3905E+00  2.8461E-03
    4.3178  2316.00  1.3900E+00  2.8739E-03
    4.3253  2312.00  1.3896E+00  2.9021E-03
    4.3328  2308.00  1.3891E+00  2.9307E-03
    4.3403  2304.00  1.3887E+00  2.9597E-03
    4.3478  2300.00  1.3882E+00  2.9891E-03
    4.3554  2296.00  1.3877E+00  3.0189E-03
    4.3630  2292.00  1.3872E+00  3.0492E-03
    4.3706  2288.00  1.3868E+00  3.0800E-03
    4.3783  2284.00  1.3863E+00  3.1112E-03
    4.3860  2280.00  1.3858E+00  3.1428E-03
    4.3937  2276.00  1.3853E+00  3.1750E-03
    4.4014  2272.00  1.3848E+00  3.2076E-03
    4.4092  2268.00  1.3843E+00  3.2407E-03
    4.4170  2264.00  1.3838E+00  3.2743E-03
    4.4248  2260.00  1.3833E+00  3.3085E-03
    4.4326  2256.00  1.3827E+00  3.3431E-03
    4.4405  2252.00  1.3822E+00  3.3783E-03
    4.4484  2248.00  1.3817E+00  3.4141E-03
    4.4563  2244.00  1.3811E+00  3.4504E-03
    4.4643  2240.00  1.3806E+00  3.4873E-03
    4.4723  2236.00  1.3800E+00  3.5247E-03
    4.4803  2232.00  1.3795E+00  3.5628E-03
    4.4883  2228.00  1.3789E+00  3.6015E-03
    4.4964  2224.00  1.3784E+00  3.6408E-03
    4.5045  2220.00  1.3778E+00  3.6807E-03
    4.5126  2216.00  1.3772E+00  3.7213E-03
    4.5208  2212.00  1.3766E+00  3.7625E-03
    4.5290  2208.00  1.3760E+00  3.8044E-03
    4.5372  2204.00  1.3754E+00  3.8470E-03
    4.5455  2200.00  1.3748E+00  3.8903E-03
    4.5537  2196.00  1.3742E+00  3.9344E-03
    4.5620  2192.00  1.3736E+00  3.9791E-03
    4.5704  2188.00  1.3730E+00  4.0247E-03
    4.5788  2184.00  1.3724E+00  4.0710E-03
    4.5872  2180.00  1.3717E+00  4.1181E-03
    4.5956  2176.00  1.3711E+00  4.1660E-03
    4.6041  2172.00  1.3704E+00  4.2147E-03
    4.6125  2168.00  1.3698E+00  4.2643E-03
    4.6211  2164.00  1.3691E+00  4.3147E-03
    4.6296  2160.00  1.3684E+00  4.3661E-03
    4.6382  2156.00  1.3678E+00  4.4183E-03
    4.6468  2152.00  1.3671E+00  4.4715E-03
    4.6555  2148.00  1.3664E+00  4.5256E-03
    4.6642  2144.00  1.3657E+00  4.5807E-03
    4.6729  2140.00  1.3649E+00  4.6368E-03
    4.6816  2136.00  1.3642E+00  4.6939E-03
    4.6904  2132.00  1.3635E+00  4.7521E-03
    4.6992  2128.00  1.3628E+00  4.8113E-03
    4.7081  2124.00  1.3620E+00  4.8717E-03
    4.7170  2120.00  1.3612E+00  4.9331E-03
    4.7259  2116.00  1.3605E+00  4.9958E-03
    4.7348  2112.00  1.3597E+00  5.0596E-03
    4.7438  2108.00  1.3589E+00  5.1246E-03
    4.7529  2104.00  1.3581E+00  5.1909E-03
    4.7619  2100.00  1.3573E+00  5.2584E-03
    4.7710  2096.00  1.3565E+00  5.3273E-03
    4.7801  2092.00  1.3557E+00  5.3975E-03
    4.7893  2088.00  1.3548E+00  5.4691E-03
    4.7985  2084.00  1.3540E+00  5.5421E-03
    4.8077  2080.00  1.3531E+00  5.6165E-03
    4.8170  2076.00  1.3523E+00  5.6925E-03
    4.8263  2072.00  1.3514E+00  5.7700E-03
    4.8356  2068.00  1.3505E+00  5.8491E-03
    4.8450  2064.00  1.3496E+00  5.9298E-03
    4.8544  2060.00  1.3487E+00  6.0121E-03
    4.8638  2056.00  1.3477E+00  6.0962E-03
    4.8733  2052.00  1.3468E+00  6.1820E-03
    4.8828  2048.00  1.3458E+00  6.2697E-03
    4.8924  2044.00  1.3449E+00  6.3592E-03
    4.9020  2040.00  1.3439E+00  6.4506E-03
    4.9116  2036.00  1.3429E+00  6.5440E-03
    4.9213  2032.00  1.3419E+00  6.6394E-03
    4.9310  2028.00  1.3409E+00  6.7369E-03
    4.9407  2024.00  1.3398E+00  6.8365E-03
    4.9505  2020.00  1.3388E+00  6.9383E-03
    4.9603  2016.00  1.3377E+00  7.0425E-03
    4.9702  2012.00  1.3366E+00  7.1489E-03
    4.9801  2008.00  1.3355E+00  7.2578E-03
    4.9900  2004.00  1.3344E+00  7.3692E-03
    5.0000  2000.00  1.3333E+00  7.4832E-03
    5.0050  1998.00  1.3327E+00  7.5411E-03
    5.0100  1996.00  1.3321E+00  7.5998E-03
    5.0150  1994.00  1.3315E+00  7.6591E-03
    5.0201  1992.00  1.3310E+00  7.7191E-03
    5.0251  1990.00  1.3304E+00  7.7798E-03
    5.0302  1988.00  1.3298E+00  7.8412E-03
    5.0352  1986.00  1.3292E+00  7.9034E-03
    5.0403  1984.00  1.3286E+00  7.9663E-03
