data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 11.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 60.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.80588 1.81736e-006
     0.229100      1.80588 5.09057e-005
      1.54000      1.80588   0.00130605
      1.54600      1.80588   0.00127115
      1.55200      1.80588   0.00120281
      1.55800      1.80588   0.00120598
      1.56400      1.80588   0.00115838
      1.57050      1.80588   0.00113004
      1.57750      1.80588   0.00108017
      1.58450      1.80588   0.00105671
      1.59150      1.80588   0.00100686
      1.59850      1.80588  0.000986962
      1.60550      1.80588  0.000963116
      1.61250      1.80588  0.000913388
      1.61950      1.80588  0.000897002
      1.62650      1.80588  0.000846175
      1.63350      1.80588  0.000840093
      1.64050      1.80588  0.000815312
      1.64750      1.80588  0.000793752
      1.65450      1.80588  0.000762691
      1.66150      1.80588  0.000746584
      1.66850      1.80588  0.000709065
      1.67600      1.80588  0.000687473
      1.68400      1.80588  0.000682214
      1.69200      1.80588  0.000645143
      1.70000      1.80588  0.000643961
      1.70800      1.80588  0.000617779
      1.71600      1.80588  0.000602442
      1.72400      1.80588  0.000590231
      1.73200      1.80588  0.000576560
      1.74000      1.80588  0.000560465
      1.74800      1.80588  0.000549426
      1.75600      1.80588  0.000545818
      1.76400      1.80588  0.000524131
      1.77200      1.80588  0.000524515
      1.78000      1.80588  0.000510543
      1.78800      1.80588  0.000498183
      1.79600      1.80588  0.000487379
      1.80500      1.80588  0.000485739
      1.81500      1.80588  0.000475047
      1.82500      1.80588  0.000455544
      1.83500      1.80588  0.000464604
      1.84500      1.80588  0.000464065
      1.85500      1.80588  0.000466817
      1.86500      1.80588  0.000455382
      1.87500      1.80588  0.000450544
      1.88500      1.80588  0.000454829
      1.89500      1.80588  0.000460802
      1.90500      1.80588  0.000453014
      1.91500      1.80588  0.000449002
      1.92500      1.80588  0.000458726
      1.93500      1.80588  0.000458470
      1.94500      1.80588  0.000448406
      1.95500      1.80588  0.000455258
      1.96500      1.80588  0.000452538
      1.97500      1.80588  0.000447163
      1.98500      1.80588  0.000448948
      1.99500      1.80588  0.000455076
      2.00500      1.80588  0.000444548
      2.01500      1.80588  0.000454030
      2.02500      1.80588  0.000451653
      2.03500      1.80588  0.000450470
      2.04500      1.80588  0.000458571
      2.05500      1.80588  0.000455142
      2.06500      1.80588  0.000454890
      2.07500      1.80588  0.000460069
      2.08500      1.80588  0.000463285
      2.09500      1.80588  0.000458504
      2.10500      1.80588  0.000463451
      2.11500      1.80588  0.000465400
      2.12500      1.80588  0.000463051
      2.13500      1.80588  0.000469800
      2.14500      1.80588  0.000461572
      2.15500      1.80588  0.000471380
      2.16500      1.80588  0.000481320
      2.17500      1.80588  0.000491920
      2.18500      1.80588  0.000496032
      2.19500      1.80588  0.000497771
      2.20500      1.80588  0.000507002
      2.21500      1.80588  0.000522894
      2.22500      1.80588  0.000514589
      2.23500      1.80588  0.000525684
      2.24500      1.80588  0.000541974
      2.25500      1.80588  0.000539326
      2.26500      1.80588  0.000551627
      2.27500      1.80588  0.000560081
      2.28500      1.80588  0.000552488
      2.29500      1.80588  0.000519060
      2.30500      1.80588  0.000554444
      2.31500      1.80588  0.000571978
      2.32500      1.80588  0.000559834
      2.33500      1.80588  0.000549492
      2.34500      1.80588  0.000560852
      2.35500      1.80588  0.000565883
      2.36500      1.80588  0.000561524
      2.37500      1.80588  0.000568322
      2.38600      1.80588  0.000576908
      2.40000      1.80588  0.000596325
