Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurements parallel to the a
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.713
Lorentz line parameters
center  width  strength
1066.7  0.0258  0.0780
1023.4  0.0173  0.1440
 999.9  0.0299  0.2880
 917.7  0.0318  0.0690
 743.4  0.0632  0.0380
 647.0  0.2667  0.1140
 525.4  0.0705  0.3660
 471.2  0.0412  1.2140
 416.4  0.1047  0.4010
 348.6  0.0440  0.1370

 wave.    freq.   calc.       real        imag.
micron    (cm-1)  refl.       index      index
10.4384   958.0  0.1842       2.452      0.3262
10.4167   960.0  0.1901       2.492      0.3388
10.3950   962.0  0.1963       2.533      0.3542
10.3734   964.0  0.2027       2.575      0.3724
10.3520   966.0  0.2095       2.619      0.3939
10.3306   968.0  0.2166       2.665      0.4191
10.3093   970.0  0.2240       2.712      0.4484
10.2881   972.0  0.2319       2.761      0.4826
10.2669   974.0  0.2402       2.812      0.5223
10.2459   976.0  0.2490       2.864      0.5685
10.2249   978.0  0.2583       2.918      0.6224
10.2041   980.0  0.2682       2.972      0.6852
10.1833   982.0  0.2787       3.024      0.7584
10.1626   984.0  0.2897       3.075      0.8434
10.1420   986.0  0.3013       3.120      0.9419
10.1215   988.0  0.3134       3.157       1.055
10.1010   990.0  0.3259       3.180       1.182
10.0806   992.0  0.3385       3.183       1.322
10.0604   994.0  0.3509       3.162       1.471
10.0402   996.0  0.3625       3.110       1.619
10.0200   998.0  0.3727       3.026       1.757
10.0000  1000.0  0.3808       2.915       1.872
 9.9800  1002.0  0.3860       2.787       1.953
 9.9602  1004.0  0.3878       2.656       1.997
 9.9404  1006.0  0.3863       2.538       2.006
 9.9206  1008.0  0.3820       2.447       1.989
 9.9010  1010.0  0.3766       2.391       1.960
 9.8814  1012.0  0.3728       2.373       1.938
 9.8619  1014.0  0.3735       2.389       1.941
 9.8425  1016.0  0.3817       2.424       1.989
 9.8232  1018.0  0.3985       2.453       2.095
 9.8039  1020.0  0.4233       2.439       2.256
 9.7847  1022.0  0.4536       2.347       2.445
 9.7656  1024.0  0.4854       2.166       2.610
 9.7466  1026.0  0.5145       1.924       2.702
 9.7276  1028.0  0.5378       1.673       2.708
 9.7087  1030.0  0.5542       1.449       2.647
 9.6899  1032.0  0.5635       1.269       2.545
 9.6712  1034.0  0.5662       1.130       2.425
 9.6525  1036.0  0.5628       1.027       2.299
 9.6339  1038.0  0.5537      0.9533       2.174
 9.6154  1040.0  0.5391      0.9037       2.054
 9.5969  1042.0  0.5195      0.8743       1.940
 9.5785  1044.0  0.4951      0.8627       1.834
 9.5602  1046.0  0.4667      0.8674       1.737
 9.5420  1048.0  0.4357      0.8870       1.651
 9.5238  1050.0  0.4043      0.9203       1.578
 9.5057  1052.0  0.3753      0.9650       1.522
 9.4877  1054.0  0.3519       1.018       1.487
