Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurments parallel to the b
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.553
Lorentz line parameters
center  width  strength
1067.2  0.0182  0.0110
1015.6  0.0234  0.1680
 987.6  0.0311  0.3250
 908.7  0.0190  0.0170
 744.2  0.0853  0.0730
 559.3  0.1919  0.2360
 527.6  0.0593  0.7110
 470.1  0.0527  0.4040
 409.7  0.0759  0.6970
 353.5  0.0553  0.0680

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
 8.2645  1210.0  0.0006       1.005     0.04961
 8.2508  1212.0  0.0006       1.011     0.04848
 8.2372  1214.0  0.0006       1.017     0.04740
 8.2237  1216.0  0.0007       1.024     0.04635
 8.2102  1218.0  0.0007       1.030     0.04534
 8.1967  1220.0  0.0008       1.036     0.04437
 8.1833  1222.0  0.0009       1.041     0.04344
 8.1699  1224.0  0.0010       1.047     0.04253
 8.1566  1226.0  0.0011       1.052     0.04166
 8.1433  1228.0  0.0012       1.058     0.04082
 8.1301  1230.0  0.0013       1.063     0.04000
 8.1169  1232.0  0.0015       1.068     0.03922
 8.1037  1234.0  0.0016       1.074     0.03845
 8.0906  1236.0  0.0018       1.079     0.03772
 8.0775  1238.0  0.0019       1.083     0.03700
 8.0645  1240.0  0.0021       1.088     0.03631
 8.0515  1242.0  0.0023       1.093     0.03564
 8.0386  1244.0  0.0024       1.098     0.03499
 8.0257  1246.0  0.0026       1.102     0.03436
 8.0128  1248.0  0.0028       1.107     0.03375
 8.0000  1250.0  0.0030       1.111     0.03315
 7.9872  1252.0  0.0032       1.115     0.03257
 7.9745  1254.0  0.0034       1.119     0.03201
 7.9618  1256.0  0.0036       1.124     0.03147
 7.9491  1258.0  0.0038       1.128     0.03094
 7.9365  1260.0  0.0040       1.132     0.03042
 7.9239  1262.0  0.0042       1.136     0.02992
 7.9114  1264.0  0.0044       1.139     0.02944
 7.8989  1266.0  0.0046       1.143     0.02896
 7.8864  1268.0  0.0049       1.147     0.02850
 7.8740  1270.0  0.0051       1.151     0.02805
 7.8616  1272.0  0.0053       1.154     0.02761
 7.8493  1274.0  0.0055       1.158     0.02718
 7.8370  1276.0  0.0057       1.161     0.02677
 7.8247  1278.0  0.0059       1.165     0.02636
 7.8125  1280.0  0.0062       1.168     0.02596
 7.8003  1282.0  0.0064       1.171     0.02558
 7.7882  1284.0  0.0066       1.175     0.02520
 7.7760  1286.0  0.0068       1.178     0.02483
 7.7640  1288.0  0.0070       1.181     0.02447
 7.7519  1290.0  0.0072       1.184     0.02412
 7.7399  1292.0  0.0075       1.187     0.02378
 7.7280  1294.0  0.0077       1.190     0.02344
 7.7160  1296.0  0.0079       1.193     0.02312
 7.7042  1298.0  0.0081       1.196     0.02280
 7.6923  1300.0  0.0083       1.199     0.02248
 7.6805  1302.0  0.0085       1.202     0.02218
 7.6687  1304.0  0.0087       1.205     0.02188
 7.6570  1306.0  0.0090       1.208     0.02158
 7.6453  1308.0  0.0092       1.211     0.02130
 7.6336  1310.0  0.0094       1.213     0.02102
 7.6220  1312.0  0.0096       1.216     0.02074
 7.6104  1314.0  0.0098       1.219     0.02048
 7.5988  1316.0  0.0100       1.221     0.02021
 7.5873  1318.0  0.0102       1.224     0.01995
 7.5758  1320.0  0.0104       1.226     0.01970
 7.5643  1322.0  0.0106       1.229     0.01946
 7.5529  1324.0  0.0108       1.231     0.01921
