From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  BE1
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  1.5576E-01  6.4202E+04  1.6790E+00  4.8290E-01
  1.4715E-01  6.7960E+04  1.6890E+00  5.0370E-01
  1.3901E-01  7.1935E+04  1.7040E+00  5.3490E-01
  1.3133E-01  7.6145E+04  1.7110E+00  5.7920E-01
  1.2406E-01  8.0605E+04  1.7070E+00  6.3610E-01
  1.1720E-01  8.5323E+04  1.6860E+00  7.0110E-01
  1.1071E-01  9.0323E+04  1.6440E+00  7.6730E-01
  1.0464E-01  9.5565E+04  1.5830E+00  8.3040E-01
  9.8805E-02  1.0121E+05  1.4970E+00  8.7790E-01
  9.3373E-02  1.0710E+05  1.4040E+00  9.0820E-01
  8.8193E-02  1.1339E+05  1.3120E+00  9.1660E-01
  8.3333E-02  1.2000E+05  1.2170E+00  9.0950E-01
  7.8730E-02  1.2702E+05  1.1250E+00  8.9320E-01
  7.4341E-02  1.3452E+05  1.0330E+00  8.5810E-01
  7.0255E-02  1.4234E+05  9.5080E-01  8.0550E-01
  6.6346E-02  1.5073E+05  8.8710E-01  7.4080E-01
  6.2690E-02  1.5952E+05  8.4190E-01  6.7570E-01
  5.9217E-02  1.6887E+05  8.0540E-01  6.1800E-01
  5.5957E-02  1.7871E+05  7.6940E-01  5.6070E-01
  5.2856E-02  1.8919E+05  7.3810E-01  4.9480E-01
  4.9940E-02  2.0024E+05  7.2250E-01  4.2200E-01
  4.7166E-02  2.1202E+05  7.2500E-01  3.5470E-01
  4.4572E-02  2.2435E+05  7.3690E-01  3.0160E-01
  4.2105E-02  2.3750E+05  7.4670E-01  2.6090E-01
  3.9769E-02  2.5145E+05  7.5370E-01  2.2010E-01
  3.7576E-02  2.6613E+05  7.6650E-01  1.7830E-01
  3.5500E-02  2.8169E+05  7.8620E-01  1.4400E-01
  3.3532E-02  2.9823E+05  8.0420E-01  1.1730E-01
  3.1681E-02  3.1565E+05  8.2650E-01  9.6130E-02
  2.9930E-02  3.3411E+05  8.3980E-01  7.8170E-02
  2.8272E-02  3.5371E+05  8.5710E-01  6.3970E-02
  2.6713E-02  3.7435E+05  8.7240E-01  5.2380E-02
  2.5234E-02  3.9629E+05  8.8600E-01  4.3000E-02
  2.3837E-02  4.1952E+05  8.9830E-01  3.5350E-02
  2.2521E-02  4.4403E+05  9.0950E-01  2.9110E-02
  2.1277E-02  4.7000E+05  9.1940E-01  2.4020E-02
  2.0101E-02  4.9750E+05  9.2820E-01  1.9840E-02
  1.8989E-02  5.2661E+05  9.3610E-01  1.6370E-02
  1.7937E-02  5.5750E+05  9.4300E-01  1.3520E-02
  1.6947E-02  5.9008E+05  9.5020E-01  1.1250E-02
  1.6008E-02  6.2468E+05  9.5530E-01  9.4430E-03
  1.5124E-02  6.6121E+05  9.5980E-01  7.9640E-03
  1.4287E-02  6.9992E+05  9.6460E-01  6.7130E-03
  1.3497E-02  7.4089E+05  9.6840E-01  5.6150E-03
  1.2752E-02  7.8419E+05  9.7190E-01  4.6470E-03
  1.2051E-02  8.2984E+05  9.7500E-01  3.8370E-03
  1.1376E-02  8.7903E+05  9.7790E-01  3.1920E-03
  1.0755E-02  9.2984E+05  9.8040E-01  2.6910E-03
  1.0156E-02  9.8468E+05  9.8260E-01  2.2870E-03
  9.5975E-03  1.0419E+06  9.8460E-01  1.9410E-03
  9.0643E-03  1.1032E+06  9.8630E-01  1.6300E-03
  8.5635E-03  1.1677E+06  9.8790E-01  1.3530E-03
  8.0887E-03  1.2363E+06  9.8930E-01  1.1230E-03
  8.1472E-03  1.2274E+06  9.9050E-01  9.3170E-04
  7.2219E-03  1.3847E+06  9.9170E-01  7.7300E-04
  6.8207E-03  1.4661E+06  9.9270E-01  5.4080E-04
  6.4449E-03  1.5516E+06  9.9360E-01  5.3100E-04
  6.0874E-03  1.6427E+06  9.9450E-01  4.3810E-04
  5.7541E-03  1.7379E+06  9.9530E-01  3.6040E-04
  5.4338E-03  1.8403E+06  9.9600E-01  2.9640E-04
  5.1325E-03  1.9484E+06  9.9670E-01  2.4380E-04
  4.8494E-03  2.0621E+06  9.9750E-01  2.0030E-04
  4.5807E-03  2.1831E+06  9.9870E-01  1.6510E-04
  4.3281E-03  2.3105E+06  9.9920E-01  3.4450E-03
  4.0884E-03  2.4460E+06  9.9840E-01  2.8400E-03
  3.8617E-03  2.5895E+06  9.9760E-01  2.3380E-03
  3.6481E-03  2.7411E+06  9.9750E-01  1.9280E-03
  3.4473E-03  2.9008E+06  9.9760E-01  1.5870E-03
  3.2563E-03  3.0710E+06  9.9770E-01  1.2990E-03
  3.0762E-03  3.2508E+06  9.9790E-01  1.0560E-03
  2.9060E-03  3.4411E+06  9.9800E-01  8.6780E-04
  2.7452E-03  3.6427E+06  9.9820E-01  7.1560E-04
  2.5936E-03  3.8556E+06  9.9830E-01  5.8530E-04
  2.4501E-03  4.0815E+06  9.9850E-01  4.7870E-04
  2.3147E-03  4.3202E+06  9.9860E-01  3.9400E-04
  2.1869E-03  4.5726E+06  9.9880E-01  3.2090E-04
  2.0660E-03  4.8403E+06  9.9890E-01  2.6170E-04
