From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  FC21PS
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  1.6487E-01  6.0653E+04  1.6390E+00  4.6140E-01
  1.5576E-01  6.4202E+04  1.6770E+00  4.8170E-01
  1.4715E-01  6.7960E+04  1.6810E+00  5.0070E-01
  1.3901E-01  7.1935E+04  1.7020E+00  5.3420E-01
  1.3133E-01  7.6145E+04  1.7080E+00  5.7770E-01
  1.2406E-01  8.0605E+04  1.7050E+00  6.3530E-01
  1.1720E-01  8.5323E+04  1.6860E+00  7.0090E-01
  1.1071E-01  9.0323E+04  1.6410E+00  7.5600E-01
  1.0464E-01  9.5565E+04  1.5820E+00  8.3040E-01
  9.8805E-02  1.0121E+05  1.4950E+00  8.7660E-01
  9.3373E-02  1.0710E+05  1.4040E+00  9.0810E-01
  8.8193E-02  1.1339E+05  1.3100E+00  9.1580E-01
  8.3333E-02  1.2000E+05  1.2160E+00  9.0870E-01
  7.8730E-02  1.2702E+05  1.1250E+00  8.9290E-01
  7.4341E-02  1.3452E+05  1.0330E+00  8.5800E-01
  7.0255E-02  1.4234E+05  9.5000E-01  8.0480E-01
  6.6346E-02  1.5073E+05  8.8750E-01  7.4100E-01
  6.2690E-02  1.5952E+05  8.4160E-01  6.7550E-01
  5.9217E-02  1.6887E+05  8.0520E-01  6.1780E-01
  5.5957E-02  1.7871E+05  7.6930E-01  5.6060E-01
  5.2856E-02  1.8919E+05  7.3800E-01  4.9480E-01
  4.9940E-02  2.0024E+05  7.2220E-01  4.2190E-01
  4.7166E-02  2.1202E+05  7.2500E-01  3.5470E-01
  4.4572E-02  2.2435E+05  7.3670E-01  3.0150E-01
  4.2105E-02  2.3750E+05  7.4650E-01  2.6080E-01
  3.9769E-02  2.5145E+05  7.5390E-01  2.2010E-01
  3.7576E-02  2.6613E+05  7.6610E-01  1.7830E-01
  3.5500E-02  2.8169E+05  7.8650E-01  1.4400E-01
  3.3532E-02  2.9823E+05  8.0070E-01  1.1710E-01
  3.1681E-02  3.1565E+05  8.3180E-01  9.6440E-02
  2.9930E-02  3.3411E+05  8.3810E-01  7.8090E-02
  2.8272E-02  3.5371E+05  8.5710E-01  6.3970E-02
  2.6713E-02  3.7435E+05  8.7240E-01  5.2380E-02
  2.5234E-02  3.9629E+05  8.8610E-01  4.3000E-02
  2.3837E-02  4.1952E+05  8.9830E-01  3.5350E-02
  2.2521E-02  4.4403E+05  9.0950E-01  2.9120E-02
  2.1277E-02  4.7000E+05  9.1940E-01  2.4020E-02
  2.0101E-02  4.9750E+05  9.2830E-01  1.9840E-02
  1.8989E-02  5.2661E+05  9.3590E-01  1.6370E-02
  1.7937E-02  5.5750E+05  9.4320E-01  1.3520E-02
  1.6947E-02  5.9008E+05  9.5070E-01  1.1250E-02
  1.6008E-02  6.2468E+05  9.5500E-01  9.4410E-03
  1.5124E-02  6.6121E+05  9.5940E-01  7.9610E-03
  1.4287E-02  6.9992E+05  9.6500E-01  6.7160E-03
  1.3497E-02  7.4089E+05  9.6830E-01  5.6140E-03
  1.2752E-02  7.8419E+05  9.7200E-01  4.6480E-03
  1.2051E-02  8.2984E+05  9.7500E-01  3.8360E-03
  1.1376E-02  8.7903E+05  9.7790E-01  3.1920E-03
  1.0755E-02  9.2984E+05  9.8040E-01  2.6910E-03
  1.0156E-02  9.8468E+05  9.8260E-01  2.2870E-03
  9.5975E-03  1.0419E+06  9.8460E-01  1.9410E-03
  9.0643E-03  1.1032E+06  9.8630E-01  1.6300E-03
  8.5635E-03  1.1677E+06  9.8790E-01  1.3530E-03
  8.0887E-03  1.2363E+06  9.8930E-01  1.1230E-03
  8.1472E-03  1.2274E+06  9.9050E-01  9.3170E-04
  7.2219E-03  1.3847E+06  9.9170E-01  7.7320E-04
  6.8207E-03  1.4661E+06  9.9270E-01  6.4070E-04
  6.4449E-03  1.5516E+06  9.9360E-01  5.3110E-04
  6.0874E-03  1.6427E+06  9.9450E-01  4.3820E-04
  5.7541E-03  1.7379E+06  9.9520E-01  3.6050E-04
  5.4338E-03  1.8403E+06  9.9500E-01  2.9640E-04
  5.1325E-03  1.9484E+06  9.9670E-01  2.4360E-04
  4.8494E-03  2.0621E+06  9.9740E-01  2.0010E-04
  4.5807E-03  2.1831E+06  9.9840E-01  1.6440E-04
  4.3281E-03  2.3105E+06  1.0010E+00  3.4510E-03
  4.0884E-03  2.4460E+06  9.9810E-01  2.8400E-03
  3.8617E-03  2.5895E+06  9.9760E-01  2.3380E-03
  3.6481E-03  2.7411E+06  9.9760E-01  1.9280E-03
  3.4473E-03  2.9008E+06  9.9760E-01  1.5870E-03
  3.2563E-03  3.0710E+06  9.9770E-01  1.2990E-03
  3.0762E-03  3.2508E+06  9.9790E-01  1.0550E-03
  2.9060E-03  3.4411E+06  9.9800E-01  8.6790E-04
  2.7452E-03  3.6427E+06  9.9820E-01  7.1570E-04
  2.5936E-03  3.8556E+06  9.9840E-01  5.8530E-04
  2.4501E-03  4.0815E+06  9.9850E-01  4.7870E-04
  2.3147E-03  4.3202E+06  9.9870E-01  3.9410E-04
  2.1869E-03  4.5726E+06  9.9880E-01  3.2090E-04
  2.0660E-03  4.8403E+06  9.9890E-01  2.6170E-04
  1.9515E-03  5.1242E+06  9.9900E-01  2.1310E-04
  1.8439E-03  5.4234E+06  9.9910E-01  1.7210E-04
  1.7418E-03  5.7411E+06  9.9920E-01  1.4200E-04
  1.6454E-03  6.0774E+06  9.9930E-01  1.1490E-04
  1.5545E-03  6.4331E+06  9.9940E-01  9.2540E-05
  1.4685E-03  6.8097E+06  9.9940E-01  7.4980E-05
  1.3873E-03  7.2081E+06  1.0000E+00  6.0490E-05
  1.3106E-03  7.6298E+06  1.0000E+00  4.8830E-05
  1.2388E-03  8.0726E+06  1.0000E+00  3.9500E-05
  1.1698E-03  8.5484E+06  1.0000E+00  3.1710E-05
  1.1052E-03  9.0484E+06  1.0000E+00  2.5600E-05
  1.0438E-03  9.5806E+06  1.0000E+00  2.0630E-05
  9.8648E-04  1.0137E+07  1.0000E+00  1.6490E-05
  9.3163E-04  1.0734E+07  1.0000E+00  1.3220E-05
  8.8006E-04  1.1363E+07  1.0000E+00  1.0620E-05
  8.3166E-04  1.2024E+07  1.0000E+00  8.5330E-06
  7.8580E-04  1.2726E+07  1.0000E+00  6.8440E-06
  7.4207E-04  1.3476E+07  1.0000E+00  5.4810E-06
  7.0096E-04  1.4266E+07  1.0000E+00  4.3830E-06
  6.6239E-04  1.5097E+07  1.0000E+00  3.5030E-06
  6.2563E-04  1.5984E+07  1.0000E+00  2.7990E-06
  5.9104E-04  1.6919E+07  1.0000E+00  2.2370E-06
  5.5831E-04  1.7911E+07  1.0000E+00  1.7880E-06
  5.2766E-04  1.8952E+07  1.0000E+00  1.4270E-05
  4.9839E-04  2.0065E+07  1.0000E+00  1.1360E-06
  4.7077E-04  2.1242E+07  1.0000E+00  9.0450E-07
  4.4476E-04  2.2484E+07  1.0000E+00  7.2140E-07
  4.2020E-04  2.3798E+07  1.0000E+00  5.7560E-07
  3.9693E-04  2.5194E+07  1.0000E+00  4.5870E-07
  3.7508E-04  2.6661E+07  1.0000E+00  3.6490E-07
  3.5429E-04  2.8226E+07  1.0000E+00  2.8990E-07
