Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
   13.2927    752.29   1.68971  2.6178E-02
   13.2587    754.22   1.68976  2.5881E-02
   13.2248    756.16   1.68987  2.5546E-02
   13.1912    758.08   1.68989  2.5193E-02
   13.1577    760.01   1.69005  2.4858E-02
   13.1244    761.94   1.69017  2.4651E-02
   13.0913    763.87   1.69023  2.4390E-02
   13.0583    765.80   1.69034  2.4154E-02
   13.0255    767.72   1.69039  2.3906E-02
   12.9928    769.66   1.69052  2.3582E-02
   12.9603    771.59   1.69066  2.3327E-02
   12.9280    773.51   1.69081  2.3112E-02
   12.8959    775.44   1.69092  2.2925E-02
   12.8639    777.37   1.69103  2.2770E-02
   12.8320    779.30   1.69115  2.2557E-02
   12.8003    781.23   1.69127  2.2342E-02
   12.7688    783.16   1.69139  2.2135E-02
   12.7374    785.09   1.69156  2.1994E-02
   12.7062    787.02   1.69164  2.1863E-02
   12.6751    788.95   1.69178  2.1681E-02
   12.6442    790.88   1.69191  2.1502E-02
   12.6135    792.80   1.69201  2.1418E-02
   12.5829    794.73   1.69209  2.1261E-02
   12.5524    796.66   1.69223  2.1073E-02
   12.5221    798.59   1.69233  2.0950E-02
   12.4919    800.52   1.69246  2.0805E-02
   12.4619    802.45   1.69256  2.0608E-02
   12.4320    804.38   1.69273  2.0417E-02
   12.4022    806.31   1.69293  2.0329E-02
   12.3726    808.24   1.69307  2.0270E-02
   12.3432    810.16   1.69317  2.0160E-02
   12.3139    812.09   1.69331  2.0038E-02
   12.2847    814.02   1.69345  1.9919E-02
   12.2556    815.95   1.69363  1.9807E-02
   12.2267    817.88   1.69382  1.9679E-02
   12.1980    819.81   1.69398  1.9608E-02
   12.1693    821.74   1.69421  1.9627E-02
   12.1408    823.67   1.69436  1.9591E-02
   12.1125    825.59   1.69448  1.9530E-02
   12.0842    827.53   1.69471  1.9568E-02
   12.0561    829.46   1.69485  1.9616E-02
   12.0282    831.38   1.69492  1.9641E-02
   12.0003    833.31   1.69508  1.9693E-02
   11.9726    835.24   1.69517  1.9697E-02
   11.9450    837.17   1.69531  1.9809E-02
   11.9176    839.10   1.69527  1.9982E-02
   11.8902    841.03   1.69523  2.0083E-02
   11.8630    842.96   1.69510  1.9924E-02
   11.8359    844.89   1.69520  1.9622E-02
   11.8090    846.81   1.69533  1.9537E-02
   11.7821    848.75   1.69549  1.9671E-02
   11.7554    850.67   1.69547  1.9630E-02
   11.7288    852.60   1.69557  1.9411E-02
   11.7023    854.53   1.69580  1.9309E-02
   11.6760    856.46   1.69598  1.9257E-02
   11.6497    858.39   1.69631  1.9296E-02
   11.6236    860.32   1.69652  1.9497E-02
   11.5976    862.25   1.69667  1.9756E-02
   11.5717    864.18   1.69677  2.0006E-02
   11.5460    866.10   1.69672  2.0237E-02
   11.5203    868.03   1.69675  2.0462E-02
   11.4948    869.96   1.69658  2.0700E-02
   11.4693    871.89   1.69647  2.0856E-02
   11.4440    873.82   1.69627  2.0857E-02
   11.4188    875.75   1.69615  2.0842E-02
   11.3937    877.68   1.69602  2.0883E-02
   11.3687    879.61   1.69586  2.0879E-02
   11.3438    881.54   1.69572  2.0780E-02
   11.3191    883.46   1.69553  2.0612E-02
   11.2944    885.39   1.69554  2.0387E-02
   11.2699    887.32   1.69548  2.0160E-02
   11.2454    889.25   1.69562  1.9963E-02
   11.2211    891.18   1.69568  1.9806E-02
   11.1968    893.11   1.69588  1.9754E-02
   11.1727    895.04   1.69596  1.9717E-02
   11.1487    896.97   1.69608  1.9654E-02
   11.1248    898.89   1.69619  1.9644E-02
   11.1009    900.83   1.69636  1.9684E-02
   11.0772    902.76   1.69643  1.9704E-02
   11.0536    904.68   1.69652  1.9768E-02
   11.0301    906.61   1.69658  1.9805E-02
   11.0067    908.54   1.69663  1.9796E-02
   10.9833    910.47   1.69680  1.9839E-02
   10.9601    912.40   1.69686  1.9946E-02
   10.9370    914.33   1.69692  2.0027E-02
   10.9140    916.25   1.69694  2.0096E-02
   10.8910    918.19   1.69706  2.0192E-02
