From Rouleau, F. and P.G. Martin, Shape and clustering effects on the
optical properties of amorphous carbon, Astrophys. J., 377, 526-540, 1991.
Sample:  AC1
      Wavelength       Wave          real     imaginary
      (microns)       Number        index       index   
     4.46530    2239.50    2.26100   0.220300
     4.72740    2115.30    2.26800   0.216500
     5.00400    1998.40    2.27300   0.213700
     5.29690    1887.90    2.27900   0.211900
     5.60580    1783.90    2.28300   0.209700
     5.93300    1685.50    2.28500   0.210000
     6.28170    1591.90    2.28800   0.212600
     6.64880    1504.00    2.29100   0.217000
     7.03750    1421.00    2.29600   0.225300
     7.45190    1341.90    2.30600   0.233600
     7.88800    1267.70    2.31700   0.242900
     8.35020    1197.60    2.33700   0.249600
     8.83820    1131.50    2.35800   0.245400
     9.35140    1069.40    2.37000   0.236200
     9.90420    1009.70    2.38000   0.231900
    10.48200    954.030    2.38400   0.222400
     11.0910    901.610    2.38800   0.231400
     11.7420    851.610    2.40300   0.232900
     12.4300    804.520    2.42500   0.235100
     13.1580    760.000    2.44200   0.207600
     13.9280    717.980    2.43200   0.194100
     14.7430    678.310    2.42900   0.195600
     15.6050    640.810    2.43200   0.197600
     16.5200    605.320    2.43600   0.198500
     17.4870    571.850    2.44000   0.198100
     18.5100    540.240    2.44500   0.199400
     19.5920    510.400    2.44900   0.199800
     20.7390    482.180    2.45400   0.200000
     21.9550    455.480    2.45900   0.201600
     23.2380    430.320    2.46300   0.203000
     24.5980    406.530    2.46900   0.203800
     26.0390    384.030    2.47400   0.204000
     27.5620    362.820    2.50500   0.204400
     29.1760    342.740    2.51200   0.204700
     30.8840    323.790    2.51900   0.205000
     32.6920    305.890    2.52600   0.205700
     34.5980    289.030    2.53200   0.206100
     36.6320    272.980    2.53900   0.206500
     38.7740    257.900    2.54600   0.206500
     41.0460    243.630    2.55200   0.206600
     43.4480    230.160    2.55800   0.207200
     45.9770    217.500    2.56300   0.208700
     48.6850    205.400    2.56900   0.211200
     51.5160    194.110    2.57700   0.214400
     54.5290    183.390    2.58500   0.216900
     57.7280    173.230    2.59400   0.217400
     61.1140    163.630    2.60200   0.216100
     64.6840    154.600    2.60600   0.215800
     68.4700    146.050    2.61100   0.220000
     72.4720    137.980    2.61800   0.223000
     76.7330    130.320    2.62400   0.226700
     81.2050    123.150    2.63200   0.230400
     85.9920    116.290    2.63900   0.234300
     90.9760    109.920    2.64800   0.240000
     96.3480   103.7900    2.65600   0.244700
    101.9700    98.0650    2.66900   0.251100
     107.920    92.6610    2.68200   0.251900
     114.290    87.5000    2.69200   0.253500
     120.980    82.6610    2.70300   0.255900
     128.010    78.1210    2.71500   0.257900
     135.500    73.7980    2.72700   0.257700
     143.440    69.7180    2.73500   0.256300
     151.830    65.8630    2.74100   0.260000
     160.710    62.2260    2.75300   0.268000
     170.120    58.7820    2.77100   0.269300
     180.080    55.5320    2.78300   0.263200
     190.620    52.4600    2.78700   0.263600
     201.790    49.5560    2.79600   0.273900
     213.570    46.8230    2.81500   0.279300
     226.070    44.2340    2.83100   0.278500
     239.340    41.7820    2.84400   0.279300
     253.320    39.4760    2.86100   0.283200
     268.170    37.2900    2.88000   0.282400
     283.820    35.2340    2.90000   0.284500
     300.460    33.2820    2.92800   0.276100
