Basaltic glass data from Pollack et al., Icarus, 19, 372-389, 1973
and Lamy, Icarus, 34, 68-75, 1977
0.1 <= wavelength < 0.42 microns, from Lamy
0.42 < wavelength < 5 micrometers from Pollack Table II
wavelengths > 5 micrometers calculated from Pollack oscillator paramters
  wavelength  real index  imag. index
 3.0000E+01  2.2708E+00   2.4062E-01
 3.0250E+01  2.2662E+00   2.3248E-01
 3.0500E+01  2.2616E+00   2.2481E-01
 3.0750E+01  2.2571E+00   2.1759E-01
 3.1000E+01  2.2527E+00   2.1078E-01
 3.1250E+01  2.2484E+00   2.0434E-01
 3.1500E+01  2.2442E+00   1.9826E-01
 3.1750E+01  2.2401E+00   1.9250E-01
 3.2000E+01  2.2361E+00   1.8704E-01
 3.2250E+01  2.2322E+00   1.8187E-01
 3.2500E+01  2.2284E+00   1.7695E-01
 3.2750E+01  2.2248E+00   1.7229E-01
 3.3000E+01  2.2212E+00   1.6785E-01
 3.3250E+01  2.2177E+00   1.6362E-01
 3.3500E+01  2.2142E+00   1.5959E-01
 3.3750E+01  2.2109E+00   1.5575E-01
 3.4000E+01  2.2077E+00   1.5208E-01
 3.4250E+01  2.2046E+00   1.4858E-01
 3.4500E+01  2.2015E+00   1.4523E-01
 3.4750E+01  2.1985E+00   1.4202E-01
 3.5000E+01  2.1956E+00   1.3895E-01
 3.5250E+01  2.1928E+00   1.3601E-01
 3.5500E+01  2.1901E+00   1.3319E-01
 3.5750E+01  2.1874E+00   1.3048E-01
 3.6000E+01  2.1848E+00   1.2788E-01
 3.6250E+01  2.1823E+00   1.2538E-01
 3.6500E+01  2.1798E+00   1.2297E-01
 3.6750E+01  2.1774E+00   1.2066E-01
 3.7000E+01  2.1751E+00   1.1843E-01
 3.7250E+01  2.1728E+00   1.1628E-01
 3.7500E+01  2.1706E+00   1.1422E-01
 3.7750E+01  2.1685E+00   1.1222E-01
 3.8000E+01  2.1664E+00   1.1029E-01
 3.8250E+01  2.1643E+00   1.0843E-01
 3.8500E+01  2.1623E+00   1.0663E-01
 3.8750E+01  2.1604E+00   1.0490E-01
 3.9000E+01  2.1585E+00   1.0322E-01
 3.9250E+01  2.1566E+00   1.0159E-01
 3.9500E+01  2.1548E+00   1.0001E-01
 3.9750E+01  2.1530E+00   9.8490E-02
 4.0000E+01  2.1513E+00   9.7012E-02
 4.0250E+01  2.1496E+00   9.5579E-02
 4.0500E+01  2.1480E+00   9.4190E-02
 4.0750E+01  2.1464E+00   9.2841E-02
 4.1000E+01  2.1448E+00   9.1532E-02
 4.1250E+01  2.1433E+00   9.0261E-02
 4.1500E+01  2.1418E+00   8.9027E-02
 4.1750E+01  2.1403E+00   8.7827E-02
 4.2000E+01  2.1389E+00   8.6660E-02
 4.2250E+01  2.1375E+00   8.5525E-02
 4.2500E+01  2.1361E+00   8.4421E-02
 4.2750E+01  2.1347E+00   8.3347E-02
 4.3000E+01  2.1334E+00   8.2301E-02
 4.3250E+01  2.1322E+00   8.1282E-02
 4.3500E+01  2.1309E+00   8.0290E-02
 4.3750E+01  2.1297E+00   7.9322E-02
 4.4000E+01  2.1285E+00   7.8379E-02
 4.4250E+01  2.1273E+00   7.7460E-02
 4.4500E+01  2.1261E+00   7.6563E-02
 4.4750E+01  2.1250E+00   7.5687E-02
 4.5000E+01  2.1239E+00   7.4833E-02
 4.5250E+01  2.1228E+00   7.3999E-02
 4.5500E+01  2.1218E+00   7.3184E-02
 4.5750E+01  2.1207E+00   7.2389E-02
 4.6000E+01  2.1197E+00   7.1611E-02
 4.6250E+01  2.1187E+00   7.0851E-02
 4.6500E+01  2.1177E+00   7.0108E-02
 4.6750E+01  2.1168E+00   6.9382E-02
 4.7000E+01  2.1158E+00   6.8671E-02
 4.7250E+01  2.1149E+00   6.7976E-02
 4.7500E+01  2.1140E+00   6.7296E-02
 4.7750E+01  2.1131E+00   6.6630E-02
 4.8000E+01  2.1122E+00   6.5978E-02
 4.8250E+01  2.1114E+00   6.5340E-02
 4.8500E+01  2.1105E+00   6.4714E-02
 4.8750E+01  2.1097E+00   6.4102E-02
 4.9000E+01  2.1089E+00   6.3502E-02
 4.9250E+01  2.1081E+00   6.2913E-02
 4.9500E+01  2.1073E+00   6.2337E-02
 4.9750E+01  2.1066E+00   6.1771E-02
 5.0000E+01  2.1058E+00   6.1217E-02
