Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 4000-332 inverse centimeters.

high frq. dielec. const=  2.262
Lorentz line parameters
center  width  strength
 975.0  0.1439  0.7980
 750.0  0.0829  0.0630
 672.0  0.1170  0.0850
 444.6  0.1938  1.4310

 wave.    freq.   refl.       real       imag.
 8.7413  1144.0  0.1322      0.7038      0.5841
 8.7260  1146.0  0.1276      0.7056      0.5713
 8.7108  1148.0  0.1231      0.7078      0.5586
 8.6957  1150.0  0.1186      0.7101      0.5462
 8.6806  1152.0  0.1142      0.7127      0.5340
 8.6655  1154.0  0.1099      0.7154      0.5219
 8.6505  1156.0  0.1057      0.7184      0.5101
 8.6356  1158.0  0.1015      0.7216      0.4985
 8.6207  1160.0  0.0974      0.7249      0.4871
 8.6059  1162.0  0.0934      0.7285      0.4760
 8.5911  1164.0  0.0895      0.7322      0.4651
 8.5763  1166.0  0.0858      0.7360      0.4544
 8.5616  1168.0  0.0821      0.7400      0.4439
 8.5470  1170.0  0.0785      0.7442      0.4337
 8.5324  1172.0  0.0750      0.7484      0.4237
 8.5179  1174.0  0.0717      0.7528      0.4140
 8.5034  1176.0  0.0684      0.7573      0.4045
 8.4890  1178.0  0.0653      0.7619      0.3952
 8.4746  1180.0  0.0623      0.7665      0.3861
 8.4602  1182.0  0.0594      0.7713      0.3773
 8.4459  1184.0  0.0566      0.7761      0.3688
 8.4317  1186.0  0.0539      0.7810      0.3604
 8.4175  1188.0  0.0513      0.7859      0.3523
 8.4034  1190.0  0.0488      0.7909      0.3444
 8.3893  1192.0  0.0464      0.7959      0.3367
 8.3752  1194.0  0.0442      0.8009      0.3292
 8.3612  1196.0  0.0420      0.8060      0.3219
 8.3472  1198.0  0.0399      0.8111      0.3149
 8.3333  1200.0  0.0379      0.8162      0.3080
 8.3195  1202.0  0.0360      0.8212      0.3013
 8.3056  1204.0  0.0342      0.8263      0.2949
 8.2919  1206.0  0.0325      0.8314      0.2886
 8.2781  1208.0  0.0309      0.8365      0.2824
