Orthopyroxene slab
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
 14.368  1.438  0.553
 14.451  1.600  0.557
 14.535  1.679  0.425
 14.620  1.643  0.308
 14.706  1.571  0.244
 14.793  1.495  0.216
 14.881  1.421  0.212
 14.970  1.351  0.228
 15.060  1.293  0.268
 15.152  1.267  0.329
 15.244  1.294  0.371
 15.337  1.326  0.344
 15.432  1.304  0.289
 15.528  1.244  0.252
 15.625  1.170  0.238
 15.723  1.091  0.240
 15.823  1.009  0.256
 15.924  0.924  0.286
 16.026  0.836  0.332
 16.129  0.748  0.398
 16.234  0.669  0.487
 16.340  0.611  0.596
 16.447  0.580  0.715
 16.556  0.575  0.829
 16.667  0.590  0.931
 16.779  0.617  1.012
 16.892  0.641  1.072
 17.007  0.645  1.120
 17.123  0.627  1.178
 17.241  0.600  1.265
 17.361  0.589  1.388
 17.483  0.622  1.537
 17.606  0.730  1.677
 17.731  0.904  1.717
 17.857  0.979  1.622
 17.986  0.898  1.604
 18.116  0.847  1.722
 18.248  0.905  1.867
 18.382  1.047  1.939
 18.519  1.166  1.875
 18.657  1.130  1.762
 18.797  0.971  1.759
 18.939  0.817  1.898
 19.084  0.730  2.121
 19.231  0.712  2.385
 19.380  0.759  2.678
 19.531  0.877  3.001
 19.685  1.098  3.354
 19.841  1.484  3.701
 20.000  2.084  3.904
 20.161  2.713  3.772
 20.325  3.128  3.527
 20.492  3.580  3.208
 20.661  3.744  2.691
 20.833  3.794  2.400
 21.008  3.813  1.982
 21.186  3.595  1.791
 21.368  3.612  1.714
 21.552  3.527  1.574
 21.739  3.609  1.602
 21.930  3.826  1.318
 22.124  3.737  0.922
 22.321  3.510  0.680
 22.523  3.279  0.552
 22.727  3.068  0.487
 22.936  2.877  0.460
 23.148  2.699  0.459
 23.364  2.529  0.480
 23.585  2.362  0.524
 23.810  2.196  0.596
 24.038  2.032  0.704
 24.272  1.875  0.858
 24.510  1.743  1.069
 24.752  1.661  1.337
 25.000  1.653  1.647
