Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1700-230 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  3.236
Lorentz line parameters
center  width  strength
1536.4  0.0559  0.0520
1077.2  0.0324  0.1510
1006.8  0.0326  0.0320
 951.3  0.0386  0.1130
 904.5  0.0532  0.5450
 755.9  0.0956  0.0800
 634.8  0.0469  0.0660
 542.1  0.0814  0.2690
 507.3  0.0441  0.3450
 480.0  0.0599  0.4390
 433.6  0.0236  0.0390
 401.5  0.0875  0.7540
 333.1  0.0579  0.5840
 297.9  0.1063  0.5720
 186.3  0.3096  6.1260

 wave.    freq.   calc.        real       imag.
(micron)  (cm-1)  refl.       index       index
16.1290   620.0  0.0716       1.496      0.4645
16.0772   622.0  0.0769       1.521      0.4855
16.0256   624.0  0.0825       1.541      0.5116
15.9744   626.0  0.0882       1.554      0.5422
15.9236   628.0  0.0935       1.558      0.5759
15.8730   630.0  0.0982       1.551      0.6101
15.8228   632.0  0.1017       1.531      0.6412
15.7729   634.0  0.1034       1.500      0.6645
15.7233   636.0  0.1028       1.461      0.6760
15.6740   638.0  0.0998       1.419      0.6733
15.6250   640.0  0.0943       1.379      0.6565
15.5763   642.0  0.0871       1.344      0.6279
15.5280   644.0  0.0788       1.320      0.5911
15.4799   646.0  0.0704       1.305      0.5500
15.4321   648.0  0.0627       1.300      0.5081
15.3846   650.0  0.0562       1.303      0.4677
15.3374   652.0  0.0511       1.313      0.4304
15.2905   654.0  0.0475       1.327      0.3970
15.2439   656.0  0.0450       1.344      0.3675
15.1976   658.0  0.0437       1.364      0.3418
15.1515   660.0  0.0432       1.385      0.3196
15.1057   662.0  0.0434       1.406      0.3005
15.0602   664.0  0.0441       1.427      0.2840
15.0150   666.0  0.0452       1.449      0.2698
14.9701   668.0  0.0466       1.470      0.2576
14.9254   670.0  0.0482       1.491      0.2471
14.8810   672.0  0.0499       1.511      0.2381
14.8368   674.0  0.0518       1.530      0.2303
14.7929   676.0  0.0538       1.550      0.2236
14.7493   678.0  0.0558       1.568      0.2178
14.7059   680.0  0.0578       1.587      0.2129
14.6628   682.0  0.0599       1.605      0.2088
14.6199   684.0  0.0620       1.622      0.2053
14.5773   686.0  0.0641       1.639      0.2025
14.5349   688.0  0.0663       1.656      0.2003
14.4928   690.0  0.0684       1.672      0.1985
14.4509   692.0  0.0705       1.688      0.1973
14.4092   694.0  0.0726       1.703      0.1965
14.3678   696.0  0.0747       1.719      0.1962
14.3266   698.0  0.0768       1.734      0.1963
