From Roush et al. (2007) J. Geophys. Res.-Planets
Gypsum optical constants from Fresnel measurements.
Frequency  Real    Imaginary
 (cm-1)    index    index
713.5282 1.297757 0.07304702
714.4924 1.301949 0.07131999
715.4567 1.305997 0.069696486
716.4209 1.309906 0.068167277
717.3851 1.313687 0.066724576
718.3493 1.317346 0.065360419
719.3136 1.320891 0.064069122
720.2778 1.324327 0.06284523
721.242 1.327659 0.061682116
722.2062 1.330895 0.060576402
723.1705 1.33404 0.059523266
724.1347 1.337096 0.058518425
725.0989 1.34007 0.057559744
726.0632 1.342965 0.05664273
727.0274 1.345786 0.055765159
727.9916 1.348535 0.054924589
728.9558 1.351216 0.054117776
729.9201 1.353833 0.053343471
730.8843 1.356389 0.052599132
731.8485 1.358885 0.05188261
732.8127 1.361326 0.051192746
733.777 1.363713 0.050528262
734.7412 1.366049 0.049886599
735.7054 1.368335 0.049267434
736.6697 1.370575 0.048669174
737.6339 1.372769 0.048090126
738.5981 1.374921 0.047530361
739.5623 1.377031 0.046988033
740.5266 1.379101 0.04646311
741.4908 1.381133 0.045953594
742.455 1.383129 0.045459352
743.4192 1.385089 0.044979557
744.3835 1.387015 0.044513337
745.3477 1.388909 0.04406045
746.3119 1.390771 0.04361926
747.2762 1.392603 0.043190815
748.2404 1.394406 0.042773411
749.2046 1.396181 0.042367369
750.1688 1.397928 0.041971602
751.1331 1.39965 0.041584969
752.0973 1.401346 0.041209172
753.0615 1.403018 0.040841598
754.0257 1.404666 0.040483199
754.99 1.406291 0.040132739
755.9542 1.407895 0.039791178
756.9184 1.409477 0.039457235
757.8827 1.411039 0.039130341
758.8469 1.41258 0.038810682
759.8111 1.414103 0.038498431
760.7753 1.415606 0.038192209
761.7396 1.417092 0.037894525
762.7038 1.41856 0.037600826
763.668 1.420011 0.0373144
764.6322 1.421446 0.037032198
765.5965 1.422865 0.036757559
766.5607 1.424268 0.036489021
767.5249 1.425657 0.036223426
768.4892 1.42703 0.035964161
769.4534 1.42839 0.035711356
770.4176 1.429736 0.035460111
771.3818 1.431069 0.035215538
772.3461 1.432389 0.03497437
773.3103 1.433696 0.034738388
774.2745 1.434991 0.034507703
775.2387 1.436275 0.034280684
776.203 1.437546 0.034057397
777.1672 1.438807 0.033837926
778.1314 1.440057 0.033622339
779.0957 1.441297 0.033410713
780.0599 1.442526 0.033203125
781.0241 1.443745 0.03299965
781.9883 1.444954 0.032798547
782.9526 1.446155 0.032599859
783.9168 1.447345 0.032405473
784.881 1.448528 0.032213613
785.8452 1.449701 0.032026187
786.8095 1.450866 0.031841405
787.7737 1.452023 0.031659305
788.7379 1.453172 0.031479944
789.7022 1.454314 0.031303361
790.6664 1.455448 0.031129604
791.6306 1.456574 0.030960651
792.5948 1.457694 0.030792706
793.5591 1.458806 0.030627731
794.5233 1.459912 0.03046382
795.4875 1.461012 0.030302957
796.4517 1.462105 0.030145189
797.416 1.463192 0.029990567
798.3802 1.464273 0.029837141
799.3444 1.465348 0.029686937
800.3087 1.466417 0.029537989
801.2729 1.467481 0.029392341
802.2371 1.46854 0.029250044
803.2013 1.469594 0.029109098
804.1656 1.470642 0.028969524
805.1298 1.471686 0.028831344
806.094 1.472725 0.028694574
807.0582 1.47376 0.028561322
808.0225 1.47479 0.028431641
808.9867 1.475815 0.028301364
809.9509 1.476837 0.028174717
810.9152 1.477854 0.028047496
811.8794 1.478868 0.027923968
812.8436 1.479877 0.027802033
813.8078 1.480884 0.027683867
814.7721 1.481886 0.027563034
815.7363 1.482885 0.027448183
816.7005 1.483881 0.027332848
817.6647 1.484874 0.027221406
818.629 1.485864 0.027107306
819.5932 1.48685 0.026999349
820.5574 1.487834 0.026890956
821.5217 1.488815 0.026784351
822.4859 1.489793 0.026679555
823.4501 1.490769 0.026576588
824.4143 1.491742 0.02647322
825.3786 1.492713 0.026373968
826.3428 1.493682 0.02627434
827.307 1.494648 0.026178889
828.2712 1.495613 0.026083088
829.2355 1.496576 0.025986932
830.1997 1.497536 0.025895024
831.1639 1.498495 0.025805099
832.1282 1.499452 0.025714858
833.0924 1.500408 0.025624299
834.0566 1.501362 0.025538089
835.0208 1.502315 0.025453929
835.9851 1.503267 0.02536949
836.9493 1.504217 0.025284767
837.9135 1.505166 0.025202125
838.8777 1.506114 0.025123956
839.842 1.507061 0.025045544
840.8062 1.508006 0.024966886
841.7704 1.508952 0.024890373
842.7347 1.509896 0.024816027
843.6989 1.51084 0.024741458
844.6631 1.511783 0.024669079
845.6273 1.512726 0.024596486
846.5916 1.513668 0.02452611
847.5558 1.51461 0.024457969
848.52 1.515552 0.024389636
849.4842 1.516494 0.024323562
850.4485 1.517435 0.02425731
851.4127 1.518376 0.024193339
852.3769 1.519318 0.024131667
853.3412 1.520259 0.024069838
854.3054 1.521201 0.024010334
855.2696 1.522143 0.023950681
856.2338 1.523085 0.023893373
857.1981 1.524028 0.023835929
858.1623 1.524971 0.023778344
859.1265 1.525915 0.023723133
860.0907 1.526859 0.023670312
861.055 1.527804 0.023617372
862.0192 1.52875 0.023566842
862.9834 1.529697 0.023516204
863.9477 1.530645 0.023467997
864.9119 1.531594 0.023419691
865.8761 1.532543 0.023373835
866.8403 1.533494 0.023327889
867.8046 1.534446 0.023281852
868.7688 1.5354 0.023240853
869.733 1.536355 0.023197213
870.6972 1.537311 0.023156065
871.6615 1.538269 0.023114845
872.6257 1.539228 0.023076132
873.5899 1.540189 0.023039943
874.5542 1.541152 0.023001105
875.5184 1.542117 0.022967393
876.4826 1.543083 0.02293103
877.4468 1.544052 0.022899818
878.4111 1.545022 0.022865957
879.3753 1.545995 0.022834655
880.3395 1.54697 0.022805924
881.3037 1.547947 0.022774538
882.268 1.548926 0.022745732
883.2322 1.549908 0.022719512
884.1964 1.550892 0.022695888
885.1607 1.551879 0.022669611
886.1249 1.552869 0.022645935
887.0891 1.553861 0.022622235
888.0533 1.554856 0.022601146
889.0176 1.555854 0.022580039
889.9818 1.556855 0.022561552
890.946 1.557859 0.022543052
891.9102 1.558866 0.022527182
892.8745 1.559876 0.022511302
893.8387 1.56089 0.022495409
894.8029 1.561907 0.022482157
895.7672 1.562927 0.022468897
896.7314 1.563951 0.022458283
897.6956 1.564979 0.022447664
898.6598 1.56601 0.022439698
899.6241 1.567045 0.022431727
900.5883 1.568084 0.022423755
901.5525 1.569127 0.022418438
902.5167 1.570174 0.02241312
903.481 1.571225 0.02241046
904.4452 1.57228 0.0224078
905.4094 1.57334 0.02240514
906.3737 1.574404 0.02240514
907.3379 1.575472 0.0224078
908.3021 1.576545 0.0224078
909.2663 1.577623 0.02241312
910.2306 1.578706 0.022418438
911.1948 1.579794 0.022423755
912.159 1.580886 0.022431727
913.1232 1.581984 0.022439698
914.0875 1.583087 0.02245032
915.0517 1.584195 0.022460938
916.0159 1.585309 0.022474201
916.9802 1.586427 0.022484807
917.9444 1.587552 0.022500709
918.9086 1.588683 0.022516597
919.8728 1.589819 0.022532474
920.8371 1.590961 0.022550983
921.8013 1.592109 0.022572117
922.7655 1.593264 0.022593234
923.7297 1.594424 0.022616964
924.694 1.595591 0.02264067
925.6582 1.596765 0.022664351
926.6224 1.597945 0.022693262
927.5867 1.599132 0.022722136
928.5509 1.600326 0.022750972
929.5151 1.601527 0.022782389
930.4793 1.602735 0.022813762
931.4436 1.60395 0.022847703
932.4078 1.605173 0.022884196
933.372 1.606403 0.022918031
934.3362 1.607641 0.022957008
935.3005 1.608886 0.022998514
936.2647 1.61014 0.023039943
937.2289 1.611401 0.023081297
938.1932 1.612671 0.023125157
939.1574 1.61395 0.023174077
940.1216 1.615236 0.023220327
941.0858 1.616532 0.023269048
942.0501 1.617836 0.023322778
943.0143 1.61915 0.023373835
943.9785 1.620472 0.023427324
944.9427 1.621804 0.02348577
945.907 1.623145 0.023541538
946.8712 1.624496 0.023602225
947.8354 1.625857 0.023662757
948.7997 1.627228 0.023725646
949.7639 1.628609 0.023790874
950.7281 1.63 0.023860922
951.6923 1.631402 0.023928272
952.6566 1.632815 0.024000403
953.6208 1.634238 0.024072316
954.585 1.635673 0.024146482
955.5492 1.637119 0.024222884
956.5135 1.638576 0.02430395
957.4777 1.640046 0.024384748
958.4419 1.641527 0.024467714
959.4062 1.64302 0.024552828
960.3704 1.644526 0.024640067
961.3346 1.646044 0.024729408
962.2988 1.647576 0.024820831
963.2631 1.64912 0.024916701
964.2273 1.650678 0.025012204
965.1915 1.652249 0.025112091
966.1557 1.653834 0.025211584
967.12 1.655434 0.025315393
968.0842 1.657047 0.025423469
969.0484 1.658675 0.025531087
970.0127 1.660318 0.025642902
970.9769 1.661977 0.025756547
971.9411 1.66365 0.025876602
972.9053 1.665339 0.025996104
973.8696 1.667045 0.026117342
974.8338 1.668767 0.026242562
975.798 1.670505 0.026371708
976.7622 1.672261 0.026502473
977.7265 1.674033 0.026637074
978.6907 1.675824 0.026773224
979.6549 1.677632 0.026915327
980.6192 1.679459 0.027058888
981.5834 1.681304 0.027206074
982.5476 1.683168 0.027356826
983.5118 1.685052 0.027511084
984.4761 1.686956 0.027668793
985.4403 1.68888 0.027829889
986.4045 1.690824 0.027994318
987.3688 1.69279 0.028164137
988.333 1.694777 0.02833504
989.2972 1.696786 0.028511193
990.2614 1.698817 0.028690418
991.2257 1.700872 0.028874725
992.1899 1.702949 0.029064016
993.1541 1.70505 0.029256156
994.1183 1.707175 0.029455138
995.0826 1.709326 0.029656805
996.0468 1.711501 0.029861104
997.011 1.713703 0.030073924
997.9753 1.715931 0.030289184
998.9395 1.718186 0.030508788
999.9037 1.720468 0.030736519
1000.868 1.722778 0.030968351
1001.832 1.725118 0.031202279
1002.796 1.727487 0.031445842
1003.761 1.729885 0.031693175
1004.725 1.732315 0.031946059
1005.689 1.734776 0.032206211
1006.653 1.737269 0.032469787
1007.617 1.739795 0.032742161
1008.582 1.742355 0.033019513
1009.546 1.744949 0.033305291
1010.51 1.747579 0.033595737
1011.474 1.750244 0.033894245
1012.439 1.752947 0.034198865
1013.403 1.755687 0.034511156
1014.367 1.758466 0.03483263
1015.331 1.761285 0.035161335
1016.296 1.764144 0.035497073
1017.26 1.767045 0.035841309
1018.224 1.769989 0.036195442
1019.188 1.772976 0.036555931
1020.153 1.776009 0.036927428
1021.117 1.779087 0.037306413
1022.081 1.782212 0.037697401
1023.045 1.785386 0.03809689
1024.009 1.78861 0.038507719
1024.974 1.791884 0.03892646
1025.938 1.795211 0.039357409
1026.902 1.798592 0.039801661
1027.866 1.802028 0.040255822
1028.83 1.80552 0.040722482
1029.795 1.809072 0.041201215
1030.759 1.812682 0.041693043
1031.723 1.816355 0.042198915
1032.687 1.82009 0.042718332
1033.652 1.823892 0.043252185
1034.616 1.827759 0.043799944
1035.58 1.831696 0.044363786
1036.544 1.835704 0.044943098
1037.509 1.839786 0.045538608
1038.473 1.843942 0.046153557
1039.437 1.848177 0.046784632
1040.401 1.852491 0.04743496
1041.365 1.856888 0.048104998
1042.33 1.861371 0.048793934
1043.294 1.865941 0.049504593
1044.258 1.870602 0.050237235
1045.222 1.875356 0.050992087
1046.187 1.880208 0.051770478
1047.151 1.885159 0.052574765
1048.115 1.890214 0.053403772
1049.079 1.895376 0.054259669
1050.043 1.900648 0.055144444
1051.008 1.906036 0.056057792
1051.972 1.911541 0.057002522
1052.936 1.91717 0.057979159
1053.9 1.922925 0.058990154
1054.865 1.928814 0.060035761
1055.829 1.934839 0.061118107
1056.793 1.941006 0.06224006
1057.757 1.94732 0.06340234
1058.722 1.953789 0.064608298
1059.686 1.960417 0.065859169
1060.65 1.967211 0.067157753
1061.614 1.974178 0.068505704
1062.578 1.981324 0.069907822
1063.543 1.988658 0.071365945
1064.507 1.996187 0.072882414
1065.471 2.003921 0.074460886
1066.435 2.011867 0.076106116
1067.4 2.020036 0.07782229
1068.364 2.028437 0.079612307
1069.328 2.037082 0.081481546
1070.292 2.045982 0.083434679
1071.256 2.055149 0.085478507
1072.221 2.064598 0.087617576
1073.185 2.07434 0.089858346
1074.149 2.084391 0.092207618
1075.113 2.094767 0.094674952
1076.078 2.105488 0.097268514
1077.042 2.116568 0.099995181
1078.006 2.128029 0.1028675
1078.97 2.139893 0.1058963
1079.935 2.152184 0.1090934
1080.899 2.164924 0.1124733
1081.863 2.178142 0.1160508
1082.827 2.191869 0.119845
1083.792 2.206133 0.1238724
1084.756 2.220972 0.1281559
1085.72 2.236422 0.13272
1086.684 2.252528 0.1375923
1087.648 2.269331 0.1428029
1088.613 2.286883 0.1483861
1089.577 2.305239 0.1543849
1090.541 2.324463 0.160844
1091.505 2.344615 0.1678168
1092.469 2.365774 0.175365
1093.434 2.388023 0.1835626
1094.398 2.41145 0.1924912
1095.362 2.436158 0.2022528
1096.326 2.462262 0.212964
1097.291 2.489892 0.2247696
1098.255 2.519183 0.2378361
1099.219 2.550297 0.252372
1100.183 2.583408 0.2686297
1101.148 2.618715 0.2869237
1102.112 2.656422 0.3076381
1103.076 2.696758 0.3312624
1104.04 2.739964 0.358418
1105.005 2.786259 0.38989
1105.969 2.835841 0.4266992
1106.933 2.888814 0.4701684
1107.897 2.945111 0.5220208
1108.861 3.004292 0.5844761
1109.826 3.065294 0.6603881
1110.79 3.125907 0.7532725
1111.754 3.182006 0.8671457
1112.718 3.22643 1.005717
1113.682 3.247925 1.170523
1114.647 3.231218 1.357184
1115.611 3.160816 1.550602
1116.575 3.030213 1.723698
1117.539 2.851932 1.845752
1118.504 2.656795 1.898652
1119.468 2.479419 1.886378
1120.432 2.343101 1.829405
1121.396 2.255688 1.752555
1122.361 2.213536 1.676679
1123.325 2.207129 1.6159
1124.289 2.225235 1.57799
1125.253 2.2573 1.566036
1126.218 2.294333 1.580166
1127.182 2.328912 1.618821
1128.146 2.354807 1.679426
1129.11 2.366639 1.758551
1130.074 2.359805 1.85176
1131.039 2.330742 1.953517
1132.003 2.277442 2.057239
1132.967 2.200003 2.155798
1133.931 2.100959 2.242373
1134.896 1.98498 2.311537
1135.86 1.858092 2.36002
1136.824 1.726632 2.386946
1137.788 1.596192 2.393529
1138.752 1.471073 2.382372
1139.717 1.354099 2.356721
1140.681 1.24682 2.319895
1141.645 1.149745 2.274892
1142.609 1.062711 2.224241
1143.574 0.9851332 2.169948
1144.538 0.9162424 2.113573
1145.502 0.8551657 2.056261
1146.466 0.8010393 1.998836
1147.431 0.753067 1.941901
1148.395 0.7105072 1.885851
1149.359 0.6727055 1.830951
1150.323 0.639083 1.77736
1151.287 0.6091449 1.725183
1152.252 0.5824527 1.674455
1153.216 0.5586317 1.625179
1154.18 0.5373551 1.577332
1155.144 0.5183486 1.530884
1156.109 0.5013691 1.485783
1157.073 0.4862076 1.44197
1158.037 0.4726882 1.399395
1159.001 0.4606545 1.357992
1159.965 0.4499729 1.317702
1160.93 0.4405268 1.278463
1161.894 0.4322192 1.240223
1162.858 0.4249625 1.202924
1163.822 0.418683 1.166516
1164.787 0.4133167 1.130943
1165.751 0.4088109 1.096167
1166.715 0.4051188 1.062141
1167.679 0.4022019 1.028822
1168.644 0.400029 0.9961805
1169.608 0.3985741 0.9641789
1170.572 0.3978166 0.9327881
1171.536 0.3977411 0.9019791
1172.5 0.3983369 0.8717359
1173.465 0.3995962 0.8420382
1174.429 0.4015158 0.8128725
1175.393 0.404095 0.7842272
1176.357 0.4073347 0.7561049
1177.322 0.4112375 0.7285057
1178.286 0.4158077 0.7014341
1179.25 0.4210472 0.6749102
1180.214 0.4269573 0.6489514
1181.178 0.4335364 0.6235842
1182.143 0.4407789 0.5988371
1183.107 0.448671 0.5747519
1184.071 0.4571939 0.5513654
1185.035 0.4663195 0.528719
1186 0.4760124 0.5068508
1186.964 0.4862249 0.485803
1187.928 0.4969037 0.4656065
1188.892 0.5079891 0.4462845
1189.856 0.5194128 0.4278579
1190.821 0.5311067 0.4103317
1191.785 0.5430015 0.3937027
1192.749 0.5550311 0.3779562
1193.713 0.5671289 0.3630742
1194.678 0.5792376 0.3490262
1195.642 0.5913052 0.3357774
1196.606 0.6032878 0.3232875
1197.57 0.6151442 0.3115179
1198.535 0.6268436 0.3004245
1199.499 0.6383625 0.2899633
1200.463 0.6496783 0.2800946
1201.427 0.660777 0.2707767
1202.391 0.6716486 0.2619703
1203.356 0.6822866 0.2536383
1204.32 0.6926855 0.245748
1205.284 0.7028443 0.2382665
1206.248 0.7127638 0.2311642
1207.213 0.7224474 0.2244131
1208.177 0.7318959 0.2179894
1209.141 0.7411146 0.2118695
1210.105 0.7501101 0.2060313
1211.069 0.7588856 0.2004568
1212.034 0.7674482 0.1951275
1212.998 0.7758034 0.1900274
1213.962 0.7839592 0.1851408
1214.926 0.7919196 0.1804553
1215.891 0.7996918 0.1759576
1216.855 0.8072822 0.1716366
1217.819 0.8146976 0.167481
1218.783 0.821942 0.1634823
1219.748 0.8290225 0.1596308
1220.712 0.8359449 0.1559183
1221.676 0.8427137 0.1523377
1222.64 0.8493345 0.1488817
1223.604 0.8558123 0.1455439
1224.569 0.8621528 0.1423179
1225.533 0.868359 0.1391987
1226.497 0.8744363 0.136181
1227.461 0.8803888 0.1332599
1228.426 0.8862212 0.1304306
1229.39 0.8919362 0.1276897
1230.354 0.8975384 0.1250328
1231.318 0.9030315 0.1224561
1232.282 0.9084179 0.1199564
1233.247 0.9137016 0.1175306
1234.211 0.9188856 0.1151755
