Sodium Chloride from Handbook of optical constants of solids, edited by
E.D. Palik (1985) Academic Press.  Values set to -1.e+32 where data is
not provided
Wavel.    real imag.
microns  index index
--------------------
12.6 1.47493 -1.e-32
12.8 1.47318 -1.e-32
13.0 1.47138 -1.e-32
13.2 1.46956 -1.e-32
13.33 -1.e-32 3.8e-6
13.4 1.46769 -1.e-32
13.6 1.46579 -1.e-32
13.8 1.46385 -1.e-32
14.0 1.46188 -1.e-32
14.2 1.45986 -1.e-32
14.29 -1.e-32 1.1e-5
14.4 1.45781 -1.e-32
14.6 1.45572 -1.e-32
14.8 1.45359 -1.e-32
15.0 1.4514 -1.e-32
15.2 1.4492 -1.e-32
15.38 -1.e-32 3.6e-5
15.4 1.4469 -1.e-32
15.6 1.4446 -1.e-32
15.8 1.4423 -1.e-32
16.0 1.4399 -1.e-32
16.2 1.4375 -1.e-32
16.4 1.4351 -1.e-32
16.6 1.4325 -1.e-32
16.67 -1.e-32 8.6e-5
16.8 1.4300 -1.e-32
17.0 1.4274 -1.e-32
17.2 1.4247 -1.e-32
17.4 1.4220 -1.e-32
17.6 1.4193 -1.e-32
17.8 1.41649 -1.e-32
18.0 1.41364 -1.e-32
18.18 -1.e-32 2.2e-4
18.2 1.41074 -1.e-32
18.4 1.40779 -1.e-32
18.6 1.40478 -1.e-32
18.8 1.40173 -1.e-32
19.0 1.39861 -1.e-32
19.2 1.39544 -1.e-32
19.4 1.39222 -1.e-32
19.6 1.38893 -1.e-32
19.8 1.38559 -1.e-32
20.0 1.41 6.2e-4
20.83 1.38 8.7e-4
21.74 1.35 1.1e-3
22.73 1.33 1.5e-3
23.81 1.32 2.3e-3
25.00 1.27 3.5e-3
26.32 1.23 5.3e-3
27.78 1.17 9.8e-3
29.41 1.12 1.7e-2
31.25 1.01 4.5e-2
33.33 0.85 0.11
33.90 0.83 0.13
34.48 0.80 0.13
35.09 0.78 0.14
35.71 0.69 0.17
36.36 0.59 0.22
37.04 0.49 0.31
37.74 0.42 0.50
38.46 0.45 0.66
39.22 0.57 0.71
39.68 0.59 0.67
40.00 0.58 0.66
40.82 0.51 0.69
41.67 0.46 0.81
42.19 0.44 0.87
42.55 0.46 0.87
42.92 0.49 0.87
43.48 0.43 0.87
44.44 0.30 1.00
45.45 0.25 1.15
46.51 0.20 1.36
47.62 0.18 1.56
48.78 0.16 1.74
50.00 0.14 1.99
51.28 0.15 2.29
52.63 0.19 2.63
54.05 0.24 3.02
55.56 0.35 3.72
57.14 0.59 4.57
58.82 1.35 6.03
60.61 6.17 7.41
61.35 7.76 6.03
62.50 6.92 2.14
64.52 5.50 0.87
66.67 4.52 0.380
68.97 4.07 0.309
71.43 3.72 0.219
74.07 3.47 0.145
76.92 3.31 0.135
83.33 3.02 0.110
90.91 2.85 0.095
100.0 2.74 0.087
111.1 2.63 0.078
125.0 2.57 0.077
142.9 2.52 0.068
166.7 2.48 0.055
200.0 2.45 0.047
222.2 2.44 0.045
250.0 2.44 0.041
285.7 2.43 0.036
300.0 -1.e-32 0.030
333.3 2.43 0.032
400.0 2.43 0.027
500.0 2.43 0.024
666.7 2.43 0.014
1000. 2.43 0.006
1020.  -1.e-32 8.1e-3
1100. -1.e-32 9.5e-3
1200. -1.e-32 8.8e-3
1400. -1.e-32 6.5e-3
1575. -1.e-32 5.76e-3
1800. -1.e-32 5.4e-3
2000. 2.43 -1.e-32
2100. -1.e-32 4.3e-3
2500. -1.e-32 4.4e-3
2584. 2.43 2.1e-3
3200. -1.e-32 3.3e-3
8469. 2.43 5.8e-4
30590. 2.43 2.5e-4
