alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
   7.200   1.0746    7.6808E-03
   7.210   1.0709    7.8063E-03
   7.220   1.0672    7.9351E-03
   7.231   1.0633    8.0672E-03
   7.241   1.0595    8.2028E-03
   7.251   1.0555    8.3420E-03
   7.261   1.0515    8.4849E-03
   7.271   1.0474    8.6317E-03
   7.281   1.0433    8.7826E-03
   7.291   1.0391    8.9376E-03
   7.302   1.0348    9.0961E-03
   7.312   1.0305    9.2599E-03
   7.322   1.0261    9.4284E-03
   7.332   1.0216    9.6019E-03
   7.343   1.0170    9.7804E-03
   7.353   1.0123    9.9641E-03
   7.364   1.0076    1.0153E-02
   7.375   1.0027    1.0348E-02
   7.385   0.9978    1.0550E-02
   7.395   0.9928    1.0756E-02
   7.406   0.9877    1.0970E-02
   7.417   0.9825    1.1190E-02
   7.427   0.9772    1.1418E-02
   7.438   0.9718    1.1653E-02
   7.449   0.9662    1.1896E-02
   7.459   0.9606    1.2147E-02
   7.470   0.9549    1.2407E-02
   7.481   0.9490    1.2676E-02
   7.492   0.9430    1.2954E-02
   7.502   0.9369    1.3241E-02
   7.513   0.9307    1.3539E-02
   7.524   0.9243    1.3849E-02
   7.535   0.9178    1.4170E-02
   7.546   0.9111    1.4503E-02
   7.557   0.9043    1.4849E-02
   7.568   0.8973    1.5209E-02
   7.579   0.8901    1.5583E-02
   7.590   0.8828    1.5973E-02
   7.602   0.8754    1.6376E-02
   7.613   0.8677    1.6799E-02
   7.624   0.8598    1.7240E-02
   7.635   0.8518    1.7701E-02
   7.646   0.8435    1.8182E-02
   7.658   0.8350    1.8685E-02
   7.669   0.8262    1.9212E-02
   7.680   0.8173    1.9765E-02
   7.692   0.8080    2.0345E-02
   7.703   0.7986    2.0951E-02
   7.715   0.7889    2.1592E-02
   7.726   0.7788    2.2267E-02
   7.738   0.7684    2.2979E-02
   7.749   0.7577    2.3732E-02
   7.761   0.7467    2.4529E-02
   7.772   0.7353    2.5374E-02
   7.784   0.7235    2.6273E-02
   7.796   0.7113    2.7230E-02
   7.808   0.6986    2.8252E-02
   7.819   0.6856    2.9340E-02
   7.831   0.6719    3.0514E-02
   7.843   0.6578    3.1779E-02
   7.855   0.6430    3.3147E-02
   7.867   0.6276    3.4631E-02
   7.879   0.6115    3.6250E-02
   7.891   0.5947    3.8024E-02
   7.903   0.5770    3.9980E-02
   7.915   0.5584    4.2151E-02
   7.927   0.5389    4.4566E-02
   7.939   0.5182    4.7306E-02
   7.951   0.4962    5.0432E-02
   7.964   0.4727    5.4044E-02
   7.976   0.4475    5.8284E-02
   7.988   0.4205    6.3356E-02
   8.000   0.3911    6.9572E-02
   8.013   0.3590    7.7420E-02
   8.025   0.3238    8.7718E-02
   8.037   0.2849    1.0188E-01
   8.050   0.2427    1.2224E-01
   8.063   0.1989    1.5243E-01
   8.075   0.1600    1.9373E-01
   8.087   0.1315    2.4113E-01
   8.100   0.1125    2.8835E-01
   8.113   0.0997    3.3287E-01
   8.125   0.0907    3.7446E-01
   8.139   0.0841    4.1351E-01
   8.151   0.0790    4.5045E-01
   8.164   0.0751    4.8551E-01
   8.177   0.0719    5.1936E-01
   8.190   0.0693    5.5206E-01
   8.203   0.0672    5.8382E-01
   8.216   0.0654    6.1481E-01
   8.229   0.0639    6.4515E-01
   8.242   0.0627    6.7497E-01
   8.255   0.0617    7.0435E-01
   8.269   0.0608    7.3338E-01
   8.282   0.0601    7.6199E-01
   8.295   0.0596    7.9054E-01
   8.308   0.0591    8.1894E-01
   8.322   0.0588    8.4723E-01
   8.335   0.0586    8.7548E-01
   8.348   0.0584    9.0371E-01
   8.362   0.0584    9.3198E-01
   8.375   0.0584    9.6032E-01
   8.389   0.0585    9.8878E-01
   8.402   0.0587    1.0174E+00
   8.416   0.0589    1.0460E+00
   8.430   0.0593    1.0750E+00
   8.443   0.0597    1.1043E+00
   8.457   0.0602    1.1339E+00
   8.471   0.0607    1.1638E+00
   8.485   0.0614    1.1940E+00
   8.498   0.0621    1.2247E+00
   8.513   0.0629    1.2558E+00
   8.527   0.0637    1.2873E+00
   8.540   0.0647    1.3193E+00
   8.555   0.0657    1.3519E+00
   8.569   0.0669    1.3852E+00
   8.583   0.0681    1.4191E+00
   8.597   0.0694    1.4538E+00
   8.612   0.0709    1.4891E+00
   8.626   0.0725    1.5254E+00
   8.640   0.0742    1.5625E+00
   8.655   0.0760    1.6005E+00
   8.669   0.0780    1.6396E+00
   8.684   0.0801    1.6795E+00
   8.698   0.0825    1.7208E+00
   8.713   0.0850    1.7635E+00
   8.728   0.0877    1.8074E+00
   8.742   0.0907    1.8529E+00
   8.757   0.0939    1.9000E+00
   8.772   0.0973    1.9488E+00
   8.787   0.1011    1.9995E+00
   8.802   0.1053    2.0522E+00
   8.817   0.1098    2.1069E+00
   8.832   0.1147    2.1643E+00
   8.846   0.1202    2.2244E+00
   8.862   0.1262    2.2874E+00
   8.877   0.1328    2.3537E+00
   8.892   0.1402    2.4235E+00
   8.908   0.1485    2.4973E+00
   8.923   0.1577    2.5756E+00
   8.938   0.1681    2.6588E+00
   8.954   0.1798    2.7476E+00
   8.969   0.1931    2.8422E+00
   8.985   0.2084    2.9445E+00
   9.000   0.2261    3.0550E+00
   9.016   0.2468    3.1750E+00
   9.032   0.2710    3.3061E+00
   9.047   0.2998    3.4501E+00
   9.064   0.3346    3.6096E+00
   9.079   0.3770    3.7875E+00
   9.095   0.4297    3.9878E+00
   9.111   0.4961    4.2144E+00
   9.127   0.5826    4.4766E+00
   9.143   0.6982    4.7824E+00
   9.159   0.8580    5.1444E+00
   9.176   1.0886    5.5790E+00
   9.192   1.4395    6.1058E+00
   9.208   2.0078    6.7370E+00
   9.224   2.9853    7.4234E+00
   9.241   4.6611    7.8395E+00
   9.258   6.8333    7.0815E+00
   9.274   8.0055    5.0062E+00
   9.291   7.7994    3.1824E+00
   9.308   7.1695    2.0920E+00
   9.324   6.5564    1.4651E+00
   9.341   6.0425    1.0847E+00
   9.358   5.6221    8.3877E-01
   9.375   5.2762    6.7074E-01
   9.391   4.9878    5.5066E-01
   9.409   4.7439    4.6166E-01
