lambda	E-ray n	E-ray k (Wenrich and Christensen, 1996)
6.8	1.18	8.35E-03
6.76	1.19	7.82E-03
6.71	1.2	7.34E-03
6.67	1.21	6.82E-03
6.62	1.22	6.43E-03
6.58	1.23	6.07E-03
6.54	1.23	5.74E-03
6.49	1.24	5.44E-03
6.45	1.25	5.16E-03
6.41	1.26	4.85E-03
6.37	1.26	4.61E-03
6.33	1.27	4.40E-03
6.29	1.28	4.19E-03
6.25	1.28	4.00E-03
6.21	1.29	3.79E-03
6.17	1.29	3.63E-03
6.13	1.3	3.48E-03
6.1	1.3	3.33E-03
6.06	1.31	3.20E-03
6.02	1.31	3.07E-03
5.99	1.32	2.93E-03
5.95	1.32	2.82E-03
5.92	1.33	2.71E-03
5.88	1.33	2.61E-03
5.85	1.33	2.52E-03
5.81	1.34	2.41E-03
5.78	1.34	2.33E-03
5.75	1.35	2.25E-03
5.71	1.35	2.17E-03
5.68	1.35	2.10E-03
5.65	1.36	2.02E-03
5.62	1.36	1.96E-03
5.59	1.36	1.90E-03
5.56	1.36	1.84E-03
5.52	1.37	1.78E-03
5.49	1.37	1.73E-03
5.46	1.37	1.67E-03
5.43	1.38	1.62E-03
5.41	1.38	1.57E-03
5.38	1.38	1.53E-03
5.35	1.38	1.48E-03
5.32	1.39	1.44E-03
5.29	1.39	1.40E-03
5.26	1.39	1.36E-03
5.24	1.39	1.32E-03
5.21	1.39	1.29E-03
5.18	1.4	1.26E-03
5.15	1.4	1.22E-03
5.13	1.4	1.19E-03
5.1	1.4	1.16E-03
5.08	1.4	1.13E-03
5.05	1.41	1.10E-03
5.03	1.41	1.07E-03
5	1.41	1.04E-03
