alpha-SiO2 ordinary ray from Handbook of optical constants of solids, 
edited by E.D. Palik (1985) Academic Press.  Values set to -1.e+32 
where data is not provided.  Values between 4.99 and 29.966 microns are
from a dispersion calculation using the oscillator parameters of Spitzer
and Kleinman, Phys. Rev., 121, 1324, 1961.  Data beyond 29.966 are from
the Palik reference
Wavel.    real imag.
microns  index index
--------------------
   9.654   3.4683    1.5112E-01
   9.672   3.3963    1.3942E-01
   9.690   3.3296    1.2911E-01
   9.709   3.2678    1.1999E-01
   9.727   3.2101    1.1188E-01
   9.745   3.1563    1.0462E-01
   9.763   3.1062    9.8132E-02
   9.782   3.0589    9.2246E-02
   9.800   3.0143    8.6916E-02
   9.818   2.9723    8.2073E-02
   9.838   2.9326    7.7657E-02
   9.856   2.8950    7.3617E-02
   9.875   2.8593    6.9913E-02
   9.893   2.8254    6.6506E-02
   9.913   2.7931    6.3365E-02
   9.931   2.7625    6.0477E-02
   9.950   2.7332    5.7788E-02
   9.970   2.7051    5.5292E-02
   9.989   2.6782    5.2972E-02
  10.008   2.6525    5.0811E-02
  10.027   2.6278    4.8794E-02
  10.047   2.6040    4.6909E-02
  10.066   2.5812    4.5144E-02
  10.086   2.5592    4.3490E-02
  10.106   2.5382    4.1945E-02
  10.125   2.5177    4.0485E-02
  10.145   2.4980    3.9112E-02
  10.165   2.4790    3.7817E-02
  10.185   2.4606    3.6597E-02
  10.205   2.4427    3.5445E-02
  10.225   2.4255    3.4356E-02
  10.245   2.4087    3.3326E-02
  10.266   2.3925    3.2351E-02
  10.286   2.3767    3.1427E-02
  10.307   2.3614    3.0556E-02
  10.327   2.3465    2.9726E-02
  10.348   2.3320    2.8937E-02
  10.368   2.3179    2.8188E-02
  10.389   2.3041    2.7477E-02
  10.410   2.2907    2.6801E-02
  10.431   2.2776    2.6157E-02
  10.452   2.2648    2.5546E-02
  10.473   2.2523    2.4964E-02
  10.494   2.2402    2.4413E-02
  10.516   2.2282    2.3885E-02
  10.537   2.2165    2.3384E-02
  10.558   2.2050    2.2906E-02
  10.580   2.1938    2.2452E-02
  10.602   2.1828    2.2020E-02
  10.623   2.1720    2.1609E-02
  10.645   2.1614    2.1219E-02
  10.667   2.1509    2.0848E-02
  10.689   2.1407    2.0496E-02
  10.711   2.1306    2.0164E-02
  10.733   2.1207    1.9848E-02
  10.756   2.1109    1.9549E-02
  10.778   2.1013    1.9267E-02
  10.800   2.0917    1.9001E-02
  10.823   2.0823    1.8751E-02
  10.846   2.0731    1.8517E-02
  10.868   2.0639    1.8298E-02
  10.891   2.0548    1.8094E-02
  10.914   2.0458    1.7906E-02
  10.937   2.0369    1.7732E-02
  10.960   2.0281    1.7573E-02
  10.983   2.0193    1.7429E-02
  11.007   2.0106    1.7299E-02
  11.030   2.0020    1.7185E-02
  11.054   1.9934    1.7086E-02
  11.077   1.9848    1.7003E-02
  11.101   1.9762    1.6935E-02
  11.125   1.9677    1.6884E-02
  11.149   1.9592    1.6850E-02
  11.173   1.9507    1.6833E-02
  11.197   1.9422    1.6833E-02
  11.221   1.9337    1.6853E-02
  11.246   1.9251    1.6892E-02
  11.270   1.9165    1.6952E-02
  11.295   1.9078    1.7034E-02
  11.319   1.8991    1.7140E-02
  11.344   1.8904    1.7270E-02
  11.369   1.8815    1.7426E-02
  11.394   1.8726    1.7612E-02
  11.419   1.8635    1.7829E-02
  11.444   1.8542    1.8080E-02
  11.469   1.8449    1.8367E-02
