Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
16.5563   604.0  0.1774   1.575   1.014
16.5017   606.0  0.1733   1.556  0.9979
16.4474   608.0  0.1690   1.539  0.9805
16.3934   610.0  0.1644   1.524  0.9617
16.3399   612.0  0.1597   1.510  0.9420
16.2866   614.0  0.1548   1.499  0.9215
16.2338   616.0  0.1498   1.489  0.9004
16.1812   618.0  0.1449   1.481  0.8790
16.1290   620.0  0.1400   1.474  0.8574
16.0772   622.0  0.1352   1.470  0.8358
16.0256   624.0  0.1306   1.467  0.8144
15.9744   626.0  0.1261   1.465  0.7934
15.9236   628.0  0.1219   1.466  0.7729
15.8730   630.0  0.1180   1.467  0.7530
15.8228   632.0  0.1144   1.470  0.7338
15.7729   634.0  0.1110   1.474  0.7154
15.7233   636.0  0.1080   1.479  0.6978
15.6740   638.0  0.1053   1.485  0.6812
15.6250   640.0  0.1029   1.492  0.6654
15.5763   642.0  0.1009   1.500  0.6507
15.5280   644.0  0.0991   1.508  0.6369
15.4799   646.0  0.0976   1.517  0.6241
15.4321   648.0  0.0964   1.526  0.6122
15.3846   650.0  0.0955   1.535  0.6014
15.3374   652.0  0.0948   1.545  0.5915
15.2905   654.0  0.0943   1.555  0.5825
15.2439   656.0  0.0940   1.565  0.5744
15.1976   658.0  0.0939   1.575  0.5672
15.1515   660.0  0.0939   1.586  0.5609
15.1057   662.0  0.0941   1.596  0.5554
15.0602   664.0  0.0945   1.606  0.5507
15.0150   666.0  0.0950   1.616  0.5467
14.9701   668.0  0.0955   1.626  0.5436
14.9254   670.0  0.0962   1.635  0.5411
14.8810   672.0  0.0970   1.645  0.5393
14.8368   674.0  0.0978   1.654  0.5382
14.7929   676.0  0.0986   1.662  0.5377
14.7493   678.0  0.0996   1.671  0.5378
14.7059   680.0  0.1005   1.679  0.5384
14.6628   682.0  0.1015   1.686  0.5395
14.6199   684.0  0.1025   1.693  0.5411
14.5773   686.0  0.1034   1.700  0.5432
14.5349   688.0  0.1044   1.706  0.5456
14.4928   690.0  0.1054   1.711  0.5484
14.4509   692.0  0.1063   1.716  0.5514
14.4092   694.0  0.1072   1.720  0.5547
14.3678   696.0  0.1081   1.724  0.5582
14.3266   698.0  0.1089   1.727  0.5618
14.2857   700.0  0.1097   1.730  0.5655
14.2450   702.0  0.1103   1.731  0.5692
14.2045   704.0  0.1109   1.733  0.5728
14.1643   706.0  0.1115   1.733  0.5763
14.1243   708.0  0.1119   1.733  0.5796
14.0845   710.0  0.1122   1.733  0.5826
14.0449   712.0  0.1125   1.732  0.5853
14.0056   714.0  0.1126   1.730  0.5876
13.9665   716.0  0.1126   1.728  0.5895
13.9276   718.0  0.1126   1.726  0.5909
13.8889   720.0  0.1124   1.723  0.5918
13.8504   722.0  0.1121   1.720  0.5920
13.8122   724.0  0.1117   1.717  0.5917
13.7741   726.0  0.1112   1.713  0.5908
13.7363   728.0  0.1107   1.710  0.5892
13.6986   730.0  0.1100   1.707  0.5870
13.6612   732.0  0.1093   1.703  0.5842
13.6240   734.0  0.1085   1.700  0.5808
13.5870   736.0  0.1077   1.698  0.5768
13.5501   738.0  0.1068   1.695  0.5722
13.5135   740.0  0.1059   1.693  0.5672
13.4771   742.0  0.1050   1.692  0.5617
13.4409   744.0  0.1041   1.690  0.5558
13.4048   746.0  0.1032   1.690  0.5496
13.3690   748.0  0.1024   1.690  0.5431
13.3333   750.0  0.1015   1.690  0.5363
13.2979   752.0  0.1008   1.691  0.5294
13.2626   754.0  0.1001   1.693  0.5224
13.2275   756.0  0.0994   1.695  0.5153
13.1926   758.0  0.0989   1.698  0.5082
13.1579   760.0  0.0984   1.701  0.5011
13.1234   762.0  0.0981   1.705  0.4941
13.0890   764.0  0.0978   1.710  0.4872
13.0548   766.0  0.0976   1.715  0.4805
13.0208   768.0  0.0975   1.720  0.4740
12.9870   770.0  0.0975   1.726  0.4678
12.9534   772.0  0.0976   1.733  0.4617
12.9199   774.0  0.0979   1.740  0.4560
12.8866   776.0  0.0982   1.747  0.4505
12.8535   778.0  0.0986   1.755  0.4454
12.8205   780.0  0.0991   1.763  0.4405
12.7877   782.0  0.0997   1.771  0.4361
12.7551   784.0  0.1004   1.780  0.4319
12.7226   786.0  0.1012   1.789  0.4281
12.6904   788.0  0.1020   1.798  0.4247
12.6582   790.0  0.1030   1.807  0.4217
12.6263   792.0  0.1040   1.817  0.4190
12.5945   794.0  0.1051   1.827  0.4167
12.5628   796.0  0.1062   1.837  0.4148
12.5313   798.0  0.1074   1.848  0.4132
12.5000   800.0  0.1087   1.859  0.4121
12.4688   802.0  0.1101   1.869  0.4113
12.4378   804.0  0.1115   1.880  0.4109
12.4069   806.0  0.1130   1.892  0.4109
12.3762   808.0  0.1145   1.903  0.4113
12.3457   810.0  0.1161   1.914  0.4121
12.3153   812.0  0.1178   1.926  0.4133
12.2850   814.0  0.1195   1.938  0.4149
12.2549   816.0  0.1212   1.950  0.4169
12.2249   818.0  0.1230   1.962  0.4193
12.1951   820.0  0.1249   1.974  0.4222
12.1655   822.0  0.1268   1.986  0.4255
12.1359   824.0  0.1287   1.998  0.4292
12.1065   826.0  0.1307   2.011  0.4334
12.0773   828.0  0.1328   2.024  0.4380
12.0482   830.0  0.1349   2.036  0.4431
12.0192   832.0  0.1371   2.049  0.4487
11.9904   834.0  0.1393   2.062  0.4548
11.9617   836.0  0.1416   2.075  0.4615
11.9332   838.0  0.1439   2.088  0.4686
11.9048   840.0  0.1462   2.101  0.4764
11.8765   842.0  0.1487   2.115  0.4847
11.8483   844.0  0.1511   2.128  0.4936
11.8203   846.0  0.1537   2.141  0.5031
11.7925   848.0  0.1563   2.154  0.5133
11.7647   850.0  0.1589   2.168  0.5241
11.7371   852.0  0.1616   2.181  0.5357
11.7096   854.0  0.1644   2.194  0.5480
11.6822   856.0  0.1672   2.208  0.5611
11.6550   858.0  0.1701   2.221  0.5749
11.6279   860.0  0.1731   2.234  0.5896
11.6009   862.0  0.1761   2.247  0.6052
11.5741   864.0  0.1792   2.259  0.6216
11.5473   866.0  0.1823   2.272  0.6390
11.5207   868.0  0.1855   2.284  0.6573
11.4943   870.0  0.1888   2.296  0.6767
11.4679   872.0  0.1921   2.307  0.6971
11.4416   874.0  0.1955   2.318  0.7185
11.4155   876.0  0.1990   2.328  0.7411
11.3895   878.0  0.2025   2.338  0.7647
11.3636   880.0  0.2061   2.347  0.7894
11.3379   882.0  0.2097   2.354  0.8153
