Calcite Ordinary ray calculated from values derived from Table 1 of 
Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.6250
 oscillator  frequency    gamma       stength
      1     1.0410E+02 5.8000E-02  2.7751E+00
      2     2.2330E+02 5.4000E-02  9.4000E-01
      3     2.9560E+02 4.5700E-02  1.6657E+00
      4     7.1320E+02 1.0500E-02  1.7500E-02
      5     1.4068E+03 6.0000E-03  5.5070E-01
  frequency  Reflectance real index   imag. index
 2.9640E+03  4.8053E-02  1.5615E+00   2.2333E-04
 2.9600E+03  4.8026E-02  1.5613E+00   2.2457E-04
 2.9560E+03  4.7999E-02  1.5611E+00   2.2581E-04
 2.9520E+03  4.7972E-02  1.5609E+00   2.2707E-04
 2.9480E+03  4.7944E-02  1.5607E+00   2.2833E-04
 2.9440E+03  4.7917E-02  1.5605E+00   2.2961E-04
 2.9400E+03  4.7889E-02  1.5603E+00   2.3089E-04
 2.9360E+03  4.7861E-02  1.5601E+00   2.3219E-04
 2.9320E+03  4.7833E-02  1.5599E+00   2.3349E-04
 2.9280E+03  4.7805E-02  1.5596E+00   2.3481E-04
 2.9240E+03  4.7776E-02  1.5594E+00   2.3614E-04
 2.9200E+03  4.7748E-02  1.5592E+00   2.3748E-04
 2.9160E+03  4.7719E-02  1.5590E+00   2.3883E-04
 2.9120E+03  4.7690E-02  1.5588E+00   2.4019E-04
 2.9080E+03  4.7661E-02  1.5586E+00   2.4156E-04
 2.9040E+03  4.7632E-02  1.5584E+00   2.4294E-04
 2.9000E+03  4.7602E-02  1.5581E+00   2.4433E-04
 2.8960E+03  4.7573E-02  1.5579E+00   2.4574E-04
 2.8920E+03  4.7543E-02  1.5577E+00   2.4715E-04
 2.8880E+03  4.7513E-02  1.5575E+00   2.4858E-04
 2.8840E+03  4.7483E-02  1.5572E+00   2.5002E-04
 2.8800E+03  4.7453E-02  1.5570E+00   2.5147E-04
 2.8760E+03  4.7422E-02  1.5568E+00   2.5294E-04
 2.8720E+03  4.7392E-02  1.5566E+00   2.5442E-04
