Dypingite optical constants from Roush, J. 
Geophys. Res., 101, 2215-2225, 1996.
  wavelength  calc. ref.  real index  imag. index
 5.9741E+00  7.9904E-03  1.1939E+00   2.0866E-02
 5.9809E+00  7.8721E-03  1.1922E+00   2.1254E-02
 5.9878E+00  7.7518E-03  1.1905E+00   2.1658E-02
 5.9948E+00  7.6302E-03  1.1888E+00   2.2074E-02
 6.0017E+00  7.5071E-03  1.1870E+00   2.2505E-02
 6.0087E+00  7.3826E-03  1.1853E+00   2.2950E-02
 6.0157E+00  7.2567E-03  1.1834E+00   2.3411E-02
 6.0226E+00  7.1301E-03  1.1816E+00   2.3885E-02
 6.0296E+00  7.0013E-03  1.1797E+00   2.4378E-02
 6.0366E+00  6.8712E-03  1.1777E+00   2.4889E-02
 6.0437E+00  6.7396E-03  1.1757E+00   2.5419E-02
 6.0507E+00  6.6066E-03  1.1737E+00   2.5968E-02
 6.0578E+00  6.4722E-03  1.1716E+00   2.6538E-02
 6.0649E+00  6.3364E-03  1.1695E+00   2.7130E-02
 6.0720E+00  6.1999E-03  1.1673E+00   2.7742E-02
 6.0791E+00  6.0614E-03  1.1651E+00   2.8381E-02
 6.0862E+00  5.9216E-03  1.1629E+00   2.9046E-02
 6.0934E+00  5.7805E-03  1.1605E+00   2.9739E-02
 6.1006E+00  5.6381E-03  1.1582E+00   3.0461E-02
 6.1078E+00  5.4946E-03  1.1557E+00   3.1213E-02
 6.1150E+00  5.3500E-03  1.1532E+00   3.1998E-02
 6.1222E+00  5.2051E-03  1.1507E+00   3.2814E-02
 6.1294E+00  5.0586E-03  1.1480E+00   3.3671E-02
 6.1367E+00  4.9112E-03  1.1454E+00   3.4568E-02
 6.1439E+00  4.7631E-03  1.1426E+00   3.5506E-02
 6.1512E+00  4.6145E-03  1.1398E+00   3.6490E-02
 6.1585E+00  4.4656E-03  1.1368E+00   3.7523E-02
 6.1658E+00  4.3172E-03  1.1339E+00   3.8601E-02
 6.1732E+00  4.1682E-03  1.1308E+00   3.9741E-02
 6.1805E+00  4.0195E-03  1.1276E+00   4.0940E-02
 6.1879E+00  3.8716E-03  1.1244E+00   4.2204E-02
 6.1953E+00  3.7246E-03  1.1210E+00   4.3538E-02
 6.2027E+00  3.5792E-03  1.1176E+00   4.4946E-02
 6.2102E+00  3.4357E-03  1.1140E+00   4.6437E-02
 6.2176E+00  3.2955E-03  1.1104E+00   4.8007E-02
 6.2251E+00  3.1577E-03  1.1066E+00   4.9681E-02
 6.2325E+00  3.0240E-03  1.1027E+00   5.1459E-02
 6.2401E+00  2.8951E-03  1.0987E+00   5.3352E-02
 6.2476E+00  2.7722E-03  1.0945E+00   5.5370E-02
 6.2551E+00  2.6564E-03  1.0902E+00   5.7524E-02
 6.2626E+00  2.5498E-03  1.0858E+00   5.9816E-02
 6.2702E+00  2.4528E-03  1.0812E+00   6.2285E-02
 6.2778E+00  2.3680E-03  1.0765E+00   6.4937E-02
 6.2854E+00  2.2977E-03  1.0716E+00   6.7790E-02
 6.2931E+00  2.2445E-03  1.0666E+00   7.0867E-02
 6.3007E+00  2.2117E-03  1.0614E+00   7.4194E-02
 6.3084E+00  2.2030E-03  1.0560E+00   7.7798E-02
 6.3160E+00  2.2225E-03  1.0504E+00   8.1689E-02
 6.3238E+00  2.2757E-03  1.0447E+00   8.5947E-02
 6.3315E+00  2.3686E-03  1.0388E+00   9.0593E-02
 6.3392E+00  2.5085E-03  1.0327E+00   9.5676E-02
 6.3470E+00  2.7037E-03  1.0265E+00   1.0125E-01
 6.3548E+00  2.9642E-03  1.0201E+00   1.0737E-01
 6.3625E+00  3.2997E-03  1.0137E+00   1.1408E-01
 6.3704E+00  3.7268E-03  1.0072E+00   1.2151E-01
 6.3782E+00  4.2591E-03  1.0006E+00   1.2972E-01
 6.3861E+00  4.9133E-03  9.9423E-01   1.3880E-01
 6.3939E+00  5.7075E-03  9.8802E-01   1.4882E-01
 6.4018E+00  6.6597E-03  9.8217E-01   1.5987E-01
 6.4098E+00  7.7867E-03  9.7688E-01   1.7200E-01
 6.4177E+00  9.0943E-03  9.7240E-01   1.8519E-01
 6.4256E+00  1.0600E-02  9.6899E-01   1.9954E-01
 6.4336E+00  1.2290E-02  9.6699E-01   2.1488E-01
 6.4416E+00  1.4136E-02  9.6676E-01   2.3098E-01
 6.4496E+00  1.6088E-02  9.6863E-01   2.4748E-01
 6.4577E+00  1.8069E-02  9.7285E-01   2.6387E-01
 6.4657E+00  1.9972E-02  9.7946E-01   2.7939E-01
 6.4737E+00  2.1705E-02  9.8838E-01   2.9348E-01
 6.4818E+00  2.3157E-02  9.9912E-01   3.0531E-01
 6.4900E+00  2.4250E-02  1.0110E+00   3.1435E-01
 6.4981E+00  2.4951E-02  1.0230E+00   3.2030E-01
 6.5063E+00  2.5275E-02  1.0341E+00   3.2328E-01
 6.5144E+00  2.5287E-02  1.0434E+00   3.2376E-01
 6.5226E+00  2.5082E-02  1.0503E+00   3.2251E-01
 6.5308E+00  2.4773E-02  1.0544E+00   3.2040E-01
 6.5391E+00  2.4473E-02  1.0557E+00   3.1833E-01
 6.5473E+00  2.4291E-02  1.0544E+00   3.1709E-01
 6.5556E+00  2.4320E-02  1.0509E+00   3.1732E-01
 6.5639E+00  2.4643E-02  1.0457E+00   3.1948E-01
 6.5722E+00  2.5325E-02  1.0393E+00   3.2387E-01
 6.5805E+00  2.6434E-02  1.0321E+00   3.3077E-01
 6.5889E+00  2.8019E-02  1.0248E+00   3.4028E-01
 6.5973E+00  3.0124E-02  1.0177E+00   3.5246E-01
 6.6057E+00  3.2780E-02  1.0116E+00   3.6732E-01
 6.6142E+00  3.5998E-02  1.0067E+00   3.8479E-01
 6.6226E+00  3.9769E-02  1.0038E+00   4.0472E-01
 6.6310E+00  4.4028E-02  1.0034E+00   4.2675E-01
 6.6395E+00  4.8738E-02  1.0060E+00   4.5074E-01
 6.6481E+00  5.3760E-02  1.0121E+00   4.7610E-01
 6.6566E+00  5.8935E-02  1.0222E+00   5.0217E-01
 6.6652E+00  6.4075E-02  1.0366E+00   5.2817E-01
 6.6737E+00  6.8977E-02  1.0556E+00   5.5319E-01
 6.6823E+00  7.3414E-02  1.0790E+00   5.7611E-01
 6.6909E+00  7.7251E-02  1.1066E+00   5.9611E-01
 6.6996E+00  8.0313E-02  1.1379E+00   6.1204E-01
 6.7083E+00  8.2495E-02  1.1720E+00   6.2297E-01
 6.7170E+00  8.3750E-02  1.2077E+00   6.2820E-01
 6.7257E+00  8.4082E-02  1.2436E+00   6.2738E-01
 6.7344E+00  8.3548E-02  1.2784E+00   6.2055E-01
 6.7431E+00  8.2252E-02  1.3103E+00   6.0825E-01
 6.7519E+00  8.0308E-02  1.3386E+00   5.9122E-01
 6.7607E+00  7.7860E-02  1.3621E+00   5.7065E-01
 6.7696E+00  7.5051E-02  1.3806E+00   5.4783E-01
