Calcite Extraordinary ray calculated from values derived from Table 2 
of Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.1700
 oscillator  frequency    gamma       strength
      1     9.4600E+01 7.1800E-02  4.6412E+00
      2     3.0490E+02 3.4300E-02  1.3350E+00
      3     8.7080E+02 1.8000E-03  8.1700E-02
  frequency  Reflectance real index   imag. index
 3.3240E+03  3.5699E-02  1.4659E+00   1.5923E-05
 3.3200E+03  3.5697E-02  1.4659E+00   1.5982E-05
 3.3160E+03  3.5695E-02  1.4659E+00   1.6041E-05
 3.3120E+03  3.5693E-02  1.4659E+00   1.6100E-05
 3.3080E+03  3.5690E-02  1.4658E+00   1.6160E-05
 3.3040E+03  3.5688E-02  1.4658E+00   1.6219E-05
 3.3000E+03  3.5686E-02  1.4658E+00   1.6280E-05
 3.2960E+03  3.5684E-02  1.4658E+00   1.6340E-05
 3.2920E+03  3.5681E-02  1.4658E+00   1.6401E-05
 3.2880E+03  3.5679E-02  1.4658E+00   1.6462E-05
 3.2840E+03  3.5677E-02  1.4657E+00   1.6523E-05
 3.2800E+03  3.5675E-02  1.4657E+00   1.6585E-05
 3.2760E+03  3.5672E-02  1.4657E+00   1.6647E-05
 3.2720E+03  3.5670E-02  1.4657E+00   1.6709E-05
 3.2680E+03  3.5668E-02  1.4657E+00   1.6772E-05
 3.2640E+03  3.5665E-02  1.4656E+00   1.6835E-05
 3.2600E+03  3.5663E-02  1.4656E+00   1.6898E-05
 3.2560E+03  3.5661E-02  1.4656E+00   1.6962E-05
 3.2520E+03  3.5658E-02  1.4656E+00   1.7026E-05
 3.2480E+03  3.5656E-02  1.4656E+00   1.7090E-05
 3.2440E+03  3.5653E-02  1.4655E+00   1.7154E-05
 3.2400E+03  3.5651E-02  1.4655E+00   1.7219E-05
 3.2360E+03  3.5649E-02  1.4655E+00   1.7284E-05
 3.2320E+03  3.5646E-02  1.4655E+00   1.7350E-05
 3.2280E+03  3.5644E-02  1.4655E+00   1.7416E-05
 3.2240E+03  3.5641E-02  1.4655E+00   1.7482E-05
 3.2200E+03  3.5639E-02  1.4654E+00   1.7549E-05
 3.2160E+03  3.5637E-02  1.4654E+00   1.7615E-05
 3.2120E+03  3.5634E-02  1.4654E+00   1.7683E-05
 3.2080E+03  3.5632E-02  1.4654E+00   1.7750E-05
 3.2040E+03  3.5629E-02  1.4654E+00   1.7818E-05
 3.2000E+03  3.5627E-02  1.4653E+00   1.7886E-05
 3.1960E+03  3.5624E-02  1.4653E+00   1.7955E-05
 3.1920E+03  3.5622E-02  1.4653E+00   1.8024E-05
 3.1880E+03  3.5619E-02  1.4653E+00   1.8093E-05
 3.1840E+03  3.5617E-02  1.4653E+00   1.8163E-05
 3.1800E+03  3.5614E-02  1.4652E+00   1.8233E-05
 3.1760E+03  3.5612E-02  1.4652E+00   1.8303E-05
 3.1720E+03  3.5609E-02  1.4652E+00   1.8374E-05
 3.1680E+03  3.5607E-02  1.4652E+00   1.8445E-05
 3.1640E+03  3.5604E-02  1.4651E+00   1.8517E-05
 3.1600E+03  3.5601E-02  1.4651E+00   1.8589E-05
 3.1560E+03  3.5599E-02  1.4651E+00   1.8661E-05
 3.1520E+03  3.5596E-02  1.4651E+00   1.8734E-05
 3.1480E+03  3.5594E-02  1.4651E+00   1.8807E-05
 3.1440E+03  3.5591E-02  1.4650E+00   1.8880E-05
 3.1400E+03  3.5588E-02  1.4650E+00   1.8954E-05
 3.1360E+03  3.5586E-02  1.4650E+00   1.9028E-05
 3.1320E+03  3.5583E-02  1.4650E+00   1.9102E-05
 3.1280E+03  3.5580E-02  1.4650E+00   1.9177E-05
 3.1240E+03  3.5578E-02  1.4649E+00   1.9253E-05
 3.1200E+03  3.5575E-02  1.4649E+00   1.9328E-05
 3.1160E+03  3.5572E-02  1.4649E+00   1.9405E-05
 3.1120E+03  3.5570E-02  1.4649E+00   1.9481E-05
 3.1080E+03  3.5567E-02  1.4649E+00   1.9558E-05
 3.1040E+03  3.5564E-02  1.4648E+00   1.9635E-05
 3.1000E+03  3.5561E-02  1.4648E+00   1.9713E-05
 3.0960E+03  3.5559E-02  1.4648E+00   1.9791E-05
 3.0920E+03  3.5556E-02  1.4648E+00   1.9870E-05
 3.0880E+03  3.5553E-02  1.4647E+00   1.9949E-05
 3.0840E+03  3.5550E-02  1.4647E+00   2.0028E-05
 3.0800E+03  3.5548E-02  1.4647E+00   2.0108E-05
 3.0760E+03  3.5545E-02  1.4647E+00   2.0188E-05
 3.0720E+03  3.5542E-02  1.4646E+00   2.0269E-05
 3.0680E+03  3.5539E-02  1.4646E+00   2.0350E-05
 3.0640E+03  3.5536E-02  1.4646E+00   2.0432E-05
 3.0600E+03  3.5533E-02  1.4646E+00   2.0514E-05
 3.0560E+03  3.5531E-02  1.4646E+00   2.0596E-05
 3.0520E+03  3.5528E-02  1.4645E+00   2.0679E-05
 3.0480E+03  3.5525E-02  1.4645E+00   2.0763E-05
 3.0440E+03  3.5522E-02  1.4645E+00   2.0846E-05
 3.0400E+03  3.5519E-02  1.4645E+00   2.0931E-05
 3.0360E+03  3.5516E-02  1.4644E+00   2.1015E-05
 3.0320E+03  3.5513E-02  1.4644E+00   2.1101E-05
 3.0280E+03  3.5510E-02  1.4644E+00   2.1186E-05
 3.0240E+03  3.5507E-02  1.4644E+00   2.1272E-05
 3.0200E+03  3.5504E-02  1.4643E+00   2.1359E-05
 3.0160E+03  3.5501E-02  1.4643E+00   2.1446E-05
 3.0120E+03  3.5498E-02  1.4643E+00   2.1534E-05
 3.0080E+03  3.5495E-02  1.4643E+00   2.1622E-05
 3.0040E+03  3.5492E-02  1.4642E+00   2.1710E-05
