Olivine data from Lucey, JGR-E, E1, 1703-1714, 1998
To calculate the real index use Eqn 8c, Lucey 1998

n_olv=1.827-[0.192 * Mg#], Mg # 0-1.0

to calculate the imaginary index, use columns 2 and 3 below

k_olv(lambda) = col 2 + [Mg# * col 3], data valid for Mg # 0. to 1.0

col 1 are wavelengths in micrometers
	col 1		col 2		col 3
     0.221100 -1.13412e-05  1.35007e-06
      1.46350   0.00408670 -4.26226e-05
      1.46850   0.00397140 -4.13595e-05
      1.47350   0.00385181 -4.01038e-05
      1.47850   0.00388010 -4.06359e-05
      1.48350   0.00374818 -3.91120e-05
      1.48850   0.00373577 -3.92243e-05
      1.49350   0.00356001 -3.72149e-05
      1.49850   0.00350298 -3.67185e-05
      1.50350   0.00342106 -3.58834e-05
      1.50850   0.00337224 -3.53108e-05
      1.51350   0.00332255 -3.48622e-05
      1.51850   0.00326195 -3.42919e-05
      1.52350   0.00315513 -3.31890e-05
      1.52850   0.00304634 -3.19475e-05
      1.53400   0.00302370 -3.18294e-05
      1.54000   0.00292853 -3.07706e-05
      1.54600   0.00282703 -2.97198e-05
      1.55200   0.00275135 -2.88712e-05
      1.55800   0.00268946 -2.82881e-05
      1.56400   0.00259898 -2.73208e-05
      1.57050   0.00251844 -2.64769e-05
      1.57750   0.00242674 -2.54591e-05
      1.58450   0.00236524 -2.48473e-05
      1.59150   0.00225986 -2.37033e-05
      1.59850   0.00220199 -2.30615e-05
      1.60550   0.00215548 -2.25585e-05
      1.61250   0.00206584 -2.15741e-05
      1.61950   0.00202053 -2.10884e-05
      1.62650   0.00193499 -2.01204e-05
      1.63350   0.00190299 -1.97957e-05
      1.64050   0.00185233 -1.92397e-05
      1.64750   0.00178764 -1.85556e-05
      1.65450   0.00173205 -1.79235e-05
      1.66150   0.00170998 -1.76723e-05
      1.66850   0.00162966 -1.67713e-05
      1.67600   0.00159151 -1.63154e-05
      1.68400   0.00156963 -1.61019e-05
      1.69200   0.00150722 -1.53642e-05
      1.70000   0.00149372 -1.52421e-05
      1.70800   0.00143823 -1.46413e-05
      1.71600   0.00140984 -1.42815e-05
      1.72400   0.00137353 -1.38908e-05
      1.73200   0.00135689 -1.36723e-05
      1.74000   0.00132296 -1.32907e-05
      1.74800   0.00131438 -1.31650e-05
      1.75600   0.00128771 -1.28647e-05
      1.76400   0.00125070 -1.24560e-05
      1.77200   0.00123837 -1.23082e-05
      1.78000   0.00123052 -1.21742e-05
      1.78800   0.00119099 -1.17638e-05
      1.79600   0.00117985 -1.16036e-05
      1.80500   0.00118877 -1.16619e-05
      1.81500   0.00117507 -1.14877e-05
      1.82500   0.00113060 -1.09841e-05
      1.83500   0.00115360 -1.12298e-05
      1.84500   0.00115271 -1.11801e-05
