Olivine, composition not given
calculated from the oscillator parameters given
by Mukai and Koike, Icarus, 87, 180-187, 1990
 wavelength    real       imaginary
 micrometers   index        index
 2.5740E+01  2.1643E+00   2.9530E+00
 2.5773E+01  2.1964E+00   2.9485E+00
 2.5806E+01  2.2284E+00   2.9427E+00
 2.5840E+01  2.2602E+00   2.9358E+00
 2.5873E+01  2.2916E+00   2.9276E+00
 2.5907E+01  2.3228E+00   2.9181E+00
 2.5940E+01  2.3535E+00   2.9074E+00
 2.5974E+01  2.3838E+00   2.8955E+00
 2.6008E+01  2.4134E+00   2.8823E+00
 2.6042E+01  2.4425E+00   2.8680E+00
 2.6076E+01  2.4706E+00   2.8525E+00
 2.6110E+01  2.4981E+00   2.8359E+00
 2.6144E+01  2.5246E+00   2.8182E+00
 2.6178E+01  2.5501E+00   2.7995E+00
