Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 2.6592E+00  2.6396E-02  1.3861E+00   7.2617E-05
 2.6606E+00  2.6395E-02  1.3861E+00   7.2749E-05
 2.6620E+00  2.6393E-02  1.3861E+00   7.2882E-05
 2.6633E+00  2.6392E-02  1.3861E+00   7.3014E-05
 2.6647E+00  2.6390E-02  1.3860E+00   7.3147E-05
 2.6661E+00  2.6388E-02  1.3860E+00   7.3281E-05
 2.6674E+00  2.6387E-02  1.3860E+00   7.3415E-05
 2.6688E+00  2.6385E-02  1.3860E+00   7.3547E-05
 2.6702E+00  2.6384E-02  1.3860E+00   7.3682E-05
 2.6715E+00  2.6382E-02  1.3860E+00   7.3817E-05
 2.6729E+00  2.6381E-02  1.3860E+00   7.3952E-05
 2.6743E+00  2.6379E-02  1.3860E+00   7.4087E-05
 2.6757E+00  2.6378E-02  1.3859E+00   7.4224E-05
 2.6771E+00  2.6376E-02  1.3859E+00   7.4359E-05
 2.6784E+00  2.6375E-02  1.3859E+00   7.4495E-05
 2.6798E+00  2.6373E-02  1.3859E+00   7.4632E-05
 2.6812E+00  2.6372E-02  1.3859E+00   7.4769E-05
 2.6826E+00  2.6370E-02  1.3859E+00   7.4907E-05
 2.6840E+00  2.6369E-02  1.3859E+00   7.5044E-05
 2.6854E+00  2.6367E-02  1.3858E+00   7.5183E-05
 2.6868E+00  2.6366E-02  1.3858E+00   7.5320E-05
 2.6882E+00  2.6364E-02  1.3858E+00   7.5459E-05
 2.6896E+00  2.6362E-02  1.3858E+00   7.5598E-05
 2.6910E+00  2.6361E-02  1.3858E+00   7.5738E-05
 2.6924E+00  2.6359E-02  1.3858E+00   7.5878E-05
 2.6938E+00  2.6358E-02  1.3858E+00   7.6019E-05
 2.6951E+00  2.6356E-02  1.3858E+00   7.6158E-05
 2.6965E+00  2.6355E-02  1.3857E+00   7.6299E-05
 2.6980E+00  2.6353E-02  1.3857E+00   7.6441E-05
 2.6994E+00  2.6352E-02  1.3857E+00   7.6582E-05
 2.7008E+00  2.6350E-02  1.3857E+00   7.6725E-05
 2.7022E+00  2.6348E-02  1.3857E+00   7.6867E-05
 2.7036E+00  2.6347E-02  1.3857E+00   7.7010E-05
 2.7050E+00  2.6345E-02  1.3857E+00   7.7152E-05
 2.7064E+00  2.6344E-02  1.3856E+00   7.7296E-05
 2.7078E+00  2.6342E-02  1.3856E+00   7.7440E-05
 2.7092E+00  2.6340E-02  1.3856E+00   7.7584E-05
 2.7106E+00  2.6339E-02  1.3856E+00   7.7729E-05
 2.7121E+00  2.6337E-02  1.3856E+00   7.7874E-05
 2.7135E+00  2.6336E-02  1.3856E+00   7.8018E-05
 2.7149E+00  2.6334E-02  1.3856E+00   7.8165E-05
 2.7163E+00  2.6332E-02  1.3855E+00   7.8311E-05
 2.7178E+00  2.6331E-02  1.3855E+00   7.8457E-05
 2.7192E+00  2.6329E-02  1.3855E+00   7.8604E-05
 2.7206E+00  2.6328E-02  1.3855E+00   7.8752E-05
 2.7220E+00  2.6326E-02  1.3855E+00   7.8900E-05
 2.7235E+00  2.6324E-02  1.3855E+00   7.9047E-05
 2.7249E+00  2.6323E-02  1.3855E+00   7.9195E-05
 2.7263E+00  2.6321E-02  1.3854E+00   7.9345E-05
 2.7278E+00  2.6320E-02  1.3854E+00   7.9493E-05
 2.7292E+00  2.6318E-02  1.3854E+00   7.9643E-05
 2.7306E+00  2.6316E-02  1.3854E+00   7.9794E-05
 2.7321E+00  2.6315E-02  1.3854E+00   7.9943E-05
 2.7335E+00  2.6313E-02  1.3854E+00   8.0094E-05
 2.7349E+00  2.6311E-02  1.3854E+00   8.0245E-05
 2.7364E+00  2.6310E-02  1.3853E+00   8.0397E-05
 2.7378E+00  2.6308E-02  1.3853E+00   8.0548E-05
 2.7393E+00  2.6306E-02  1.3853E+00   8.0701E-05
 2.7407E+00  2.6305E-02  1.3853E+00   8.0854E-05
 2.7422E+00  2.6303E-02  1.3853E+00   8.1006E-05
 2.7436E+00  2.6301E-02  1.3853E+00   8.1159E-05
 2.7451E+00  2.6300E-02  1.3853E+00   8.1314E-05
 2.7465E+00  2.6298E-02  1.3852E+00   8.1468E-05
 2.7480E+00  2.6296E-02  1.3852E+00   8.1623E-05
 2.7495E+00  2.6295E-02  1.3852E+00   8.1779E-05
 2.7509E+00  2.6293E-02  1.3852E+00   8.1933E-05
 2.7524E+00  2.6291E-02  1.3852E+00   8.2089E-05
 2.7538E+00  2.6290E-02  1.3852E+00   8.2245E-05
 2.7553E+00  2.6288E-02  1.3852E+00   8.2403E-05
 2.7568E+00  2.6286E-02  1.3851E+00   8.2561E-05
 2.7582E+00  2.6285E-02  1.3851E+00   8.2718E-05
 2.7597E+00  2.6283E-02  1.3851E+00   8.2876E-05
 2.7612E+00  2.6281E-02  1.3851E+00   8.3033E-05
 2.7626E+00  2.6279E-02  1.3851E+00   8.3193E-05
 2.7641E+00  2.6278E-02  1.3851E+00   8.3352E-05
 2.7656E+00  2.6276E-02  1.3851E+00   8.3512E-05
 2.7671E+00  2.6274E-02  1.3850E+00   8.3672E-05
 2.7685E+00  2.6273E-02  1.3850E+00   8.3833E-05
 2.7700E+00  2.6271E-02  1.3850E+00   8.3993E-05
 2.7715E+00  2.6269E-02  1.3850E+00   8.4155E-05
 2.7730E+00  2.6267E-02  1.3850E+00   8.4317E-05
 2.7745E+00  2.6266E-02  1.3850E+00   8.4479E-05
 2.7759E+00  2.6264E-02  1.3849E+00   8.4642E-05
 2.7774E+00  2.6262E-02  1.3849E+00   8.4805E-05
 2.7789E+00  2.6261E-02  1.3849E+00   8.4969E-05
 2.7804E+00  2.6259E-02  1.3849E+00   8.5132E-05
 2.7819E+00  2.6257E-02  1.3849E+00   8.5296E-05
 2.7834E+00  2.6255E-02  1.3849E+00   8.5462E-05
 2.7849E+00  2.6254E-02  1.3849E+00   8.5627E-05
 2.7864E+00  2.6252E-02  1.3848E+00   8.5793E-05
 2.7879E+00  2.6250E-02  1.3848E+00   8.5959E-05
 2.7894E+00  2.6248E-02  1.3848E+00   8.6125E-05
 2.7909E+00  2.6247E-02  1.3848E+00   8.6293E-05
 2.7924E+00  2.6245E-02  1.3848E+00   8.6460E-05
 2.7939E+00  2.6243E-02  1.3848E+00   8.6629E-05
 2.7954E+00  2.6241E-02  1.3847E+00   8.6797E-05
 2.7969E+00  2.6239E-02  1.3847E+00   8.6966E-05
 2.7984E+00  2.6238E-02  1.3847E+00   8.7136E-05
 2.7999E+00  2.6236E-02  1.3847E+00   8.7305E-05
 2.8014E+00  2.6234E-02  1.3847E+00   8.7475E-05
 2.8030E+00  2.6232E-02  1.3847E+00   8.7647E-05
 2.8045E+00  2.6230E-02  1.3847E+00   8.7817E-05
 2.8060E+00  2.6229E-02  1.3846E+00   8.7989E-05
 2.8075E+00  2.6227E-02  1.3846E+00   8.8162E-05
 2.8090E+00  2.6225E-02  1.3846E+00   8.8334E-05
 2.8106E+00  2.6223E-02  1.3846E+00   8.8507E-05
 2.8121E+00  2.6221E-02  1.3846E+00   8.8681E-05
 2.8136E+00  2.6220E-02  1.3846E+00   8.8855E-05
 2.8151E+00  2.6218E-02  1.3845E+00   8.9029E-05
 2.8167E+00  2.6216E-02  1.3845E+00   8.9204E-05
 2.8182E+00  2.6214E-02  1.3845E+00   8.9381E-05
 2.8197E+00  2.6212E-02  1.3845E+00   8.9556E-05
 2.8213E+00  2.6211E-02  1.3845E+00   8.9733E-05
 2.8228E+00  2.6209E-02  1.3845E+00   8.9909E-05
 2.8243E+00  2.6207E-02  1.3844E+00   9.0087E-05
 2.8259E+00  2.6205E-02  1.3844E+00   9.0265E-05
 2.8274E+00  2.6203E-02  1.3844E+00   9.0443E-05
 2.8290E+00  2.6201E-02  1.3844E+00   9.0623E-05
 2.8305E+00  2.6199E-02  1.3844E+00   9.0802E-05
 2.8320E+00  2.6198E-02  1.3844E+00   9.0981E-05
 2.8336E+00  2.6196E-02  1.3843E+00   9.1161E-05
 2.8351E+00  2.6194E-02  1.3843E+00   9.1342E-05
 2.8367E+00  2.6192E-02  1.3843E+00   9.1524E-05
 2.8382E+00  2.6190E-02  1.3843E+00   9.1706E-05
 2.8398E+00  2.6188E-02  1.3843E+00   9.1888E-05
 2.8413E+00  2.6186E-02  1.3843E+00   9.2070E-05
 2.8429E+00  2.6184E-02  1.3842E+00   9.2254E-05
 2.8445E+00  2.6183E-02  1.3842E+00   9.2438E-05
 2.8460E+00  2.6181E-02  1.3842E+00   9.2623E-05
 2.8476E+00  2.6179E-02  1.3842E+00   9.2808E-05
 2.8492E+00  2.6177E-02  1.3842E+00   9.2994E-05
 2.8507E+00  2.6175E-02  1.3842E+00   9.3178E-05
 2.8523E+00  2.6173E-02  1.3841E+00   9.3365E-05
 2.8539E+00  2.6171E-02  1.3841E+00   9.3552E-05
