Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 6.0578E+00  3.1178E-02  1.4168E+00   8.5081E-02
 6.0649E+00  3.1713E-02  1.4208E+00   8.7209E-02
 6.0720E+00  3.2271E-02  1.4251E+00   8.8864E-02
 6.0791E+00  3.2846E-02  1.4297E+00   9.0005E-02
 6.0862E+00  3.3425E-02  1.4344E+00   9.0577E-02
 6.0934E+00  3.3994E-02  1.4391E+00   9.0560E-02
 6.1006E+00  3.4541E-02  1.4438E+00   8.9954E-02
 6.1078E+00  3.5055E-02  1.4483E+00   8.8785E-02
 6.1150E+00  3.5527E-02  1.4526E+00   8.7099E-02
 6.1222E+00  3.5949E-02  1.4566E+00   8.4972E-02
 6.1294E+00  3.6321E-02  1.4601E+00   8.2454E-02
 6.1367E+00  3.6637E-02  1.4633E+00   7.9635E-02
 6.1439E+00  3.6899E-02  1.4660E+00   7.6594E-02
 6.1512E+00  3.7108E-02  1.4683E+00   7.3408E-02
 6.1585E+00  3.7267E-02  1.4702E+00   7.0145E-02
 6.1658E+00  3.7379E-02  1.4717E+00   6.6880E-02
 6.1732E+00  3.7450E-02  1.4728E+00   6.3629E-02
 6.1805E+00  3.7485E-02  1.4736E+00   6.0448E-02
 6.1879E+00  3.7487E-02  1.4740E+00   5.7366E-02
 6.1953E+00  3.7462E-02  1.4742E+00   5.4405E-02
 6.2027E+00  3.7413E-02  1.4742E+00   5.1579E-02
 6.2102E+00  3.7343E-02  1.4740E+00   4.8899E-02
 6.2176E+00  3.7258E-02  1.4736E+00   4.6378E-02
 6.2251E+00  3.7159E-02  1.4731E+00   4.3993E-02
 6.2325E+00  3.7049E-02  1.4725E+00   4.1755E-02
 6.2401E+00  3.6929E-02  1.4717E+00   3.9658E-02
 6.2476E+00  3.6803E-02  1.4709E+00   3.7698E-02
 6.2551E+00  3.6671E-02  1.4700E+00   3.5867E-02
 6.2626E+00  3.6536E-02  1.4691E+00   3.4168E-02
 6.2702E+00  3.6398E-02  1.4681E+00   3.2576E-02
 6.2778E+00  3.6257E-02  1.4671E+00   3.1092E-02
 6.2854E+00  3.6115E-02  1.4661E+00   2.9709E-02
 6.2931E+00  3.5972E-02  1.4651E+00   2.8420E-02
