From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1750D+01  0.1396D+01  0.2340D-02  0.2291D+03  0.2433D+03
  0.1752D+01  0.1396D+01  0.2340D-02  0.2289D+03  0.2438D+03
  0.1753D+01  0.1396D+01  0.2341D-02  0.2287D+03  0.2417D+03
  0.1755D+01  0.1396D+01  0.2341D-02  0.2286D+03  0.2417D+03
  0.1755D+01  0.1396D+01  0.2341D-02  0.2284D+03  0.2412D+03
  0.1757D+01  0.1396D+01  0.2342D-02  0.2283D+03  0.2412D+03
  0.1758D+01  0.1396D+01  0.2343D-02  0.2282D+03  0.2411D+03
  0.1760D+01  0.1396D+01  0.2343D-02  0.2280D+03  0.2425D+03
  0.1762D+01  0.1396D+01  0.2344D-02  0.2279D+03  0.2412D+03
  0.1763D+01  0.1396D+01  0.2346D-02  0.2279D+03  0.2431D+03
  0.1765D+01  0.1396D+01  0.2347D-02  0.2278D+03  0.2406D+03
  0.1767D+01  0.1396D+01  0.2349D-02  0.2277D+03  0.2409D+03
  0.1768D+01  0.1396D+01  0.2350D-02  0.2277D+03  0.2415D+03
  0.1770D+01  0.1396D+01  0.2352D-02  0.2277D+03  0.2415D+03
  0.1772D+01  0.1396D+01  0.2354D-02  0.2276D+03  0.2425D+03
  0.1773D+01  0.1396D+01  0.2356D-02  0.2276D+03  0.2415D+03
  0.1775D+01  0.1396D+01  0.2359D-02  0.2276D+03  0.2420D+03
  0.1777D+01  0.1396D+01  0.2361D-02  0.2277D+03  0.2403D+03
  0.1778D+01  0.1396D+01  0.2364D-02  0.2277D+03  0.2400D+03
  0.1780D+01  0.1396D+01  0.2367D-02  0.2278D+03  0.2405D+03
  0.1782D+01  0.1396D+01  0.2370D-02  0.2279D+03  0.2408D+03
  0.1782D+01  0.1396D+01  0.2370D-02  0.2279D+03  0.2406D+03
  0.1783D+01  0.1396D+01  0.2374D-02  0.2281D+03  0.2408D+03
  0.1785D+01  0.1396D+01  0.2377D-02  0.2282D+03  0.2398D+03
