From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.5169D+01  0.1360D+01  0.9827D-02  0.3269D+03  0.3820D+03
  0.5181D+01  0.1359D+01  0.1001D-01  0.3325D+03  0.3836D+03
  0.5194D+01  0.1359D+01  0.1020D-01  0.3382D+03  0.3852D+03
  0.5208D+01  0.1358D+01  0.1042D-01  0.3441D+03  0.3865D+03
  0.5221D+01  0.1358D+01  0.1062D-01  0.3500D+03  0.3900D+03
  0.5236D+01  0.1357D+01  0.1084D-01  0.3561D+03  0.3940D+03
  0.5249D+01  0.1357D+01  0.1105D-01  0.3625D+03  0.3966D+03
  0.5264D+01  0.1356D+01  0.1129D-01  0.3689D+03  0.3995D+03
  0.5277D+01  0.1356D+01  0.1151D-01  0.3754D+03  0.4039D+03
  0.5290D+01  0.1356D+01  0.1173D-01  0.3820D+03  0.4050D+03
  0.5305D+01  0.1355D+01  0.1199D-01  0.3888D+03  0.4098D+03
  0.5319D+01  0.1355D+01  0.1222D-01  0.3957D+03  0.4141D+03
  0.5334D+01  0.1354D+01  0.1248D-01  0.4027D+03  0.4167D+03
  0.5347D+01  0.1354D+01  0.1273D-01  0.4098D+03  0.4162D+03
  0.5363D+01  0.1353D+01  0.1300D-01  0.4170D+03  0.4256D+03
  0.5376D+01  0.1353D+01  0.1325D-01  0.4242D+03  0.4300D+03
  0.5386D+01  0.1352D+01  0.1341D-01  0.4285D+03  0.4311D+03
  0.5387D+01  0.1352D+01  0.1344D-01  0.4300D+03  0.4316D+03
  0.5390D+01  0.1352D+01  0.1350D-01  0.4314D+03  0.4321D+03
  0.5393D+01  0.1352D+01  0.1355D-01  0.4329D+03  0.4328D+03
  0.5396D+01  0.1352D+01  0.1361D-01  0.4344D+03  0.4337D+03
  0.5399D+01  0.1352D+01  0.1367D-01  0.4359D+03  0.4346D+03
  0.5403D+01  0.1352D+01  0.1372D-01  0.4373D+03  0.4353D+03
  0.5406D+01  0.1352D+01  0.1378D-01  0.4387D+03  0.4364D+03
  0.5409D+01  0.1352D+01  0.1384D-01  0.4402D+03  0.4377D+03
  0.5412D+01  0.1351D+01  0.1389D-01  0.4417D+03  0.4383D+03
  0.5413D+01  0.1351D+01  0.1392D-01  0.4432D+03  0.4373D+03
  0.5417D+01  0.1351D+01  0.1398D-01  0.4447D+03  0.4358D+03
  0.5420D+01  0.1351D+01  0.1403D-01  0.4461D+03  0.4359D+03
  0.5423D+01  0.1351D+01  0.1409D-01  0.4475D+03  0.4381D+03
  0.5426D+01  0.1351D+01  0.1415D-01  0.4490D+03  0.4410D+03
  0.5429D+01  0.1351D+01  0.1420D-01  0.4505D+03  0.4435D+03
  0.5432D+01  0.1351D+01  0.1426D-01  0.4520D+03  0.4454D+03
  0.5435D+01  0.1351D+01  0.1432D-01  0.4534D+03  0.4466D+03
  0.5438D+01  0.1351D+01  0.1438D-01  0.4549D+03  0.4476D+03
  0.5440D+01  0.1351D+01  0.1440D-01  0.4564D+03  0.4489D+03
  0.5443D+01  0.1350D+01  0.1446D-01  0.4578D+03  0.4503D+03
  0.5446D+01  0.1350D+01  0.1452D-01  0.4593D+03  0.4514D+03
  0.5449D+01  0.1350D+01  0.1458D-01  0.4607D+03  0.4518D+03
  0.5453D+01  0.1350D+01  0.1463D-01  0.4622D+03  0.4512D+03
  0.5456D+01  0.1350D+01  0.1469D-01  0.4637D+03  0.4500D+03
  0.5459D+01  0.1350D+01  0.1475D-01  0.4652D+03  0.4491D+03
  0.5462D+01  0.1350D+01  0.1481D-01  0.4665D+03  0.4498D+03
  0.5464D+01  0.1350D+01  0.1483D-01  0.4680D+03  0.4520D+03
  0.5467D+01  0.1350D+01  0.1489D-01  0.4695D+03  0.4540D+03
  0.5470D+01  0.1349D+01  0.1495D-01  0.4709D+03  0.4556D+03
  0.5473D+01  0.1349D+01  0.1501D-01  0.4724D+03  0.4567D+03
  0.5476D+01  0.1349D+01  0.1506D-01  0.4738D+03  0.4577D+03
  0.5480D+01  0.1349D+01  0.1512D-01  0.4753D+03  0.4596D+03
  0.5483D+01  0.1349D+01  0.1518D-01  0.4767D+03  0.4624D+03
  0.5486D+01  0.1349D+01  0.1523D-01  0.4781D+03  0.4649D+03
  0.5489D+01  0.1349D+01  0.1529D-01  0.4795D+03  0.4665D+03
  0.5491D+01  0.1349D+01  0.1532D-01  0.4810D+03  0.4677D+03
  0.5494D+01  0.1349D+01  0.1538D-01  0.4824D+03  0.4688D+03
  0.5497D+01  0.1349D+01  0.1543D-01  0.4838D+03  0.4697D+03
  0.5500D+01  0.1348D+01  0.1549D-01  0.4853D+03  0.4706D+03
  0.5504D+01  0.1348D+01  0.1555D-01  0.4866D+03  0.4720D+03
  0.5507D+01  0.1348D+01  0.1560D-01  0.4880D+03  0.4735D+03
  0.5510D+01  0.1348D+01  0.1566D-01  0.4894D+03  0.4744D+03
  0.5513D+01  0.1348D+01  0.1572D-01  0.4908D+03  0.4752D+03
  0.5516D+01  0.1348D+01  0.1577D-01  0.4923D+03  0.4768D+03
  0.5518D+01  0.1348D+01  0.1580D-01  0.4937D+03  0.4792D+03
  0.5521D+01  0.1348D+01  0.1586D-01  0.4950D+03  0.4811D+03
  0.5524D+01  0.1348D+01  0.1591D-01  0.4964D+03  0.4825D+03
  0.5528D+01  0.1347D+01  0.1597D-01  0.4977D+03  0.4844D+03
  0.5531D+01  0.1347D+01  0.1603D-01  0.4991D+03  0.4863D+03
  0.5534D+01  0.1347D+01  0.1608D-01  0.5005D+03  0.4874D+03
  0.5537D+01  0.1347D+01  0.1614D-01  0.5019D+03  0.4879D+03
  0.5541D+01  0.1347D+01  0.1619D-01  0.5032D+03  0.4887D+03
  0.5542D+01  0.1347D+01  0.1622D-01  0.5045D+03  0.4898D+03
  0.5546D+01  0.1347D+01  0.1628D-01  0.5059D+03  0.4907D+03
  0.5549D+01  0.1347D+01  0.1633D-01  0.5072D+03  0.4916D+03
  0.5552D+01  0.1347D+01  0.1639D-01  0.5086D+03  0.4927D+03
  0.5555D+01  0.1346D+01  0.1644D-01  0.5099D+03  0.4941D+03
  0.5559D+01  0.1346D+01  0.1650D-01  0.5112D+03  0.4958D+03
  0.5562D+01  0.1346D+01  0.1655D-01  0.5125D+03  0.4984D+03
  0.5565D+01  0.1346D+01  0.1660D-01  0.5138D+03  0.5010D+03
  0.5569D+01  0.1346D+01  0.1666D-01  0.5151D+03  0.5019D+03
  0.5570D+01  0.1346D+01  0.1669D-01  0.5165D+03  0.5003D+03
  0.5573D+01  0.1346D+01  0.1674D-01  0.5178D+03  0.4980D+03
  0.5577D+01  0.1346D+01  0.1679D-01  0.5191D+03  0.4985D+03
  0.5580D+01  0.1345D+01  0.1685D-01  0.5204D+03  0.5022D+03
  0.5583D+01  0.1345D+01  0.1690D-01  0.5216D+03  0.5063D+03
  0.5587D+01  0.1345D+01  0.1696D-01  0.5229D+03  0.5094D+03
  0.5590D+01  0.1345D+01  0.1701D-01  0.5242D+03  0.5117D+03
  0.5593D+01  0.1345D+01  0.1706D-01  0.5254D+03  0.5132D+03
  0.5597D+01  0.1345D+01  0.1712D-01  0.5267D+03  0.5140D+03
  0.5598D+01  0.1345D+01  0.1714D-01  0.5280D+03  0.5146D+03
  0.5602D+01  0.1345D+01  0.1720D-01  0.5293D+03  0.5157D+03
  0.5605D+01  0.1344D+01  0.1725D-01  0.5305D+03  0.5173D+03
  0.5608D+01  0.1344D+01  0.1730D-01  0.5317D+03  0.5191D+03
  0.5612D+01  0.1344D+01  0.1736D-01  0.5330D+03  0.5211D+03
  0.5615D+01  0.1344D+01  0.1741D-01  0.5342D+03  0.5238D+03
  0.5618D+01  0.1344D+01  0.1746D-01  0.5355D+03  0.5266D+03
  0.5622D+01  0.1344D+01  0.1752D-01  0.5367D+03  0.5281D+03
  0.5623D+01  0.1344D+01  0.1754D-01  0.5379D+03  0.5284D+03
  0.5627D+01  0.1343D+01  0.1760D-01  0.5392D+03  0.5280D+03
  0.5630D+01  0.1343D+01  0.1765D-01  0.5404D+03  0.5271D+03
  0.5633D+01  0.1343D+01  0.1770D-01  0.5417D+03  0.5245D+03
  0.5637D+01  0.1343D+01  0.1776D-01  0.5429D+03  0.5216D+03
  0.5640D+01  0.1343D+01  0.1781D-01  0.5442D+03  0.5222D+03
  0.5644D+01  0.1343D+01  0.1786D-01  0.5454D+03  0.5270D+03
  0.5647D+01  0.1342D+01  0.1792D-01  0.5466D+03  0.5318D+03
  0.5650D+01  0.1342D+01  0.1797D-01  0.5479D+03  0.5355D+03
  0.5652D+01  0.1342D+01  0.1800D-01  0.5492D+03  0.5395D+03
  0.5655D+01  0.1342D+01  0.1805D-01  0.5504D+03  0.5433D+03
  0.5659D+01  0.1342D+01  0.1811D-01  0.5517D+03  0.5459D+03
  0.5662D+01  0.1342D+01  0.1816D-01  0.5530D+03  0.5474D+03
  0.5666D+01  0.1341D+01  0.1822D-01  0.5543D+03  0.5485D+03
  0.5669D+01  0.1341D+01  0.1827D-01  0.5555D+03  0.5494D+03
  0.5672D+01  0.1341D+01  0.1833D-01  0.5569D+03  0.5504D+03
  0.5676D+01  0.1341D+01  0.1839D-01  0.5582D+03  0.5522D+03
  0.5679D+01  0.1341D+01  0.1844D-01  0.5595D+03  0.5553D+03
  0.5681D+01  0.1341D+01  0.1847D-01  0.5609D+03  0.5590D+03
  0.5684D+01  0.1340D+01  0.1853D-01  0.5623D+03  0.5617D+03
  0.5688D+01  0.1340D+01  0.1859D-01  0.5636D+03  0.5637D+03
  0.5691D+01  0.1340D+01  0.1865D-01  0.5650D+03  0.5660D+03
  0.5695D+01  0.1340D+01  0.1871D-01  0.5664D+03  0.5681D+03
  0.5698D+01  0.1340D+01  0.1877D-01  0.5679D+03  0.5692D+03
  0.5702D+01  0.1339D+01  0.1884D-01  0.5694D+03  0.5691D+03
  0.5705D+01  0.1339D+01  0.1890D-01  0.5709D+03  0.5688D+03
  0.5709D+01  0.1339D+01  0.1897D-01  0.5724D+03  0.5690D+03
  0.5710D+01  0.1339D+01  0.1900D-01  0.5739D+03  0.5706D+03
  0.5714D+01  0.1339D+01  0.1907D-01  0.5756D+03  0.5748D+03
  0.5717D+01  0.1338D+01  0.1913D-01  0.5772D+03  0.5813D+03
  0.5721D+01  0.1338D+01  0.1921D-01  0.5789D+03  0.5874D+03
  0.5724D+01  0.1338D+01  0.1928D-01  0.5807D+03  0.5915D+03
  0.5728D+01  0.1338D+01  0.1935D-01  0.5825D+03  0.5949D+03
  0.5731D+01  0.1337D+01  0.1943D-01  0.5843D+03  0.5989D+03
  0.5735D+01  0.1337D+01  0.1951D-01  0.5861D+03  0.6020D+03
  0.5736D+01  0.1337D+01  0.1955D-01  0.5881D+03  0.6025D+03
  0.5740D+01  0.1337D+01  0.1963D-01  0.5901D+03  0.6017D+03
  0.5743D+01  0.1336D+01  0.1971D-01  0.5923D+03  0.6024D+03
  0.5747D+01  0.1336D+01  0.1980D-01  0.5945D+03  0.6058D+03
  0.5750D+01  0.1336D+01  0.1990D-01  0.5968D+03  0.6102D+03
  0.5754D+01  0.1336D+01  0.1999D-01  0.5990D+03  0.6131D+03
  0.5757D+01  0.1335D+01  0.2009D-01  0.6015D+03  0.6132D+03
  0.5761D+01  0.1335D+01  0.2019D-01  0.6041D+03  0.6109D+03
  0.5764D+01  0.1335D+01  0.2030D-01  0.6068D+03  0.6117D+03
  0.5766D+01  0.1334D+01  0.2036D-01  0.6097D+03  0.6186D+03
  0.5770D+01  0.1334D+01  0.2047D-01  0.6126D+03  0.6281D+03
  0.5773D+01  0.1334D+01  0.2059D-01  0.6158D+03  0.6382D+03
  0.5777D+01  0.1333D+01  0.2072D-01  0.6189D+03  0.6473D+03
  0.5780D+01  0.1333D+01  0.2086D-01  0.6224D+03  0.6535D+03
  0.5784D+01  0.1333D+01  0.2100D-01  0.6261D+03  0.6575D+03
  0.5787D+01  0.1332D+01  0.2115D-01  0.6299D+03  0.6612D+03
  0.5791D+01  0.1332D+01  0.2131D-01  0.6341D+03  0.6652D+03
  0.5795D+01  0.1332D+01  0.2148D-01  0.6384D+03  0.6691D+03
  0.5796D+01  0.1331D+01  0.2156D-01  0.6431D+03  0.6742D+03
  0.5800D+01  0.1331D+01  0.2175D-01  0.6478D+03  0.6807D+03
  0.5803D+01  0.1331D+01  0.2195D-01  0.6530D+03  0.6863D+03
  0.5807D+01  0.1330D+01  0.2216D-01  0.6586D+03  0.6886D+03
  0.5811D+01  0.1330D+01  0.2238D-01  0.6647D+03  0.6887D+03
  0.5814D+01  0.1329D+01  0.2263D-01  0.6711D+03  0.6885D+03
  0.5818D+01  0.1329D+01  0.2289D-01  0.6781D+03  0.6907D+03
  0.5821D+01  0.1328D+01  0.2317D-01  0.6851D+03  0.6978D+03
  0.5823D+01  0.1328D+01  0.2332D-01  0.6931D+03  0.7106D+03
  0.5827D+01  0.1327D+01  0.2363D-01  0.7018D+03  0.7271D+03
  0.5830D+01  0.1327D+01  0.2397D-01  0.7111D+03  0.7412D+03
  0.5834D+01  0.1326D+01  0.2434D-01  0.7213D+03  0.7511D+03
  0.5838D+01  0.1326D+01  0.2475D-01  0.7323D+03  0.7613D+03
  0.5841D+01  0.1325D+01  0.2519D-01  0.7443D+03  0.7731D+03
  0.5845D+01  0.1325D+01  0.2567D-01  0.7566D+03  0.7838D+03
  0.5848D+01  0.1324D+01  0.2620D-01  0.7708D+03  0.7933D+03
  0.5852D+01  0.1323D+01  0.2678D-01  0.7864D+03  0.8040D+03
  0.5854D+01  0.1323D+01  0.2709D-01  0.8034D+03  0.8158D+03
  0.5858D+01  0.1322D+01  0.2775D-01  0.8221D+03  0.8285D+03
  0.5861D+01  0.1322D+01  0.2849D-01  0.8427D+03  0.8451D+03
  0.5865D+01  0.1321D+01  0.2931D-01  0.8653D+03  0.8654D+03
  0.5868D+01  0.1320D+01  0.3021D-01  0.8888D+03  0.8832D+03
  0.5872D+01  0.1320D+01  0.3121D-01  0.9162D+03  0.8944D+03
  0.5876D+01  0.1319D+01  0.3231D-01  0.9463D+03  0.9050D+03
  0.5879D+01  0.1319D+01  0.3353D-01  0.9795D+03  0.9299D+03
  0.5883D+01  0.1318D+01  0.3489D-01  0.1016D+04  0.9694D+03
  0.5885D+01  0.1318D+01  0.3561D-01  0.1056D+04  0.1008D+04
  0.5889D+01  0.1317D+01  0.3717D-01  0.1098D+04  0.1046D+04
  0.5892D+01  0.1317D+01  0.3888D-01  0.1145D+04  0.1095D+04
  0.5896D+01  0.1317D+01  0.4073D-01  0.1196D+04  0.1158D+04
  0.5900D+01  0.1317D+01  0.4272D-01  0.1251D+04  0.1223D+04
  0.5903D+01  0.1318D+01  0.4481D-01  0.1308D+04  0.1286D+04
  0.5907D+01  0.1318D+01  0.4697D-01  0.1367D+04  0.1349D+04
  0.5911D+01  0.1319D+01  0.4914D-01  0.1427D+04  0.1418D+04
  0.5913D+01  0.1320D+01  0.5020D-01  0.1481D+04  0.1494D+04
  0.5916D+01  0.1322D+01  0.5221D-01  0.1535D+04  0.1577D+04
  0.5920D+01  0.1324D+01  0.5397D-01  0.1581D+04  0.1655D+04
  0.5924D+01  0.1326D+01  0.5538D-01  0.1617D+04  0.1717D+04
  0.5928D+01  0.1329D+01  0.5632D-01  0.1641D+04  0.1755D+04
  0.5931D+01  0.1332D+01  0.5672D-01  0.1650D+04  0.1769D+04
  0.5935D+01  0.1335D+01  0.5655D-01  0.1645D+04  0.1758D+04
  0.5939D+01  0.1337D+01  0.5583D-01  0.1626D+04  0.1717D+04
  0.5942D+01  0.1340D+01  0.5464D-01  0.1594D+04  0.1659D+04
  0.5944D+01  0.1341D+01  0.5389D-01  0.1551D+04  0.1597D+04
  0.5948D+01  0.1343D+01  0.5218D-01  0.1502D+04  0.1523D+04
  0.5952D+01  0.1344D+01  0.5028D-01  0.1447D+04  0.1438D+04
  0.5956D+01  0.1345D+01  0.4829D-01  0.1391D+04  0.1353D+04
  0.5959D+01  0.1346D+01  0.4629D-01  0.1339D+04  0.1275D+04
  0.5963D+01  0.1346D+01  0.4436D-01  0.1285D+04  0.1202D+04
  0.5967D+01  0.1346D+01  0.4254D-01  0.1234D+04  0.1133D+04
  0.5971D+01  0.1346D+01  0.4086D-01  0.1186D+04  0.1073D+04
  0.5975D+01  0.1345D+01  0.3932D-01  0.1143D+04  0.1030D+04
  0.5976D+01  0.1345D+01  0.3861D-01  0.1103D+04  0.1001D+04
  0.5980D+01  0.1344D+01  0.3731D-01  0.1068D+04  0.9777D+03
  0.5984D+01  0.1343D+01  0.3615D-01  0.1038D+04  0.9565D+03
  0.5988D+01  0.1343D+01  0.3513D-01  0.1010D+04  0.9408D+03
  0.5992D+01  0.1342D+01  0.3424D-01  0.9849D+03  0.9317D+03
  0.5995D+01  0.1341D+01  0.3346D-01  0.9633D+03  0.9258D+03
  0.5999D+01  0.1340D+01  0.3280D-01  0.9445D+03  0.9221D+03
  0.6003D+01  0.1339D+01  0.3224D-01  0.9284D+03  0.9194D+03
  0.6005D+01  0.1338D+01  0.3200D-01  0.9154D+03  0.9173D+03
  0.6009D+01  0.1337D+01  0.3158D-01  0.9040D+03  0.9177D+03
  0.6013D+01  0.1336D+01  0.3124D-01  0.8947D+03  0.9226D+03
  0.6016D+01  0.1335D+01  0.3098D-01  0.8875D+03  0.9306D+03
  0.6020D+01  0.1333D+01  0.3080D-01  0.8822D+03  0.9396D+03
  0.6024D+01  0.1332D+01  0.3069D-01  0.8787D+03  0.9487D+03
  0.6028D+01  0.1331D+01  0.3064D-01  0.8771D+03  0.9571D+03
  0.6032D+01  0.1330D+01  0.3067D-01  0.8771D+03  0.9643D+03
  0.6036D+01  0.1329D+01  0.3076D-01  0.8789D+03  0.9690D+03
  0.6038D+01  0.1328D+01  0.3083D-01  0.8824D+03  0.9696D+03
  0.6042D+01  0.1327D+01  0.3103D-01  0.8876D+03  0.9680D+03
  0.6045D+01  0.1325D+01  0.3129D-01  0.8948D+03  0.9796D+03
  0.6049D+01  0.1324D+01  0.3163D-01  0.9038D+03  0.1006D+04
  0.6053D+01  0.1322D+01  0.3205D-01  0.9149D+03  0.1033D+04
  0.6057D+01  0.1321D+01  0.3256D-01  0.9274D+03  0.1058D+04
  0.6061D+01  0.1320D+01  0.3316D-01  0.9429D+03  0.1078D+04
  0.6065D+01  0.1318D+01  0.3385D-01  0.9609D+03  0.1096D+04
  0.6069D+01  0.1316D+01  0.3466D-01  0.9817D+03  0.1123D+04
  0.6071D+01  0.1316D+01  0.3511D-01  0.1006D+04  0.1159D+04
  0.6075D+01  0.1314D+01  0.3611D-01  0.1033D+04  0.1195D+04
  0.6079D+01  0.1312D+01  0.3726D-01  0.1062D+04  0.1228D+04
  0.6082D+01  0.1310D+01  0.3857D-01  0.1098D+04  0.1262D+04
  0.6086D+01  0.1308D+01  0.4008D-01  0.1138D+04  0.1297D+04
  0.6090D+01  0.1306D+01  0.4182D-01  0.1184D+04  0.1334D+04
  0.6094D+01  0.1304D+01  0.4381D-01  0.1237D+04  0.1374D+04
  0.6098D+01  0.1302D+01  0.4610D-01  0.1297D+04  0.1415D+04
  0.6102D+01  0.1300D+01  0.4873D-01  0.1365D+04  0.1456D+04
  0.6104D+01  0.1299D+01  0.5020D-01  0.1440D+04  0.1499D+04
  0.6108D+01  0.1297D+01  0.5346D-01  0.1529D+04  0.1562D+04
  0.6112D+01  0.1295D+01  0.5724D-01  0.1632D+04  0.1655D+04
  0.6116D+01  0.1293D+01  0.6160D-01  0.1749D+04  0.1763D+04
  0.6120D+01  0.1291D+01  0.6662D-01  0.1884D+04  0.1865D+04
  0.6124D+01  0.1290D+01  0.7240D-01  0.2038D+04  0.1968D+04
  0.6128D+01  0.1289D+01  0.7900D-01  0.2212D+04  0.2080D+04
  0.6132D+01  0.1289D+01  0.8646D-01  0.2398D+04  0.2210D+04
  0.6134D+01  0.1290D+01  0.9050D-01  0.2614D+04  0.2363D+04
  0.6138D+01  0.1291D+01  0.9913D-01  0.2848D+04  0.2552D+04
  0.6142D+01  0.1295D+01  0.1083D+00  0.3093D+04  0.2775D+04
  0.6146D+01  0.1301D+01  0.1176D+00  0.3339D+04  0.3011D+04
  0.6150D+01  0.1309D+01  0.1263D+00  0.3567D+04  0.3243D+04
  0.6154D+01  0.1320D+01  0.1336D+00  0.3748D+04  0.3479D+04
  0.6158D+01  0.1332D+01  0.1385D+00  0.3881D+04  0.3728D+04
  0.6162D+01  0.1346D+01  0.1404D+00  0.3936D+04  0.3949D+04
  0.6166D+01  0.1360D+01  0.1390D+00  0.3905D+04  0.4071D+04
  0.6168D+01  0.1367D+01  0.1371D+00  0.3793D+04  0.4083D+04
  0.6172D+01  0.1379D+01  0.1312D+00  0.3614D+04  0.4011D+04
  0.6176D+01  0.1389D+01  0.1232D+00  0.3391D+04  0.3857D+04
  0.6180D+01  0.1396D+01  0.1142D+00  0.3158D+04  0.3597D+04
  0.6184D+01  0.1401D+01  0.1049D+00  0.2907D+04  0.3252D+04
  0.6188D+01  0.1404D+01  0.9581D-01  0.2665D+04  0.2912D+04
  0.6192D+01  0.1406D+01  0.8737D-01  0.2439D+04  0.2635D+04
  0.6196D+01  0.1406D+01  0.7973D-01  0.2233D+04  0.2407D+04
  0.6201D+01  0.1405D+01  0.7294D-01  0.2050D+04  0.2198D+04
  0.6203D+01  0.1405D+01  0.6986D-01  0.1887D+04  0.1999D+04
  0.6207D+01  0.1403D+01  0.6428D-01  0.1752D+04  0.1817D+04
  0.6211D+01  0.1401D+01  0.5942D-01  0.1626D+04  0.1658D+04
  0.6215D+01  0.1400D+01  0.5520D-01  0.1516D+04  0.1521D+04
  0.6219D+01  0.1398D+01  0.5153D-01  0.1420D+04  0.1403D+04
  0.6223D+01  0.1395D+01  0.4834D-01  0.1335D+04  0.1302D+04
  0.6227D+01  0.1393D+01  0.4555D-01  0.1261D+04  0.1218D+04
  0.6231D+01  0.1391D+01  0.4312D-01  0.1199D+04  0.1146D+04
  0.6233D+01  0.1390D+01  0.4202D-01  0.1141D+04  0.1082D+04
  0.6237D+01  0.1389D+01  0.4001D-01  0.1090D+04  0.1026D+04
  0.6242D+01  0.1387D+01  0.3825D-01  0.1044D+04  0.9788D+03
  0.6246D+01  0.1385D+01  0.3669D-01  0.1004D+04  0.9370D+03
  0.6250D+01  0.1383D+01  0.3530D-01  0.9675D+03  0.8981D+03
  0.6254D+01  0.1382D+01  0.3407D-01  0.9350D+03  0.8649D+03
  0.6258D+01  0.1380D+01  0.3297D-01  0.9073D+03  0.8376D+03
  0.6262D+01  0.1379D+01  0.3198D-01  0.8809D+03  0.8124D+03
  0.6266D+01  0.1377D+01  0.3110D-01  0.8570D+03  0.7887D+03
  0.6269D+01  0.1377D+01  0.3069D-01  0.8354D+03  0.7686D+03
  0.6273D+01  0.1375D+01  0.2993D-01  0.8157D+03  0.7517D+03
  0.6277D+01  0.1374D+01  0.2925D-01  0.7978D+03  0.7353D+03
  0.6281D+01  0.1373D+01  0.2863D-01  0.7815D+03  0.7197D+03
  0.6285D+01  0.1372D+01  0.2807D-01  0.7674D+03  0.7069D+03
  0.6289D+01  0.1370D+01  0.2756D-01  0.7537D+03  0.6961D+03
  0.6294D+01  0.1369D+01  0.2709D-01  0.7411D+03  0.6852D+03
  0.6298D+01  0.1368D+01  0.2666D-01  0.7295D+03  0.6748D+03
  0.6302D+01  0.1367D+01  0.2627D-01  0.7189D+03  0.6665D+03
  0.6304D+01  0.1367D+01  0.2609D-01  0.7091D+03  0.6596D+03
  0.6308D+01  0.1366D+01  0.2575D-01  0.7005D+03  0.6526D+03
  0.6313D+01  0.1365D+01  0.2544D-01  0.6921D+03  0.6460D+03
  0.6317D+01  0.1364D+01  0.2515D-01  0.6843D+03  0.6405D+03
  0.6321D+01  0.1363D+01  0.2488D-01  0.6771D+03  0.6353D+03
  0.6325D+01  0.1362D+01  0.2464D-01  0.6704D+03  0.6297D+03
  0.6330D+01  0.1362D+01  0.2442D-01  0.6642D+03  0.6236D+03
  0.6334D+01  0.1361D+01  0.2421D-01  0.6584D+03  0.6170D+03
  0.6336D+01  0.1361D+01  0.2411D-01  0.6533D+03  0.6098D+03
  0.6340D+01  0.1360D+01  0.2393D-01  0.6483D+03  0.6045D+03
  0.6345D+01  0.1359D+01  0.2376D-01  0.6436D+03  0.6024D+03
  0.6349D+01  0.1358D+01  0.2360D-01  0.6393D+03  0.6028D+03
  0.6353D+01  0.1358D+01  0.2346D-01  0.6352D+03  0.6047D+03
  0.6357D+01  0.1357D+01  0.2332D-01  0.6314D+03  0.6051D+03
  0.6362D+01  0.1356D+01  0.2320D-01  0.6281D+03  0.6016D+03
  0.6366D+01  0.1356D+01  0.2309D-01  0.6248D+03  0.5975D+03
  0.6370D+01  0.1355D+01  0.2298D-01  0.6217D+03  0.5972D+03
  0.6372D+01  0.1355D+01  0.2293D-01  0.6188D+03  0.5990D+03
  0.6377D+01  0.1354D+01  0.2284D-01  0.6161D+03  0.5999D+03
  0.6381D+01  0.1354D+01  0.2276D-01  0.6136D+03  0.6005D+03
  0.6385D+01  0.1353D+01  0.2268D-01  0.6113D+03  0.6015D+03
  0.6390D+01  0.1352D+01  0.2261D-01  0.6092D+03  0.6017D+03
  0.6394D+01  0.1352D+01  0.2254D-01  0.6072D+03  0.6006D+03
  0.6398D+01  0.1351D+01  0.2248D-01  0.6053D+03  0.5961D+03
  0.6403D+01  0.1351D+01  0.2243D-01  0.6036D+03  0.5880D+03
  0.6407D+01  0.1350D+01  0.2238D-01  0.6019D+03  0.5731D+03
  0.6409D+01  0.1350D+01  0.2236D-01  0.6004D+03  0.5629D+03
  0.6414D+01  0.1350D+01  0.2232D-01  0.5990D+03  0.5671D+03
  0.6418D+01  0.1349D+01  0.2228D-01  0.5978D+03  0.5731D+03
  0.6422D+01  0.1349D+01  0.2225D-01  0.5966D+03  0.5835D+03
  0.6427D+01  0.1348D+01  0.2222D-01  0.5955D+03  0.5954D+03
  0.6431D+01  0.1348D+01  0.2219D-01  0.5945D+03  0.6040D+03
  0.6435D+01  0.1347D+01  0.2217D-01  0.5936D+03  0.6092D+03
  0.6440D+01  0.1347D+01  0.2215D-01  0.5928D+03  0.6118D+03
  0.6442D+01  0.1346D+01  0.2215D-01  0.5921D+03  0.6140D+03
  0.6446D+01  0.1346D+01  0.2213D-01  0.5914D+03  0.6170D+03
  0.6451D+01  0.1345D+01  0.2212D-01  0.5908D+03  0.6199D+03
  0.6455D+01  0.1345D+01  0.2212D-01  0.5903D+03  0.6200D+03
  0.6460D+01  0.1345D+01  0.2211D-01  0.5898D+03  0.6178D+03
  0.6464D+01  0.1344D+01  0.2211D-01  0.5894D+03  0.6158D+03
  0.6469D+01  0.1344D+01  0.2211D-01  0.5890D+03  0.6150D+03
  0.6473D+01  0.1343D+01  0.2211D-01  0.5888D+03  0.6144D+03
  0.6478D+01  0.1343D+01  0.2212D-01  0.5886D+03  0.6096D+03
  0.6480D+01  0.1343D+01  0.2212D-01  0.5884D+03  0.6007D+03
  0.6484D+01  0.1342D+01  0.2213D-01  0.5883D+03  0.5920D+03
  0.6489D+01  0.1342D+01  0.2214D-01  0.5882D+03  0.5972D+03
  0.6493D+01  0.1341D+01  0.2216D-01  0.5882D+03  0.6065D+03
  0.6498D+01  0.1341D+01  0.2217D-01  0.5882D+03  0.6036D+03
  0.6502D+01  0.1340D+01  0.2219D-01  0.5883D+03  0.6066D+03
  0.6507D+01  0.1340D+01  0.2221D-01  0.5884D+03  0.6132D+03
  0.6511D+01  0.1340D+01  0.2223D-01  0.5886D+03  0.6158D+03
  0.6516D+01  0.1339D+01  0.2225D-01  0.5888D+03  0.6160D+03
