Calculated for E||b from oscillators in table 1 of Aronson et al., Appl. Opt. 22,
4093-4098, 1983.
  frequency  calc. ref.  real index  imag. index
 7.5596E+02  4.5324E-02  1.5406E+00   1.8433E-02
 7.5789E+02  4.5656E-02  1.5431E+00   1.8026E-02
 7.5982E+02  4.5984E-02  1.5456E+00   1.7634E-02
 7.6174E+02  4.6308E-02  1.5481E+00   1.7258E-02
 7.6367E+02  4.6628E-02  1.5505E+00   1.6898E-02
 7.6560E+02  4.6944E-02  1.5529E+00   1.6551E-02
 7.6753E+02  4.7256E-02  1.5552E+00   1.6217E-02
 7.6946E+02  4.7564E-02  1.5576E+00   1.5897E-02
 7.7139E+02  4.7869E-02  1.5599E+00   1.5589E-02
 7.7332E+02  4.8171E-02  1.5621E+00   1.5292E-02
 7.7524E+02  4.8469E-02  1.5644E+00   1.5007E-02
 7.7717E+02  4.8765E-02  1.5666E+00   1.4733E-02
 7.7910E+02  4.9058E-02  1.5688E+00   1.4469E-02
 7.8103E+02  4.9348E-02  1.5710E+00   1.4215E-02
 7.8296E+02  4.9636E-02  1.5731E+00   1.3970E-02
 7.8489E+02  4.9921E-02  1.5752E+00   1.3735E-02
 7.8681E+02  5.0204E-02  1.5773E+00   1.3508E-02
 7.8874E+02  5.0484E-02  1.5794E+00   1.3289E-02
 7.9067E+02  5.0763E-02  1.5815E+00   1.3079E-02
 7.9260E+02  5.1039E-02  1.5835E+00   1.2876E-02
 7.9453E+02  5.1314E-02  1.5856E+00   1.2681E-02
 7.9646E+02  5.1588E-02  1.5876E+00   1.2493E-02
 7.9838E+02  5.1859E-02  1.5896E+00   1.2312E-02
 8.0031E+02  5.2129E-02  1.5916E+00   1.2138E-02
 8.0224E+02  5.2398E-02  1.5936E+00   1.1970E-02
 8.0417E+02  5.2665E-02  1.5955E+00   1.1809E-02
 8.0610E+02  5.2932E-02  1.5975E+00   1.1653E-02
 8.0803E+02  5.3197E-02  1.5994E+00   1.1503E-02
 8.0996E+02  5.3461E-02  1.6014E+00   1.1359E-02
 8.1188E+02  5.3724E-02  1.6033E+00   1.1221E-02
 8.1381E+02  5.3987E-02  1.6052E+00   1.1087E-02
 8.1574E+02  5.4249E-02  1.6071E+00   1.0959E-02
 8.1767E+02  5.4510E-02  1.6091E+00   1.0836E-02
 8.1960E+02  5.4771E-02  1.6110E+00   1.0717E-02
 8.2153E+02  5.5031E-02  1.6129E+00   1.0604E-02
 8.2346E+02  5.5291E-02  1.6147E+00   1.0495E-02
 8.2538E+02  5.5550E-02  1.6166E+00   1.0390E-02
 8.2731E+02  5.5810E-02  1.6185E+00   1.0290E-02
 8.2924E+02  5.6069E-02  1.6204E+00   1.0193E-02
 8.3117E+02  5.6329E-02  1.6223E+00   1.0101E-02
 8.3310E+02  5.6588E-02  1.6242E+00   1.0013E-02
 8.3503E+02  5.6848E-02  1.6260E+00   9.9293E-03
 8.3695E+02  5.7107E-02  1.6279E+00   9.8490E-03
 8.3888E+02  5.7368E-02  1.6298E+00   9.7725E-03
 8.4081E+02  5.7628E-02  1.6317E+00   9.6997E-03
 8.4274E+02  5.7889E-02  1.6336E+00   9.6304E-03
 8.4467E+02  5.8151E-02  1.6355E+00   9.5647E-03
 8.4660E+02  5.8413E-02  1.6374E+00   9.5025E-03
 8.4852E+02  5.8676E-02  1.6392E+00   9.4436E-03
 8.5045E+02  5.8940E-02  1.6411E+00   9.3882E-03
 8.5238E+02  5.9205E-02  1.6430E+00   9.3359E-03
 8.5431E+02  5.9471E-02  1.6450E+00   9.2870E-03
 8.5624E+02  5.9738E-02  1.6469E+00   9.2413E-03
 8.5817E+02  6.0006E-02  1.6488E+00   9.1987E-03
 8.6010E+02  6.0275E-02  1.6507E+00   9.1592E-03
 8.6202E+02  6.0545E-02  1.6527E+00   9.1229E-03
 8.6395E+02  6.0818E-02  1.6546E+00   9.0896E-03
 8.6588E+02  6.1091E-02  1.6565E+00   9.0593E-03
 8.6781E+02  6.1366E-02  1.6585E+00   9.0320E-03
 8.6974E+02  6.1643E-02  1.6605E+00   9.0078E-03
 8.7167E+02  6.1921E-02  1.6625E+00   8.9865E-03
 8.7360E+02  6.2202E-02  1.6645E+00   8.9681E-03
 8.7552E+02  6.2484E-02  1.6665E+00   8.9527E-03
 8.7745E+02  6.2768E-02  1.6685E+00   8.9403E-03
 8.7938E+02  6.3055E-02  1.6705E+00   8.9308E-03
 8.8131E+02  6.3344E-02  1.6726E+00   8.9242E-03
 8.8324E+02  6.3635E-02  1.6746E+00   8.9205E-03
 8.8517E+02  6.3928E-02  1.6767E+00   8.9198E-03
 8.8709E+02  6.4224E-02  1.6788E+00   8.9220E-03
 8.8902E+02  6.4523E-02  1.6809E+00   8.9272E-03
 8.9095E+02  6.4824E-02  1.6831E+00   8.9354E-03
 8.9288E+02  6.5129E-02  1.6852E+00   8.9466E-03
 8.9481E+02  6.5436E-02  1.6874E+00   8.9607E-03
 8.9674E+02  6.5746E-02  1.6896E+00   8.9779E-03
 8.9866E+02  6.6060E-02  1.6918E+00   8.9982E-03
 9.0059E+02  6.6377E-02  1.6940E+00   9.0216E-03
 9.0252E+02  6.6697E-02  1.6963E+00   9.0480E-03
 9.0445E+02  6.7021E-02  1.6986E+00   9.0777E-03
 9.0638E+02  6.7349E-02  1.7009E+00   9.1106E-03
 9.0831E+02  6.7680E-02  1.7032E+00   9.1467E-03
 9.1024E+02  6.8016E-02  1.7055E+00   9.1861E-03
 9.1216E+02  6.8355E-02  1.7079E+00   9.2289E-03
 9.1409E+02  6.8699E-02  1.7103E+00   9.2752E-03
 9.1602E+02  6.9047E-02  1.7128E+00   9.3249E-03
 9.1795E+02  6.9400E-02  1.7152E+00   9.3782E-03
 9.1988E+02  6.9757E-02  1.7177E+00   9.4351E-03
 9.2181E+02  7.0120E-02  1.7203E+00   9.4957E-03
 9.2374E+02  7.0487E-02  1.7228E+00   9.5601E-03
 9.2566E+02  7.0860E-02  1.7254E+00   9.6284E-03
 9.2759E+02  7.1238E-02  1.7281E+00   9.7007E-03
 9.2952E+02  7.1622E-02  1.7308E+00   9.7771E-03
 9.3145E+02  7.2011E-02  1.7335E+00   9.8576E-03
 9.3338E+02  7.2407E-02  1.7362E+00   9.9424E-03
 9.3531E+02  7.2809E-02  1.7390E+00   1.0032E-02
 9.3723E+02  7.3217E-02  1.7418E+00   1.0126E-02
 9.3916E+02  7.3632E-02  1.7447E+00   1.0224E-02
 9.4109E+02  7.4053E-02  1.7476E+00   1.0327E-02
 9.4302E+02  7.4482E-02  1.7506E+00   1.0436E-02
 9.4495E+02  7.4918E-02  1.7536E+00   1.0549E-02
 9.4688E+02  7.5362E-02  1.7567E+00   1.0668E-02
 9.4880E+02  7.5813E-02  1.7598E+00   1.0792E-02
 9.5073E+02  7.6273E-02  1.7630E+00   1.0923E-02
 9.5266E+02  7.6741E-02  1.7662E+00   1.1059E-02
 9.5459E+02  7.7218E-02  1.7695E+00   1.1201E-02
 9.5652E+02  7.7704E-02  1.7729E+00   1.1349E-02
 9.5845E+02  7.8200E-02  1.7763E+00   1.1504E-02
 9.6038E+02  7.8705E-02  1.7798E+00   1.1666E-02
 9.6230E+02  7.9220E-02  1.7833E+00   1.1835E-02
 9.6423E+02  7.9746E-02  1.7869E+00   1.2012E-02
 9.6616E+02  8.0282E-02  1.7906E+00   1.2196E-02
 9.6809E+02  8.0830E-02  1.7944E+00   1.2388E-02
 9.7002E+02  8.1390E-02  1.7982E+00   1.2589E-02
 9.7195E+02  8.1961E-02  1.8021E+00   1.2799E-02
 9.7388E+02  8.2546E-02  1.8061E+00   1.3018E-02
 9.7580E+02  8.3143E-02  1.8102E+00   1.3246E-02
 9.7773E+02  8.3754E-02  1.8144E+00   1.3485E-02
 9.7966E+02  8.4379E-02  1.8187E+00   1.3734E-02
 9.8159E+02  8.5019E-02  1.8230E+00   1.3994E-02
 9.8352E+02  8.5674E-02  1.8275E+00   1.4266E-02
 9.8545E+02  8.6345E-02  1.8321E+00   1.4550E-02
 9.8738E+02  8.7033E-02  1.8368E+00   1.4847E-02
 9.8930E+02  8.7738E-02  1.8416E+00   1.5158E-02
 9.9123E+02  8.8461E-02  1.8465E+00   1.5483E-02
 9.9316E+02  8.9203E-02  1.8515E+00   1.5823E-02
 9.9509E+02  8.9964E-02  1.8567E+00   1.6178E-02
 9.9702E+02  9.0747E-02  1.8620E+00   1.6551E-02
 9.9895E+02  9.1550E-02  1.8675E+00   1.6941E-02
 1.0009E+03  9.2374E-02  1.8731E+00   1.7349E-02
 1.0028E+03  9.3223E-02  1.8788E+00   1.7778E-02
 1.0047E+03  9.4097E-02  1.8847E+00   1.8228E-02
 1.0066E+03  9.4992E-02  1.8908E+00   1.8698E-02
 1.0086E+03  9.5918E-02  1.8971E+00   1.9194E-02
 1.0105E+03  9.6873E-02  1.9035E+00   1.9715E-02
 1.0124E+03  9.7857E-02  1.9102E+00   2.0263E-02
 1.0144E+03  9.8871E-02  1.9170E+00   2.0840E-02
 1.0163E+03  9.9919E-02  1.9241E+00   2.1448E-02
 1.0182E+03  1.0100E-01  1.9314E+00   2.2088E-02
 1.0201E+03  1.0211E-01  1.9389E+00   2.2759E-02
 1.0221E+03  1.0327E-01  1.9466E+00   2.3472E-02
 1.0240E+03  1.0446E-01  1.9547E+00   2.4224E-02
 1.0259E+03  1.0570E-01  1.9630E+00   2.5020E-02
 1.0279E+03  1.0698E-01  1.9716E+00   2.5862E-02
 1.0298E+03  1.0830E-01  1.9806E+00   2.6754E-02
 1.0317E+03  1.0967E-01  1.9898E+00   2.7696E-02
 1.0337E+03  1.1110E-01  1.9994E+00   2.8700E-02
 1.0356E+03  1.1259E-01  2.0094E+00   2.9767E-02
 1.0375E+03  1.1413E-01  2.0198E+00   3.0903E-02
 1.0394E+03  1.1574E-01  2.0306E+00   3.2113E-02
 1.0414E+03  1.1741E-01  2.0418E+00   3.3404E-02
 1.0433E+03  1.1915E-01  2.0535E+00   3.4784E-02
 1.0452E+03  1.2096E-01  2.0657E+00   3.6252E-02
 1.0472E+03  1.2286E-01  2.0784E+00   3.7833E-02
 1.0491E+03  1.2484E-01  2.0918E+00   3.9530E-02
 1.0510E+03  1.2691E-01  2.1057E+00   4.1354E-02
 1.0529E+03  1.2909E-01  2.1204E+00   4.3320E-02
 1.0549E+03  1.3137E-01  2.1357E+00   4.5441E-02
 1.0568E+03  1.3375E-01  2.1518E+00   4.7722E-02
 1.0587E+03  1.3626E-01  2.1688E+00   5.0207E-02
 1.0607E+03  1.3891E-01  2.1866E+00   5.2906E-02
 1.0626E+03  1.4169E-01  2.2055E+00   5.5844E-02
 1.0645E+03  1.4464E-01  2.2255E+00   5.9053E-02
 1.0664E+03  1.4775E-01  2.2466E+00   6.2565E-02
 1.0684E+03  1.5104E-01  2.2690E+00   6.6422E-02
 1.0703E+03  1.5451E-01  2.2927E+00   7.0647E-02
 1.0722E+03  1.5822E-01  2.3180E+00   7.5341E-02
 1.0742E+03  1.6217E-01  2.3451E+00   8.0548E-02
 1.0761E+03  1.6638E-01  2.3740E+00   8.6348E-02
 1.0780E+03  1.7089E-01  2.4051E+00   9.2837E-02
 1.0799E+03  1.7571E-01  2.4385E+00   1.0013E-01
 1.0819E+03  1.8086E-01  2.4743E+00   1.0833E-01
 1.0838E+03  1.8644E-01  2.5133E+00   1.1768E-01
 1.0857E+03  1.9247E-01  2.5556E+00   1.2838E-01
 1.0877E+03  1.9900E-01  2.6018E+00   1.4070E-01
 1.0896E+03  2.0610E-01  2.6524E+00   1.5499E-01
 1.0915E+03  2.1386E-01  2.7080E+00   1.7171E-01
 1.0934E+03  2.2236E-01  2.7694E+00   1.9146E-01
 1.0954E+03  2.3167E-01  2.8373E+00   2.1493E-01
 1.0973E+03  2.4202E-01  2.9136E+00   2.4344E-01
 1.0992E+03  2.5355E-01  2.9995E+00   2.7841E-01
 1.1012E+03  2.6647E-01  3.0967E+00   3.2204E-01
 1.1031E+03  2.8105E-01  3.2075E+00   3.7751E-01
 1.1050E+03  2.9764E-01  3.3346E+00   4.4965E-01
 1.1069E+03  3.1668E-01  3.4808E+00   5.4594E-01
 1.1089E+03  3.3859E-01  3.6477E+00   6.7753E-01
 1.1108E+03  3.6427E-01  3.8363E+00   8.6505E-01
 1.1127E+03  3.9428E-01  4.0347E+00   1.1383E+00
 1.1147E+03  4.2878E-01  4.2030E+00   1.5364E+00
 1.1166E+03  4.6609E-01  4.2442E+00   2.0726E+00
 1.1185E+03  5.0099E-01  4.0459E+00   2.6401E+00
 1.1204E+03  5.2870E-01  3.6763E+00   3.0551E+00
 1.1224E+03  5.5633E-01  3.2952E+00   3.3556E+00
 1.1243E+03  5.9304E-01  2.8451E+00   3.6304E+00
 1.1262E+03  6.3362E-01  2.2777E+00   3.7582E+00
 1.1282E+03  6.6869E-01  1.7379E+00   3.6723E+00
 1.1301E+03  6.9529E-01  1.3261E+00   3.4636E+00
 1.1320E+03  7.1461E-01  1.0369E+00   3.2224E+00
 1.1339E+03  7.2846E-01  8.3597E-01   2.9906E+00
 1.1359E+03  7.3849E-01  6.9185E-01   2.7785E+00
 1.1378E+03  7.4564E-01  5.8614E-01   2.5887E+00
 1.1397E+03  7.5060E-01  5.0644E-01   2.4193E+00
 1.1417E+03  7.5382E-01  4.4488E-01   2.2674E+00
 1.1436E+03  7.5563E-01  3.9633E-01   2.1302E+00
 1.1455E+03  7.5622E-01  3.5755E-01   2.0059E+00
 1.1474E+03  7.5575E-01  3.2579E-01   1.8914E+00
 1.1494E+03  7.5429E-01  2.9963E-01   1.7857E+00
 1.1513E+03  7.5192E-01  2.7788E-01   1.6875E+00
 1.1532E+03  7.4865E-01  2.5966E-01   1.5955E+00
 1.1552E+03  7.4449E-01  2.4434E-01   1.5089E+00
 1.1571E+03  7.3942E-01  2.3143E-01   1.4269E+00
 1.1590E+03  7.3342E-01  2.2061E-01   1.3492E+00
 1.1609E+03  7.2637E-01  2.1151E-01   1.2744E+00
 1.1629E+03  7.1821E-01  2.0397E-01   1.2024E+00
 1.1648E+03  7.0881E-01  1.9786E-01   1.1328E+00
 1.1667E+03  6.9802E-01  1.9309E-01   1.0650E+00
 1.1687E+03  6.8564E-01  1.8960E-01   9.9865E-01
 1.1706E+03  6.7147E-01  1.8741E-01   9.3375E-01
 1.1725E+03  6.5504E-01  1.8658E-01   8.6919E-01
 1.1744E+03  6.3595E-01  1.8725E-01   8.0490E-01
 1.1764E+03  6.1362E-01  1.8968E-01   7.4045E-01
 1.1783E+03  5.8723E-01  1.9425E-01   6.7541E-01
 1.1802E+03  5.5570E-01  2.0162E-01   6.0930E-01
 1.1822E+03  5.1759E-01  2.1278E-01   5.4175E-01
 1.1841E+03  4.7144E-01  2.2923E-01   4.7300E-01
 1.1860E+03  4.1528E-01  2.5340E-01   4.0309E-01
 1.1879E+03  3.4998E-01  2.8771E-01   3.3506E-01
 1.1899E+03  2.8129E-01  3.3254E-01   2.7406E-01
 1.1918E+03  2.1871E-01  3.8400E-01   2.2473E-01
 1.1937E+03  1.6819E-01  4.3633E-01   1.8756E-01
 1.1956E+03  1.2998E-01  4.8563E-01   1.6009E-01
 1.1976E+03  1.0119E-01  5.3115E-01   1.3919E-01
 1.1995E+03  7.9497E-02  5.7259E-01   1.2295E-01
 1.2014E+03  6.2942E-02  6.1029E-01   1.0999E-01
 1.2034E+03  5.0133E-02  6.4471E-01   9.9382E-02
