Andesite, from Pollack et al., Icarus, 19, 372-389, 1973
Wavelengths < 5 microns, from Table II
Wavelengths >= 5 microns, Calculated from oscillator parameters
  wavelength  real index  imag. index
 3.9000E+01  2.1716E+00   1.6149E-01
 3.9250E+01  2.1688E+00   1.5730E-01
 3.9500E+01  2.1659E+00   1.5330E-01
 3.9750E+01  2.1631E+00   1.4948E-01
 4.0000E+01  2.1604E+00   1.4583E-01
 4.0250E+01  2.1576E+00   1.4234E-01
 4.0500E+01  2.1550E+00   1.3900E-01
 4.0750E+01  2.1523E+00   1.3580E-01
 4.1000E+01  2.1497E+00   1.3274E-01
 4.1250E+01  2.1472E+00   1.2980E-01
 4.1500E+01  2.1447E+00   1.2698E-01
 4.1750E+01  2.1423E+00   1.2428E-01
 4.2000E+01  2.1399E+00   1.2169E-01
 4.2250E+01  2.1375E+00   1.1919E-01
 4.2500E+01  2.1352E+00   1.1679E-01
 4.2750E+01  2.1329E+00   1.1449E-01
 4.3000E+01  2.1307E+00   1.1227E-01
 4.3250E+01  2.1286E+00   1.1013E-01
 4.3500E+01  2.1264E+00   1.0808E-01
 4.3750E+01  2.1244E+00   1.0609E-01
 4.4000E+01  2.1223E+00   1.0418E-01
 4.4250E+01  2.1203E+00   1.0233E-01
 4.4500E+01  2.1184E+00   1.0055E-01
 4.4750E+01  2.1164E+00   9.8824E-02
 4.5000E+01  2.1146E+00   9.7160E-02
 4.5250E+01  2.1127E+00   9.5550E-02
 4.5500E+01  2.1109E+00   9.3993E-02
 4.5750E+01  2.1092E+00   9.2487E-02
 4.6000E+01  2.1075E+00   9.1028E-02
 4.6250E+01  2.1058E+00   8.9615E-02
 4.6500E+01  2.1041E+00   8.8246E-02
 4.6750E+01  2.1025E+00   8.6919E-02
 4.7000E+01  2.1009E+00   8.5631E-02
 4.7250E+01  2.0993E+00   8.4382E-02
 4.7500E+01  2.0978E+00   8.3170E-02
 4.7750E+01  2.0963E+00   8.1993E-02
 4.8000E+01  2.0949E+00   8.0849E-02
 4.8250E+01  2.0934E+00   7.9738E-02
 4.8500E+01  2.0920E+00   7.8658E-02
 4.8750E+01  2.0906E+00   7.7608E-02
 4.9000E+01  2.0893E+00   7.6586E-02
 4.9250E+01  2.0879E+00   7.5592E-02
 4.9500E+01  2.0866E+00   7.4624E-02
 4.9750E+01  2.0854E+00   7.3682E-02
 5.0000E+01  2.0841E+00   7.2764E-02
